goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,MC,Liverpool,Middlesbrough,3,0,2017-05-21,3515,2016,125295,0,0,0,0,0,0.3118875324726105,0.3118875324726105,1717,Adam Clayton
0,0,0,90,MC,Middlesbrough,Southampton,1,2,2017-05-13,3504,2016,135319,0.0417206846177578,0,1,0,0,0.4360288977622986,0.3943082094192505,1717,Adam Clayton
0,0,0,90,MC,Chelsea,Middlesbrough,3,0,2017-05-08,3493,2016,134862,0,0,0,0,0,0.009306610561907291,0.009306610561907291,1717,Adam Clayton
0,1,0.034289080649614334,90,MC,Middlesbrough,Manchester City,2,2,2017-04-30,3483,2016,134435,0,0,0,0,0.034289080649614334,0.07416731119155884,0.0398782342672348,1717,Adam Clayton
0,0,0,90,MC,Middlesbrough,Sunderland,1,0,2017-04-26,3413,2016,132845,0.36692747473716736,1,1,0,0,0.39015424251556396,0.023226778954267502,1717,Adam Clayton
0,0,0,90,MC,Bournemouth,Middlesbrough,4,0,2017-04-22,3471,2016,135167,0.011209489777684212,0,1,0,0,0.07109037041664124,0.05988088250160217,1717,Adam Clayton
0,0,0,90,MC,Middlesbrough,Arsenal,1,2,2017-04-17,3461,2016,134710,0.059925612062215805,0,2,0,0,0.007787654176354408,0.007787654176354408,1717,Adam Clayton
0,1,0.11161576956510544,90,MC,Middlesbrough,Burnley,0,0,2017-04-08,3456,2016,133470,0.12336814403533936,0,1,0,0.11161576956510544,0.14830629527568817,0.036690518260002136,1717,Adam Clayton
0,1,0.02231803722679615,90,MC,Hull,Middlesbrough,4,2,2017-04-05,3442,2016,133539,0,0,0,0,0.02231803722679615,0.03723739832639694,0.014919360168278217,1717,Adam Clayton
0,1,0.015315378084778786,90,DMC,Swansea,Middlesbrough,0,0,2017-04-02,3438,2016,133101,0.11844833195209503,0,1,0,0.015315378084778786,0.4903910756111145,0.35662737488746643,1717,Adam Clayton
0,0,0,90,MC,Middlesbrough,Manchester United,1,3,2017-03-19,3425,2016,133497,0,0,0,0,0,0.3452472686767578,0.3452472686767578,1717,Adam Clayton
0,0,0,90,MC,Stoke,Middlesbrough,2,0,2017-03-04,3403,2016,133020,0.04742607846856117,0,1,0,0,0.07712852954864502,0.07712852954864502,1717,Adam Clayton
0,0,0,90,MC,Middlesbrough,Everton,0,0,2017-02-11,3382,2016,130936,0,0,0,0,0,0.021109968423843384,0.021109968423843384,1717,Adam Clayton
0,0,0,90,MC,Tottenham,Middlesbrough,1,0,2017-02-04,3377,2016,130071,0,0,0,0,0,0.11587648838758469,0.11587648838758469,1717,Adam Clayton
0,1,0.012573604471981525,90,MC,Middlesbrough,West Bromwich Albion,1,1,2017-01-31,3363,2016,132212,0.16266638040542603,0,4,0,0.012573604471981525,0.12596525251865387,0.0787479504942894,1717,Adam Clayton
0,0,0,90,MC,Middlesbrough,West Ham,1,3,2017-01-21,3351,2016,131798,0,0,0,0,0,0.4583246409893036,0.4583246409893036,1717,Adam Clayton
0,0,0,90,MC,Middlesbrough,Leicester,0,0,2017-01-02,3330,2016,129538,0.03581635281443596,0,1,0,0,0.10503798723220825,0.06922163814306259,1717,Adam Clayton
0,0,0,10,Sub,Manchester United,Middlesbrough,2,1,2016-12-31,3159,2016,130681,0,0,0,0,0,0.01721942238509655,0.01721942238509655,1717,Adam Clayton
0,0,0,90,MC,Burnley,Middlesbrough,1,0,2016-12-26,3150,2016,129136,0,0,0,0,0,0,0,1717,Adam Clayton
0,0,0,90,MC,Middlesbrough,Swansea,3,0,2016-12-17,3136,2016,131909,0.0800989642739296,1,1,0,0,0.6115812063217163,0.5314822196960449,1717,Adam Clayton
0,1,0.011531841941177845,57,MC,Middlesbrough,Liverpool,0,3,2016-12-14,3127,2016,130688,0.02509157918393612,0,1,0,0.011531841941177845,0.055450864136219025,0.030359284952282906,1717,Adam Clayton
0,0,0,90,MC,Southampton,Middlesbrough,1,0,2016-12-11,3123,2016,130265,0,0,0,0,0,0.16319504380226135,0.16319504380226135,1717,Adam Clayton
0,1,0.012518137693405151,90,MC,Middlesbrough,Hull,1,0,2016-12-06,3114,2016,128652,0,0,0,0,0.012518137693405151,0.36291614174842834,0.36291614174842834,1717,Adam Clayton
0,0,0,90,MC,Leicester,Middlesbrough,2,2,2016-11-26,2711,2016,128036,0,0,0,0,0,0.10620136559009552,0.10620136559009552,1717,Adam Clayton
0,0,0,75,MC,Middlesbrough,Chelsea,0,1,2016-11-20,2705,2016,128434,0.05723132938146591,0,1,0,0,0.10249680280685425,0.045265473425388336,1717,Adam Clayton
0,0,0,90,MC,Manchester City,Middlesbrough,1,1,2016-11-05,2689,2016,128118,0.06626924872398376,0,2,0,0,0.046123139560222626,0,1717,Adam Clayton
0,0,0,90,DMC,Middlesbrough,Bournemouth,2,0,2016-10-29,2681,2016,127686,0.03594331815838814,0,1,0,0,0.07464262843132019,0.03869931399822235,1717,Adam Clayton
0,0,0,90,MC,Arsenal,Middlesbrough,0,0,2016-10-22,547,2016,126988,0.055377911776304245,0,1,0,0,0.49060529470443726,0.4352273643016815,1717,Adam Clayton
0,0,0,83,DMC,Middlesbrough,Tottenham,1,2,2016-09-24,512,2016,126667,0,0,0,0,0,0,0,1717,Adam Clayton
0,0,0,4,Sub,Everton,Middlesbrough,3,1,2016-09-17,506,2016,126326,0,0,0,0,0,0,0,1717,Adam Clayton
0,1,0.01778016984462738,58,DMC,Middlesbrough,Crystal Palace,1,2,2016-09-10,492,2016,126113,0,0,0,0,0.01778016984462738,0,0,1717,Adam Clayton
