goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.02973407506942749,7,Sub,Everton,Hull,4,0,2017-03-18,3427,2016,133298,0,0,0,0,0.02973407506942749,0,0,1694,Adama Diomande
0,0,0,11,Sub,Leicester,Hull,3,1,2017-03-04,3400,2016,132176,0,0,0,0,0,0.07869583368301392,0.07869583368301392,1694,Adama Diomande
0,1,0.1226540356874466,11,Sub,Arsenal,Hull,2,0,2017-02-11,3380,2016,130406,0,0,0,0,0.1226540356874466,0,0,1694,Adama Diomande
0,0,0,6,Sub,Chelsea,Hull,2,0,2017-01-22,3359,2016,131482,0,0,0,0,0,0,0,1694,Adama Diomande
0,0,0,90,DMR,Hull,Bournemouth,3,1,2017-01-14,3344,2016,130411,0.11600933223962784,0,2,0,0,0.11600933223962784,0,1694,Adama Diomande
0,3,0.2095925211906433,90,FW,West Bromwich Albion,Hull,3,1,2017-01-02,3333,2016,129995,0.02060341276228428,0,1,0,0.2095925211906433,0.2599782645702362,0.02978232502937317,1694,Adama Diomande
0,2,0.2592298090457916,87,FW,Hull,Everton,2,2,2016-12-31,3155,2016,130334,0,0,0,0,0.2592298090457916,0.13882073760032654,0,1694,Adama Diomande
0,0,0,10,Sub,Hull,Manchester City,0,3,2016-12-26,3152,2016,129291,0,0,0,0,0,0,0,1694,Adama Diomande
0,0,0,17,Sub,West Ham,Hull,1,0,2016-12-17,3137,2016,128975,0,0,0,0,0,0,0,1694,Adama Diomande
0,1,0.10608591139316559,90,FW,Tottenham,Hull,3,0,2016-12-15,3134,2016,131508,0.17141014337539673,0,2,0,0.10608591139316559,0.2774960696697235,0,1694,Adama Diomande
1,5,0.9910860061645508,90,FW,Hull,Crystal Palace,3,3,2016-12-10,3116,2016,129817,0,0,0,1,0.9910860061645508,1.1747273206710815,0.18364131450653076,1694,Adama Diomande
0,1,0.015493209473788738,90,FW,Middlesbrough,Hull,1,0,2016-12-06,3114,2016,128668,0.02085465006530285,0,1,0,0.015493209473788738,0.03634785860776901,0,1694,Adama Diomande
0,1,0.009101848118007183,41,Sub,Hull,West Bromwich Albion,1,1,2016-11-26,2708,2016,129263,0.058528147637844086,0,2,0,0.009101848118007183,0.14116571843624115,0.09164856374263763,1694,Adama Diomande
0,0,0,21,Sub,Hull,Stoke,0,2,2016-10-22,545,2016,127194,0.09313108026981354,0,1,0,0,0.21807128190994263,0.21807128190994263,1694,Adama Diomande
0,2,0.07508030533790588,24,Sub,Bournemouth,Hull,6,1,2016-10-15,533,2016,127622,0,0,0,0,0.07508030533790588,0.09504443407058716,0.019964123144745827,1694,Adama Diomande
0,0,0,65,ML,Hull,Chelsea,0,2,2016-10-01,524,2016,127108,0.062048155814409256,0,1,0,0,0,0,1694,Adama Diomande
0,0,0,32,ML,Liverpool,Hull,5,1,2016-09-24,516,2016,126628,0,0,0,0,0,0,0,1694,Adama Diomande
0,0,0,41,FWL,Hull,Arsenal,1,4,2016-09-17,502,2016,126337,0,0,0,0,0,0.05549415200948715,0.05549415200948715,1694,Adama Diomande
0,2,0.3922940194606781,71,ML,Burnley,Hull,1,1,2016-09-10,496,2016,126046,0,0,0,0,0.3922940194606781,0.5100858211517334,0.11779181659221649,1694,Adama Diomande
0,0,0,90,FWL,Hull,Manchester United,0,1,2016-08-27,488,2016,125783,0.1047184020280838,0,2,0,0,0.1433052271604538,0.038586825132369995,1694,Adama Diomande
0,2,0.1634790599346161,75,FWL,Swansea,Hull,0,2,2016-08-20,474,2016,125575,0,0,0,0,0.1634790599346161,0.27709272503852844,0.11361366510391235,1694,Adama Diomande
1,2,0.16420775651931763,90,FWL,Hull,Leicester,2,1,2016-08-13,461,2016,125041,0.01557000819593668,0,1,1,0.16420775651931763,0.03724021837115288,0,1694,Adama Diomande
