goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
1,4,1.3379979133605957,90,FW,CSKA Moscow,Anzhi Makhachkala,2,1,2018-05-13,6701,2017,239877,0.39360949397087097,1,2,1,1.3379979133605957,1.4038344621658325,0.051321059465408325,1681,Ahmed Musa
2,4,1.3010722398757935,90,FW,CSKA Moscow,Arsenal Tula,6,0,2018-05-06,6700,2017,238386,0.07718133181333542,0,1,2,1.3010722398757935,1.4278149604797363,0.12674273550510406,1681,Ahmed Musa
0,1,0.04911177232861519,90,FW,Zenit St. Petersburg,CSKA Moscow,0,0,2018-04-29,6692,2017,236541,0.12450919300317764,0,2,0,0.04911177232861519,0.21474488079547882,0.052550993859767914,1681,Ahmed Musa
2,7,0.5504647493362427,90,FW,CSKA Moscow,FC Krasnodar,2,1,2018-04-22,6683,2017,234995,0.021174484863877296,0,1,2,0.5504647493362427,0.5901657938957214,0.01852661743760109,1681,Ahmed Musa
0,2,0.13482628762722015,90,FWL,CSKA Moscow,Amkar,3,0,2018-04-18,6649,2017,233466,0.19975495338439941,2,3,0,0.13482628762722015,0.594444215297699,0.2598629593849182,1681,Ahmed Musa
1,4,0.7001266479492188,90,FWL,FC Ufa,CSKA Moscow,1,1,2018-04-15,6675,2017,232812,0,0,0,1,0.7001266479492188,0.20632800459861755,0.13409598171710968,1681,Ahmed Musa
0,0,0,59,FW,CSKA Moscow,Dinamo Moscow,1,2,2018-04-09,6666,2017,230221,0,0,0,0,0,0,0,1681,Ahmed Musa
0,1,0.047092147171497345,84,FWL,FC Rostov,CSKA Moscow,1,2,2018-04-01,6658,2017,226774,0.5322951078414917,0,4,0,0.047092147171497345,0.5492689609527588,0.01377536728978157,1681,Ahmed Musa
0,4,1.0487807989120483,90,FWL,FK Akhmat,CSKA Moscow,0,3,2018-03-11,6641,2017,222951,0.8124555945396423,0,2,0,1.0487807989120483,2.348095417022705,1.458506464958191,1681,Ahmed Musa
0,1,0.1347925364971161,90,FW,CSKA Moscow,Ural,1,0,2018-03-03,6636,2017,220646,0.012554370798170567,0,1,0,0.1347925364971161,0.5599613189697266,0.4126144349575043,1681,Ahmed Musa
0,0,0,11,Sub,Leicester,Tottenham,1,6,2017-05-18,3475,2016,134222,0,0,0,0,0,0,0,1681,Ahmed Musa
0,0,0,26,Sub,Everton,Leicester,4,2,2017-04-09,3458,2016,133271,0,0,0,0,0,0,0,1681,Ahmed Musa
0,0,0,10,Sub,West Ham,Leicester,2,3,2017-03-18,3421,2016,134069,0,0,0,0,0,0.3459725081920624,0.3459725081920624,1681,Ahmed Musa
0,0,0,48,AML,Leicester,Manchester United,0,3,2017-02-05,3379,2016,129734,0,0,0,0,0,0,0,1681,Ahmed Musa
0,2,0.044798631221055984,22,Sub,Burnley,Leicester,1,0,2017-01-31,3362,2016,132204,0,0,0,0,0.044798631221055984,0.044798631221055984,0,1681,Ahmed Musa
0,0,0,25,Sub,Southampton,Leicester,3,0,2017-01-22,3357,2016,131900,0,0,0,0,0,0,0,1681,Ahmed Musa
