goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.06401381641626358,60,ML,Osasuna,Villarreal,1,0,2022-03-05,17402,2021,517302,0,0,0,0,0.06401381641626358,0.08015813678503036,0.016144322231411934,608,Alberto Moreno
0,0,0,15,Sub,Granada,Villarreal,1,4,2022-02-19,17380,2021,513993,0,0,0,0,0,0,0,608,Alberto Moreno
0,2,0.06827745586633682,90,ML,Villarreal,Real Madrid,0,0,2022-02-12,17375,2021,512736,0,0,0,0,0.06827745586633682,0.22604016959667206,0.15776270627975464,608,Alberto Moreno
0,0,0,80,ML,Real Betis,Villarreal,0,2,2022-02-06,17358,2021,511901,0.5311173796653748,1,3,0,0,0.13597950339317322,0.023703934624791145,608,Alberto Moreno
0,2,0.07019398361444473,90,FW,Villarreal,Mallorca,3,0,2022-01-22,17355,2021,509763,0.3567313253879547,0,2,0,0.07019398361444473,0.8101659417152405,0.7146251797676086,608,Alberto Moreno
0,0,0,87,ML,Elche,Villarreal,1,0,2022-01-16,17345,2021,508963,0,0,0,0,0,0,0,608,Alberto Moreno
1,4,0.546190619468689,76,ML,Villarreal,Atletico Madrid,2,2,2022-01-09,17335,2021,507619,0,0,0,1,0.546190619468689,0.6251102685928345,0.0789196714758873,608,Alberto Moreno
0,0,0,16,Sub,Villarreal,Levante,5,0,2022-01-03,17318,2021,505915,0.5752927660942078,0,1,0,0,0.5752927660942078,0,608,Alberto Moreno
0,2,0.11326628178358078,17,Sub,Villarreal,Alaves,5,2,2021-12-21,17175,2021,504394,0.06635581701993942,0,1,0,0.11326628178358078,0.531772792339325,0.35215070843696594,608,Alberto Moreno
0,1,0.038708463311195374,83,ML,Real Sociedad,Villarreal,1,3,2021-12-18,17312,2021,503742,0.8782440423965454,1,2,0,0.038708463311195374,0.5017744898796082,0.06816011667251587,608,Alberto Moreno
0,2,0.21662409603595734,23,Sub,Villarreal,Rayo Vallecano,2,0,2021-12-12,17305,2021,502169,0,0,0,0,0.21662409603595734,0.21662409603595734,0,608,Alberto Moreno
0,1,0.027362219989299774,26,Sub,Sevilla,Villarreal,1,0,2021-12-04,17292,2021,499670,0.036968521773815155,0,1,0,0.027362219989299774,0.18653860688209534,0.14957007765769958,608,Alberto Moreno
1,2,0.8178887367248535,85,ML,Celta Vigo,Villarreal,1,1,2021-11-20,17268,2021,495421,0.15157824754714966,0,3,1,0.8178887367248535,0.9191610813140869,0.060296814888715744,608,Alberto Moreno
0,0,0,1,Sub,Villarreal,Getafe,1,0,2021-11-07,17265,2021,494452,0,0,0,0,0,0,0,608,Alberto Moreno
0,0,0,16,Sub,Valencia,Villarreal,2,0,2021-10-30,17247,2021,492531,0,0,0,0,0,0,0,608,Alberto Moreno
0,0,0,26,Sub,Athletic Club,Villarreal,2,1,2021-10-23,17226,2021,490293,0,0,0,0,0,0.08444808423519135,0.08444808423519135,608,Alberto Moreno
0,1,0.02082187868654728,49,DL,Villarreal,Osasuna,1,2,2021-10-17,17225,2021,489153,0,0,0,0,0.02082187868654728,0.10295604169368744,0.08213416486978531,608,Alberto Moreno
0,0,0,42,Sub,Villarreal,Real Betis,2,0,2021-10-03,17209,2021,487597,0.11891724169254303,0,1,0,0,0.19684596359729767,0.07792872190475464,608,Alberto Moreno
0,0,0,90,DL,Real Madrid,Villarreal,0,0,2021-09-25,17202,2021,485135,0.03211236372590065,0,1,0,0,0.10139191895723343,0.06927955895662308,608,Alberto Moreno
1,1,0.30314722657203674,1,Sub,Villarreal,Elche,4,1,2021-09-22,17188,2021,484103,0,0,0,1,0.30314722657203674,0.30314722657203674,0,608,Alberto Moreno
0,1,0.07290715724229813,28,Sub,Mallorca,Villarreal,0,0,2021-09-19,17181,2021,482575,0,0,1,0,0.07290715724229813,0.23005904257297516,0.15715187788009644,608,Alberto Moreno
0,0,0,69,ML,Atletico Madrid,Villarreal,2,2,2021-08-29,17165,2021,479953,0,0,0,0,0,0,0,608,Alberto Moreno
0,1,0.04057357832789421,77,ML,Espanyol,Villarreal,0,0,2021-08-21,17149,2021,477339,0.07146478444337845,0,1,0,0.04057357832789421,0.19410832226276398,0.08206995576620102,608,Alberto Moreno
0,1,0.05053545907139778,75,ML,Villarreal,Granada,0,0,2021-08-16,17144,2021,476516,0,0,0,0,0.05053545907139778,0.13501213490962982,0.13501213490962982,608,Alberto Moreno
0,2,0.09012273699045181,84,DL,Villarreal,Sevilla,4,0,2021-05-16,15147,2020,471845,0,0,0,0,0.09012273699045181,0.04304267093539238,0.04304267093539238,608,Alberto Moreno
0,0,0,1,Sub,Real Valladolid,Villarreal,0,2,2021-05-13,15136,2020,470492,0,0,0,0,0,0,0,608,Alberto Moreno
0,2,0.12549586594104767,38,Sub,Villarreal,Celta Vigo,2,4,2021-05-09,15127,2020,469615,0,0,0,0,0.12549586594104767,0.19937826693058014,0.16078753769397736,608,Alberto Moreno
0,0,0,60,DL,Villarreal,Barcelona,1,2,2021-04-25,15096,2020,466128,0,0,0,0,0,0.5533419251441956,0.5533419251441956,608,Alberto Moreno
0,0,0,5,Sub,Granada,Villarreal,0,3,2021-04-03,15061,2020,459215,0,0,0,0,0,0,0,608,Alberto Moreno
0,0,0,90,DL,Villarreal,Eibar,4,0,2020-07-19,12401,2019,409907,0.03015686385333538,0,1,0,0,0.8413079380989075,0.8413079380989075,608,Alberto Moreno
0,0,0,90,DL,Villarreal,Real Sociedad,1,2,2020-07-13,12382,2019,408356,0,0,0,0,0,0.23868384957313538,0.23868384957313538,608,Alberto Moreno
0,0,0,90,DL,Getafe,Villarreal,1,3,2020-07-08,12370,2019,406766,0,0,0,0,0,0.35646507143974304,0.35646507143974304,608,Alberto Moreno
0,1,0.04408260062336922,90,DL,Villarreal,Barcelona,1,4,2020-07-05,12361,2019,406064,0.05905584245920181,0,1,0,0.04408260062336922,0.1586129516363144,0.05547451227903366,608,Alberto Moreno
0,0,0,90,DL,Real Betis,Villarreal,0,2,2020-07-01,12345,2019,404768,0.47845658659935,0,1,0,0,0.5173985958099365,0.03894203528761864,608,Alberto Moreno
0,0,0,90,DL,Villarreal,Sevilla,2,2,2020-06-22,12331,2019,401909,0,0,0,0,0,0.40406545996665955,0.40406545996665955,608,Alberto Moreno
0,0,0,90,DL,Granada,Villarreal,0,1,2020-06-19,12318,2019,400765,0,0,0,0,0,0,0,608,Alberto Moreno
0,0,0,72,DL,Villarreal,Mallorca,1,0,2020-06-16,12309,2019,400144,0.037852250039577484,0,1,0,0,0.6018022298812866,0.5639500021934509,608,Alberto Moreno
0,0,0,90,DL,Celta Vigo,Villarreal,0,1,2020-06-13,12295,2019,399754,0.0800146833062172,0,2,0,0,0.446880578994751,0.410604327917099,608,Alberto Moreno
0,1,0.03235050290822983,90,DL,Villarreal,Leganes,1,2,2020-03-08,12288,2019,397467,0,0,0,0,0.03235050290822983,1.075318455696106,1.0429680347442627,608,Alberto Moreno
0,2,0.08618225157260895,90,DL,Athletic Club,Villarreal,1,0,2020-03-01,12273,2019,396205,0,0,0,0,0.08618225157260895,0.08526377379894257,0.05986981838941574,608,Alberto Moreno
0,1,0.07246927917003632,90,DL,Atletico Madrid,Villarreal,3,1,2020-02-23,12264,2019,395350,0,0,0,0,0.07246927917003632,0.07246927917003632,0,608,Alberto Moreno
0,0,0,34,DL,Alaves,Villarreal,1,2,2020-01-25,12223,2019,390267,0,0,0,0,0,0.5319514274597168,0.5319514274597168,608,Alberto Moreno
0,1,0.4611545205116272,82,DL,Villarreal,Espanyol,1,2,2020-01-19,12222,2019,389671,0.06009940430521965,0,1,0,0.4611545205116272,0.7673105001449585,0.24605657160282135,608,Alberto Moreno
0,0,0,29,Sub,Real Sociedad,Villarreal,1,2,2020-01-05,12209,2019,388137,0,0,0,0,0,0.052221816033124924,0.052221816033124924,608,Alberto Moreno
0,1,0.013250628486275673,90,DL,Villarreal,Alaves,4,1,2019-10-25,12121,2019,359116,0.041493698954582214,0,2,0,0.013250628486275673,0.8841811418533325,0.8466498255729675,608,Alberto Moreno
0,0,0,90,DL,Espanyol,Villarreal,0,1,2019-10-20,12107,2019,358631,0.03165516257286072,0,2,0,0,0.09964819252490997,0.08579804003238678,608,Alberto Moreno
0,2,0.054674237966537476,90,DL,Levante,Villarreal,2,1,2019-08-23,12041,2019,343775,0.043795641511678696,0,1,0,0.054674237966537476,0.8207173943519592,0.7222474813461304,608,Alberto Moreno
0,0,0,66,DL,Burnley,Liverpool,1,3,2018-12-05,9343,2018,278075,0,0,0,0,0,0.2700430154800415,0.2700430154800415,608,Alberto Moreno
0,1,0.02153877541422844,90,DL,Liverpool,Cardiff,4,1,2018-10-27,9288,2018,276537,0.1352575272321701,0,3,0,0.02153877541422844,0.30204910039901733,0.16679157316684723,608,Alberto Moreno
0,0,0,1,Sub,Chelsea,Liverpool,1,0,2018-05-06,7485,2017,238345,0,0,0,0,0,0.06907399743795395,0.06907399743795395,608,Alberto Moreno
0,2,0.15323829650878906,90,DL,Liverpool,Stoke,0,0,2018-04-28,7472,2017,235520,0.2446010261774063,0,3,0,0.15323829650878906,0.7756108641624451,0.6223725080490112,608,Alberto Moreno
0,0,0,90,DL,West Bromwich Albion,Liverpool,2,2,2018-04-21,7468,2017,234115,0,0,0,0,0,0.4050893187522888,0.4050893187522888,608,Alberto Moreno
0,0,0,1,Sub,Liverpool,West Ham,4,1,2018-02-24,7395,2017,219161,0,0,0,0,0,0.03839391842484474,0.03839391842484474,608,Alberto Moreno
0,1,0.07242517918348312,90,DL,Stoke,Liverpool,0,3,2017-11-29,7258,2017,179384,0.012988998554646969,0,1,0,0.07242517918348312,0.831753134727478,0.746338963508606,608,Alberto Moreno
0,0,0,90,DL,Liverpool,Chelsea,1,1,2017-11-25,7244,2017,179343,0,0,0,0,0,0.14842693507671356,0.14842693507671356,608,Alberto Moreno
0,1,0.01860172487795353,90,DL,Liverpool,Southampton,3,0,2017-11-18,7231,2017,178798,0.036873959004879,0,1,0,0.01860172487795353,0.12910886108875275,0.07363318651914597,608,Alberto Moreno
0,0,0,90,DL,West Ham,Liverpool,1,4,2017-11-04,7227,2017,179494,0,0,0,0,0,0.1323734074831009,0.1323734074831009,608,Alberto Moreno
0,1,0.018446439877152443,90,DL,Liverpool,Huddersfield,3,0,2017-10-28,7217,2017,177861,0.1253526657819748,0,1,0,0.018446439877152443,0.1381380409002304,0.012785372324287891,608,Alberto Moreno
0,1,0.009249475784599781,90,DL,Tottenham,Liverpool,4,1,2017-10-22,7207,2017,177436,0,0,0,0,0.009249475784599781,0.14354154467582703,0.13429206609725952,608,Alberto Moreno
0,0,0,90,DL,Liverpool,Manchester United,0,0,2017-10-14,7193,2017,178413,0,0,0,0,0,0.7615290284156799,0.7615290284156799,608,Alberto Moreno
0,0,0,90,DL,Newcastle United,Liverpool,1,1,2017-10-01,7188,2017,178177,0.15000727772712708,0,3,0,0,0.2204202115535736,0.09253963828086853,608,Alberto Moreno
0,2,0.04904601722955704,90,DL,Leicester,Liverpool,2,3,2017-09-23,7176,2017,177106,0.17939093708992004,0,3,0,0.04904601722955704,0.4116083085536957,0.23233166337013245,608,Alberto Moreno
0,2,0.11975184082984924,90,DL,Manchester City,Liverpool,5,0,2017-09-09,7149,2017,177134,0.019623268395662308,0,1,0,0.11975184082984924,0.07869172096252441,0,608,Alberto Moreno
0,1,0.01457942370325327,90,DL,Liverpool,Arsenal,4,0,2017-08-27,7148,2017,176375,0.07839267700910568,0,1,0,0.01457942370325327,0.7297211289405823,0.651328444480896,608,Alberto Moreno
0,1,0.03146869316697121,90,DL,Watford,Liverpool,3,3,2017-08-12,7120,2017,176030,0.038231704384088516,0,1,0,0.03146869316697121,0.4205080270767212,0.35080763697624207,608,Alberto Moreno
0,0,0,2,Sub,Liverpool,Middlesbrough,3,0,2017-05-21,3515,2016,125288,0,0,0,0,0,0,0,608,Alberto Moreno
0,0,0,6,Sub,Liverpool,Crystal Palace,1,2,2017-04-23,3476,2016,134250,0,0,0,0,0,0.010808023624122143,0.010808023624122143,608,Alberto Moreno
0,1,0.01414848119020462,1,Sub,West Bromwich Albion,Liverpool,0,1,2017-04-16,3469,2016,135059,0,0,0,0,0.01414848119020462,0.01414848119020462,0,608,Alberto Moreno
0,0,0,22,Sub,Leicester,Liverpool,3,1,2017-02-27,3399,2016,131790,0,0,0,0,0,0.13813132047653198,0.13813132047653198,608,Alberto Moreno
0,0,0,5,Sub,Hull,Liverpool,2,0,2017-02-04,3373,2016,129640,0,0,0,0,0,0.06950175762176514,0.06950175762176514,608,Alberto Moreno
0,0,0,42,Sub,Sunderland,Liverpool,2,2,2017-01-02,3334,2016,129778,0.1222957968711853,0,3,0,0,0.7449221611022949,0.7449221611022949,608,Alberto Moreno
0,1,0.11386583000421524,8,Sub,Liverpool,Stoke,4,1,2016-12-27,3153,2016,129459,0,0,0,0,0.11386583000421524,0.11386583000421524,0,608,Alberto Moreno
0,1,0.08194141834974289,90,DL,Crystal Palace,Liverpool,2,4,2016-10-29,2683,2016,127530,0.12427257746458054,1,1,0,0.08194141834974289,0.22356870770454407,0.14162728190422058,608,Alberto Moreno
0,0,0,3,Sub,Liverpool,Manchester United,0,0,2016-10-17,540,2016,126813,0,0,0,0,0,0,0,608,Alberto Moreno
0,0,0,1,Sub,Liverpool,Leicester,4,1,2016-09-10,498,2016,126063,0,0,0,0,0,0,0,608,Alberto Moreno
0,0,0,12,Sub,Burnley,Liverpool,2,0,2016-08-20,473,2016,133986,0,0,0,0,0,0.028718985617160797,0.028718985617160797,608,Alberto Moreno
0,0,0,90,DL,Arsenal,Liverpool,3,4,2016-08-14,469,2016,124884,0.06068046763539314,0,1,0,0,0.7818382978439331,0.7818382978439331,608,Alberto Moreno
0,0,0,90,DL,Liverpool,Chelsea,1,1,2016-05-11,450,2015,67275,0.26935264468193054,0,5,0,0,0.29908204078674316,0.18847841024398804,608,Alberto Moreno
0,1,0.020251279696822166,89,DL,Liverpool,Watford,2,0,2016-05-08,445,2015,62425,0.07209096848964691,0,2,0,0.020251279696822166,0.18244923651218414,0.15214654803276062,608,Alberto Moreno
0,0,0,90,DL,Liverpool,Newcastle United,2,2,2016-04-23,423,2015,63412,0.14593392610549927,2,2,0,0,0.2152477353811264,0.1366359293460846,608,Alberto Moreno
0,4,0.10836933553218842,90,DL,Liverpool,Everton,4,0,2016-04-20,418,2015,65672,0.16374248266220093,0,3,0,0.10836933553218842,0.38424864411354065,0.19117946922779083,608,Alberto Moreno
1,2,0.05054932087659836,90,DL,Liverpool,Stoke,4,1,2016-04-10,403,2015,66777,0.582558810710907,1,2,1,0.05054932087659836,1.2117115259170532,0.6291526556015015,608,Alberto Moreno
0,1,0.013070021755993366,90,DL,Liverpool,Tottenham,1,1,2016-04-02,391,2015,65923,0,0,0,0,0.013070021755993366,0.29993003606796265,0.29993003606796265,608,Alberto Moreno
0,1,0.011728090234100819,90,DL,Crystal Palace,Liverpool,1,2,2016-03-06,367,2015,65854,0.015613428317010403,0,1,0,0.011728090234100819,0.6498878598213196,0.634274423122406,608,Alberto Moreno
0,1,0.13812357187271118,90,DL,Aston Villa,Liverpool,0,6,2016-02-14,339,2015,60318,0,0,0,0,0.13812357187271118,0.5277491211891174,0.5277491211891174,608,Alberto Moreno
0,2,0.13991886377334595,90,DL,Liverpool,Sunderland,2,2,2016-02-06,327,2015,58105,0.02264309674501419,0,1,0,0.13991886377334595,0.2627938985824585,0.10023193061351776,608,Alberto Moreno
0,2,0.13315485417842865,90,DL,Leicester,Liverpool,2,0,2016-02-02,312,2015,59246,0.03559514880180359,0,2,0,0.13315485417842865,0.2274601310491562,0.05871012806892395,608,Alberto Moreno
0,2,0.03732698783278465,90,DL,Norwich,Liverpool,4,5,2016-01-23,301,2015,60787,0.06809985637664795,0,1,0,0.03732698783278465,0.23204945027828217,0.16394959390163422,608,Alberto Moreno
0,0,0,90,DL,Liverpool,Manchester United,0,1,2016-01-17,298,2015,62065,0.10388541221618652,0,1,0,0,0.18769314885139465,0.08380772918462753,608,Alberto Moreno
0,5,0.40318891406059265,90,DL,Liverpool,Arsenal,3,3,2016-01-14,289,2015,59701,0.09170086681842804,0,2,0,0.40318891406059265,0.4850785434246063,0.10700809210538864,608,Alberto Moreno
0,2,0.03429044038057327,66,DL,West Ham,Liverpool,2,0,2016-01-02,271,2015,58614,0.13694021105766296,0,2,0,0.03429044038057327,0.12387150526046753,0.01730390265583992,608,Alberto Moreno
0,0,0,90,DL,Sunderland,Liverpool,0,1,2015-12-30,270,2015,59660,0.08469050377607346,0,2,0,0,0.3008965849876404,0.27975451946258545,608,Alberto Moreno
0,2,0.03570807725191116,90,DL,Liverpool,Leicester,1,0,2015-12-26,257,2015,60276,0.06550578773021698,0,3,0,0.03570807725191116,0.294465571641922,0.20621709525585175,608,Alberto Moreno
0,1,0.040799569338560104,90,DL,Watford,Liverpool,3,0,2015-12-20,248,2015,58915,0.011878052726387978,0,1,0,0.040799569338560104,0.13403083384037018,0.08135321736335754,608,Alberto Moreno
0,1,0.05097581446170807,90,DL,Liverpool,West Bromwich Albion,2,2,2015-12-13,238,2015,59894,0.4604438543319702,0,6,0,0.05097581446170807,1.4766420125961304,0.984123706817627,608,Alberto Moreno
0,0,0,90,DL,Newcastle United,Liverpool,2,0,2015-12-06,229,2015,60373,0.0391513966023922,0,1,0,0,0.014298517256975174,0.014298517256975174,608,Alberto Moreno
0,1,0.08453115075826645,90,DL,Liverpool,Swansea,1,0,2015-11-29,219,2015,62175,0.06145082041621208,0,3,0,0.08453115075826645,0.21278122067451477,0.19203521311283112,608,Alberto Moreno
0,0,0,90,DL,Manchester City,Liverpool,1,4,2015-11-21,208,2015,59880,0.053650375455617905,0,1,0,0,0.6217763423919678,0.6217763423919678,608,Alberto Moreno
0,0,0,90,DL,Liverpool,Crystal Palace,1,2,2015-11-08,200,2015,60938,0.5671781897544861,0,3,0,0,1.0133893489837646,0.4989502429962158,608,Alberto Moreno
0,1,0.08873651921749115,90,DL,Chelsea,Liverpool,1,3,2015-10-31,181,2015,65520,0,0,0,0,0.08873651921749115,0.2412024289369583,0.15246590971946716,608,Alberto Moreno
0,3,0.11261042207479477,90,DL,Liverpool,Southampton,1,1,2015-10-25,180,2015,65341,0.01602647639811039,0,1,0,0.11261042207479477,0.3527926802635193,0.258647620677948,608,Alberto Moreno
0,2,0.07304184138774872,90,DL,Tottenham,Liverpool,0,0,2015-10-17,161,2015,65173,0.04202631860971451,0,2,0,0.07304184138774872,0.0538705512881279,0,608,Alberto Moreno
0,0,0,90,DML,Everton,Liverpool,1,1,2015-10-04,158,2015,64808,0.3673575520515442,0,4,0,0,0.14867545664310455,0.14867545664310455,608,Alberto Moreno
0,1,0.04700985178351402,90,ML,Liverpool,Aston Villa,3,2,2015-09-26,145,2015,64411,0.05706871300935745,0,3,0,0.04700985178351402,0.6752996444702148,0.6022001504898071,608,Alberto Moreno
0,1,0.03112056292593479,90,ML,Liverpool,Norwich,1,1,2015-09-20,140,2015,64189,0.6849175095558167,1,6,0,0.03112056292593479,0.8356605768203735,0.21171176433563232,608,Alberto Moreno
0,0,0,2,Sub,Manchester United,Liverpool,3,1,2015-09-12,127,2015,63957,0,0,0,0,0,0,0,608,Alberto Moreno
0,0,0,40,Sub,Liverpool,West Ham,0,3,2015-08-29,116,2015,63556,0.00669089425355196,0,1,0,0,0.1849963515996933,0.1849963515996933,608,Alberto Moreno
0,0,0,1,Sub,Arsenal,Liverpool,0,0,2015-08-24,110,2015,62390,0,0,0,0,0,0,0,608,Alberto Moreno
0,0,0,8,Sub,Liverpool,Bournemouth,1,0,2015-08-17,100,2015,57425,0,0,0,0,0,0,0,608,Alberto Moreno
