goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,DC,Real Sociedad,Villarreal,3,0,2017-08-25,7889,2017,188184,0,0,0,0,0,0.016944963485002518,0.016944963485002518,2144,Alfred N&#039;Diaye
0,0,0,9,Sub,Levante,Villarreal,1,0,2017-08-21,7887,2017,187913,0,0,0,0,0,0,0,2144,Alfred N&#039;Diaye
0,0,0,90,MC,Hull,Tottenham,1,7,2017-05-21,3513,2016,125225,0,0,0,0,0,0.03984078764915466,0.03984078764915466,2144,Alfred N&#039;Diaye
0,1,0.019574042409658432,90,MC,Crystal Palace,Hull,4,0,2017-05-14,3501,2016,135249,0,0,0,0,0.019574042409658432,0.3038421869277954,0.2842681407928467,2144,Alfred N&#039;Diaye
0,1,0.015211723744869232,78,MC,Hull,Sunderland,0,2,2017-05-06,3494,2016,134903,0,0,0,0,0.015211723744869232,0.08771081268787384,0.07249908894300461,2144,Alfred N&#039;Diaye
0,0,0,90,DMC,Southampton,Hull,0,0,2017-04-29,3484,2016,134475,0.05312640592455864,0,1,0,0,0.05312640592455864,0.05312640592455864,2144,Alfred N&#039;Diaye
0,1,0.07599995285272598,90,DMC,Hull,Watford,2,0,2017-04-22,3474,2016,134187,0,0,0,0,0.07599995285272598,0,0,2144,Alfred N&#039;Diaye
0,1,0.06045157462358475,90,MC,Stoke,Hull,3,1,2017-04-15,3463,2016,134834,0,0,0,0,0.06045157462358475,0.06045157462358475,0,2144,Alfred N&#039;Diaye
0,0,0,90,MC,Manchester City,Hull,3,1,2017-04-08,3457,2016,133376,0,0,0,0,0,0,0,2144,Alfred N&#039;Diaye
0,1,0.04623372107744217,90,MC,Hull,Middlesbrough,4,2,2017-04-05,3442,2016,133524,0,0,0,0,0.04623372107744217,0.11606002599000931,0.06982630491256714,2144,Alfred N&#039;Diaye
0,1,0.2997383773326874,82,MC,Hull,West Ham,2,1,2017-04-01,3433,2016,132596,0,0,0,0,0.2997383773326874,0.6168789267539978,0.3171405494213104,2144,Alfred N&#039;Diaye
0,1,0.01494236383587122,90,MC,Everton,Hull,4,0,2017-03-18,3427,2016,133293,0,0,0,0,0.01494236383587122,0.01494236383587122,0,2144,Alfred N&#039;Diaye
0,0,0,67,MC,Hull,Swansea,2,1,2017-03-11,3417,2016,132653,0.028509020805358887,0,1,0,0,0.04457993432879448,0.016070913523435593,2144,Alfred N&#039;Diaye
0,0,0,69,MC,Leicester,Hull,3,1,2017-03-04,3400,2016,132172,0,0,0,0,0,0,0,2144,Alfred N&#039;Diaye
0,0,0,90,DMC,Hull,Burnley,1,1,2017-02-25,3394,2016,131685,0.018069669604301453,0,1,0,0,0.08561006188392639,0.06754039227962494,2144,Alfred N&#039;Diaye
0,1,0.01675548404455185,90,MC,Arsenal,Hull,2,0,2017-02-11,3380,2016,130400,0,0,0,0,0.01675548404455185,0.07109148055315018,0.054336000233888626,2144,Alfred N&#039;Diaye
1,2,0.6417778730392456,90,DMC,Hull,Liverpool,2,0,2017-02-04,3373,2016,129619,0.03948614001274109,0,1,1,0.6417778730392456,0.20883293449878693,0.1111152246594429,2144,Alfred N&#039;Diaye
0,0,0,4,Sub,Deportivo La Coruna,Villarreal,0,0,2017-01-14,3897,2016,156815,0,0,0,0,0,0,0,2144,Alfred N&#039;Diaye
0,0,0,1,Sub,Villarreal,Atletico Madrid,3,0,2016-12-12,3182,2016,154493,0.12560637295246124,1,1,0,0,0.12560637295246124,0,2144,Alfred N&#039;Diaye
0,0,0,1,Sub,Real Madrid,Villarreal,1,1,2016-09-21,1821,2016,151814,0,0,0,0,0,0,0,2144,Alfred N&#039;Diaye
0,1,0.06404164433479309,8,Sub,Villarreal,Real Sociedad,2,1,2016-09-18,1816,2016,151492,0,0,0,0,0.06404164433479309,0.06404164433479309,0,2144,Alfred N&#039;Diaye
0,0,0,5,Sub,Malaga,Villarreal,0,2,2016-09-10,1803,2016,151229,0,0,0,0,0,0,0,2144,Alfred N&#039;Diaye
0,0,0,1,Sub,Villarreal,Sevilla,0,0,2016-08-29,1798,2016,150908,0,0,0,0,0,0,0,2144,Alfred N&#039;Diaye
0,0,0,90,MC,Granada,Villarreal,1,1,2016-08-20,1782,2016,150582,0,0,0,0,0,0.15384797751903534,0.15384797751903534,2144,Alfred N&#039;Diaye
0,0,0,90,MC,Real Betis,Getafe,2,1,2016-05-15,1776,2015,103162,0,0,0,0,0,0.12489579617977142,0.12489579617977142,2144,Alfred N&#039;Diaye
0,1,0.08317839354276657,90,DC,Eibar,Real Betis,1,1,2016-05-08,1766,2015,103701,0,0,0,0,0.08317839354276657,0.6865363717079163,0.6865363717079163,2144,Alfred N&#039;Diaye
0,0,0,90,DMC,Real Betis,Barcelona,0,2,2016-04-30,1752,2015,102882,0,0,0,0,0,0,0,2144,Alfred N&#039;Diaye
0,0,0,90,DMC,Sevilla,Real Betis,2,0,2016-04-24,1745,2015,103203,0,0,0,0,0,0,0,2144,Alfred N&#039;Diaye
0,2,0.09395518153905869,90,DMC,Real Betis,Las Palmas,1,0,2016-04-19,1730,2015,102047,0.05811917781829834,0,1,0,0.09395518153905869,0.30784884095191956,0.29018068313598633,2144,Alfred N&#039;Diaye
1,1,0.8221648931503296,90,DMC,Celta Vigo,Real Betis,1,1,2016-04-17,1723,2015,101342,0,0,0,1,0.8221648931503296,0.9850838780403137,0.16291899979114532,2144,Alfred N&#039;Diaye
0,0,0,90,MC,Real Betis,Levante,1,0,2016-04-10,1713,2015,102019,0,0,0,0,0,0.02405158430337906,0.02405158430337906,2144,Alfred N&#039;Diaye
