goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,DC,Cadiz,Elche,3,0,2022-05-07,17482,2021,534357,0,0,0,0,0,0.01698455773293972,0.01698455773293972,1706,Antonio Barragán
0,0,0,31,Sub,Real Betis,Elche,0,1,2022-04-19,17457,2021,527581,0,0,0,0,0,0,0,1706,Antonio Barragán
0,1,0.0474855899810791,52,DR,Elche,Valencia,0,1,2022-03-19,17425,2021,521258,0,0,0,0,0.0474855899810791,0,0,1706,Antonio Barragán
0,0,0,90,DR,Elche,Barcelona,1,2,2022-03-06,17405,2021,518323,0.019829005002975464,0,1,0,0,0.20831432938575745,0.1884853094816208,1706,Antonio Barragán
0,0,0,61,DR,Levante,Elche,3,0,2022-02-25,17391,2021,515556,0.044634949415922165,0,1,0,0,0.044634949415922165,0,1706,Antonio Barragán
0,0,0,68,DR,Elche,Rayo Vallecano,2,1,2022-02-18,17385,2021,513905,0,0,0,0,0,0,0,1706,Antonio Barragán
0,0,0,51,Sub,Sevilla,Elche,2,0,2022-02-11,17373,2021,512400,0,0,0,0,0,0,0,1706,Antonio Barragán
0,0,0,90,DR,Elche,Villarreal,1,0,2022-01-16,17345,2021,508942,0,0,0,0,0,0.02063637599349022,0.02063637599349022,1706,Antonio Barragán
0,0,0,74,DL,Valencia,Elche,2,1,2021-12-11,17304,2021,501898,0,0,0,0,0,0.020001200959086418,0.020001200959086418,1706,Antonio Barragán
0,0,0,5,Sub,Osasuna,Elche,1,1,2021-11-29,17282,2021,498576,0,0,0,0,0,0,0,1706,Antonio Barragán
0,0,0,64,DC,Elche,Real Betis,0,3,2021-11-21,17275,2021,496717,0,0,0,0,0,0.02638791687786579,0.02638791687786579,1706,Antonio Barragán
0,0,0,90,DR,Mallorca,Elche,2,2,2021-11-07,17260,2021,495077,0,0,0,0,0,0.09661862999200821,0.09661862999200821,1706,Antonio Barragán
0,0,0,83,DR,Elche,Espanyol,2,2,2021-10-23,17227,2021,490174,0,0,0,0,0,0.020811622962355614,0.020811622962355614,1706,Antonio Barragán
0,0,0,90,DC,Elche,Celta Vigo,1,0,2021-10-03,17210,2021,486962,0,0,0,0,0,0.5894497036933899,0.5894497036933899,1706,Antonio Barragán
0,0,0,85,DC,Villarreal,Elche,4,1,2021-09-22,17188,2021,484106,0,0,0,0,0,0.09571431577205658,0.09571431577205658,1706,Antonio Barragán
0,0,0,13,Sub,Elche,Levante,1,1,2021-09-18,17185,2021,482339,0,0,0,0,0,0.10091131180524826,0.10091131180524826,1706,Antonio Barragán
0,0,0,90,DC,Elche,Athletic Club,2,0,2021-05-22,15157,2020,473102,0,0,0,0,0,0.5355619192123413,0.5355619192123413,1706,Antonio Barragán
0,0,0,90,DC,Cadiz,Elche,1,3,2021-05-16,15144,2020,471765,0.01387366559356451,0,1,0,0,1.0261417627334595,1.0261417627334595,1706,Antonio Barragán
0,0,0,90,DR,Real Sociedad,Elche,2,0,2021-05-07,15125,2020,468250,0,0,0,0,0,0,0,1706,Antonio Barragán
0,1,0.45580780506134033,41,Sub,Elche,Atletico Madrid,0,1,2021-05-01,15112,2020,466985,0.048123158514499664,0,2,0,0.45580780506134033,0.0663517415523529,0.0663517415523529,1706,Antonio Barragán
0,1,0.06732291728258133,90,DR,Elche,Real Valladolid,1,1,2021-04-21,15087,2020,464640,0.04823010414838791,0,1,0,0.06732291728258133,0.3509782552719116,0.3027481436729431,1706,Antonio Barragán
0,0,0,48,DR,SD Huesca,Elche,3,1,2021-04-09,15073,2020,460863,0,0,0,0,0,0.0898304358124733,0.0898304358124733,1706,Antonio Barragán
0,0,0,35,DR,Real Madrid,Elche,2,1,2021-03-13,15046,2020,456376,0,0,0,0,0,0,0,1706,Antonio Barragán
0,0,0,90,DR,Elche,Sevilla,2,1,2021-03-06,15037,2020,454662,0.10434998571872711,1,1,0,0,0,0,1706,Antonio Barragán
0,0,0,90,DR,Granada,Elche,2,1,2021-02-28,15023,2020,453309,0,0,0,0,0,0,0,1706,Antonio Barragán
0,0,0,90,DC,Barcelona,Elche,3,0,2021-02-24,14141,2020,451791,0,0,0,0,0,0.05324947461485863,0.05324947461485863,1706,Antonio Barragán
0,0,0,87,DR,Elche,Eibar,1,0,2021-02-20,15017,2020,450519,0.13625527918338776,1,2,0,0,0.08898048102855682,0,1706,Antonio Barragán
