goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,DR,Chievo,Benevento,1,0,2018-05-20,7870,2017,241076,0.19660668075084686,0,3,0,0,0.3769186735153198,0.3380551338195801,625,Bacary Sagna
0,1,0.018516678363084793,90,DC,Benevento,Genoa,1,0,2018-05-12,7861,2017,239175,0.6562004685401917,0,2,0,0.018516678363084793,0.07669395953416824,0.02848604880273342,625,Bacary Sagna
0,0,0,90,DC,SPAL 2013,Benevento,2,0,2018-05-06,7850,2017,238000,0.048400748521089554,0,1,0,0,0.06889133900403976,0.06889133900403976,625,Bacary Sagna
1,1,0.3247227668762207,90,DR,Benevento,Udinese,3,3,2018-04-29,7846,2017,236463,0.022393513470888138,0,1,1,0.3247227668762207,0.356097936630249,0.3337044417858124,625,Bacary Sagna
0,0,0,90,DR,AC Milan,Benevento,0,1,2018-04-21,7829,2017,234638,0,0,0,0,0,0.35051488876342773,0.35051488876342773,625,Bacary Sagna
0,1,0.08161981403827667,37,Sub,Benevento,Atalanta,0,3,2018-04-18,7819,2017,233356,0,0,0,0,0.08161981403827667,0.09727329760789871,0.015653487294912338,625,Bacary Sagna
0,0,0,90,DR,Sassuolo,Benevento,2,2,2018-04-15,7809,2017,232720,0.3162858188152313,0,1,0,0,0.4107854664325714,0.09449964761734009,625,Bacary Sagna
0,1,0.07475995272397995,90,DR,Benevento,Juventus,2,4,2018-04-07,7806,2017,231540,0.013823327608406544,0,1,0,0.07475995272397995,0.2166418433189392,0.14188189804553986,625,Bacary Sagna
0,0,0,46,DR,Benevento,Cagliari,1,2,2018-03-18,7781,2017,224587,0.014461170881986618,0,1,0,0,0.014461170881986618,0,625,Bacary Sagna
0,0,0,90,DR,Fiorentina,Benevento,1,0,2018-03-11,7770,2017,222915,0.4674890637397766,0,2,0,0,0.4674890637397766,0.10211135447025299,625,Bacary Sagna
0,0,0,90,DR,Inter,Benevento,2,0,2018-02-24,7757,2017,219526,0,0,0,0,0,0.010538032278418541,0.010538032278418541,625,Bacary Sagna
0,0,0,44,Sub,Benevento,Crotone,3,2,2018-02-18,7742,2017,218441,0,0,0,0,0,0,0,625,Bacary Sagna
0,0,0,15,Sub,Roma,Benevento,5,2,2018-02-11,7730,2017,217367,0,0,0,0,0,0.4566991329193115,0.4566991329193115,625,Bacary Sagna
0,0,0,25,Sub,Watford,Manchester City,0,5,2017-05-21,3519,2016,125410,0,0,0,0,0,0.18518970906734467,0.18518970906734467,625,Bacary Sagna
0,0,0,23,Sub,Manchester City,Liverpool,1,1,2017-03-19,3426,2016,133396,0,0,0,0,0,0.42711004614830017,0.42711004614830017,625,Bacary Sagna
0,0,0,90,DR,Manchester City,Stoke,0,0,2017-03-08,3418,2016,132730,0.030604133382439613,0,1,0,0,0.8814568519592285,0.8508527278900146,625,Bacary Sagna
0,0,0,90,DR,Sunderland,Manchester City,0,2,2017-03-05,3404,2016,133122,0.14029890298843384,0,1,0,0,0.6921419501304626,0.6921419501304626,625,Bacary Sagna
0,0,0,90,DR,Bournemouth,Manchester City,0,2,2017-02-13,3389,2016,130506,0.34917619824409485,0,1,0,0,1.1125836372375488,1.1125836372375488,625,Bacary Sagna
0,0,0,90,DR,West Ham,Manchester City,0,4,2017-02-01,3367,2016,132300,0,0,0,0,0,0,0,625,Bacary Sagna
0,1,0.009226550348103046,90,DR,Everton,Manchester City,4,0,2017-01-15,3348,2016,130314,0,0,0,0,0.009226550348103046,0.02579914964735508,0.01657259836792946,625,Bacary Sagna
0,0,0,90,DR,Manchester City,Burnley,2,1,2017-01-02,3332,2016,129420,0.020785337314009666,0,1,0,0,0.07854515314102173,0.07854515314102173,625,Bacary Sagna
0,0,0,90,DR,Hull,Manchester City,0,3,2016-12-26,3152,2016,129294,0.02394765429198742,0,1,0,0,0.35181745886802673,0.32786980271339417,625,Bacary Sagna
0,0,0,43,Sub,Manchester City,Arsenal,2,1,2016-12-18,3142,2016,131830,0.023598257452249527,0,1,0,0,0.023598257452249527,0,625,Bacary Sagna
0,0,0,90,DC,Leicester,Manchester City,4,2,2016-12-10,3120,2016,129931,0,0,0,0,0,0.36665865778923035,0.36665865778923035,625,Bacary Sagna
0,1,0.022039875388145447,90,DR,Burnley,Manchester City,1,2,2016-11-26,2707,2016,129102,0.018384546041488647,0,1,0,0.022039875388145447,0.08888174593448639,0.07049719989299774,625,Bacary Sagna
0,0,0,90,DR,Crystal Palace,Manchester City,1,2,2016-11-19,2703,2016,128278,0,0,0,0,0,0.6569607257843018,0.6569607257843018,625,Bacary Sagna
0,0,0,80,DR,Swansea,Manchester City,1,3,2016-09-24,515,2016,126760,0.0828975960612297,1,1,0,0,0.0828975960612297,0,625,Bacary Sagna
0,0,0,90,DR,Manchester City,Bournemouth,4,0,2016-09-17,504,2016,126383,0,0,0,0,0,0.21856430172920227,0.21856430172920227,625,Bacary Sagna
0,1,0.026315590366721153,90,DR,Manchester United,Manchester City,1,2,2016-09-10,491,2016,126094,0,0,0,0,0.026315590366721153,0.09145572781562805,0.06514014303684235,625,Bacary Sagna
0,1,0.014119744300842285,90,DR,Manchester City,Sunderland,2,1,2016-08-13,467,2016,125057,0,0,0,0,0.014119744300842285,0.28736430406570435,0.28736430406570435,625,Bacary Sagna
0,0,0,90,DR,Swansea,Manchester City,1,1,2016-05-15,457,2015,57842,0.10470699518918991,0,1,0,0,0.1721385419368744,0.1721385419368744,625,Bacary Sagna
0,0,0,90,DR,Manchester City,Arsenal,2,2,2016-05-08,446,2015,62531,0.08957380801439285,0,2,0,0,0.20131346583366394,0.18588468432426453,625,Bacary Sagna
0,0,0,22,Sub,Chelsea,Manchester City,0,3,2016-04-16,410,2015,62280,0,0,0,0,0,0.04242223501205444,0.04242223501205444,625,Bacary Sagna
0,1,0.013672580011188984,90,DR,Manchester City,Manchester United,0,1,2016-03-20,382,2015,66415,0.5929826498031616,0,2,0,0.013672580011188984,0.3525210916996002,0.24218633770942688,625,Bacary Sagna
