goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.0249222032725811,87,DC,Valencia,Espanyol,1,0,2020-07-16,12388,2019,409313,0.31281840801239014,0,1,0,0.0249222032725811,0.10066617280244827,0.10066617280244827,1716,Bernardo
0,0,0,90,DC,Espanyol,Eibar,0,2,2020-07-12,12379,2019,407779,0,0,0,0,0,0.1630677729845047,0.1630677729845047,1716,Bernardo
0,1,0.06945225596427917,90,DC,Barcelona,Espanyol,1,0,2020-07-08,12364,2019,406949,0,0,0,0,0.06945225596427917,0.012614445760846138,0.012614445760846138,1716,Bernardo
0,1,0.01330540981143713,90,DC,Espanyol,Leganes,0,1,2020-07-05,12356,2019,405664,0,0,0,0,0.01330540981143713,0,0,1716,Bernardo
0,0,0,90,DC,Real Sociedad,Espanyol,2,1,2020-07-02,12350,2019,404886,0,0,0,0,0,0.01559706311672926,0.01559706311672926,1716,Bernardo
0,1,0.4045807719230652,90,DC,Espanyol,Real Madrid,0,1,2020-06-28,12336,2019,403894,0,0,0,0,0.4045807719230652,0.023789912462234497,0.023789912462234497,1716,Bernardo
0,0,0,15,DC,Getafe,Espanyol,0,0,2020-06-16,12304,2019,400127,0,0,0,0,0,0.03096682019531727,0.03096682019531727,1716,Bernardo
1,2,0.17735038697719574,90,DC,Espanyol,Alaves,2,0,2020-06-13,12294,2019,399550,0,0,0,1,0.17735038697719574,0.4189850687980652,0.4189850687980652,1716,Bernardo
0,1,0.015876686200499535,90,DC,Osasuna,Espanyol,1,0,2020-03-08,12292,2019,397116,0,0,0,0,0.015876686200499535,0,0,1716,Bernardo
0,4,0.6024702191352844,90,DC,Espanyol,Atletico Madrid,1,1,2020-03-01,12275,2019,396328,0,0,0,0,0.6024702191352844,0.6545891761779785,0.5615674257278442,1716,Bernardo
0,0,0,90,DC,Real Valladolid,Espanyol,2,1,2020-02-23,12272,2019,395208,0,0,0,0,0,0,0,1716,Bernardo
0,0,0,90,DC,Sevilla,Espanyol,2,2,2020-02-16,12260,2019,393989,0,0,0,0,0,0,0,1716,Bernardo
0,1,0.08700276911258698,90,DC,Espanyol,Mallorca,1,0,2020-02-09,12243,2019,392973,0.06252025067806244,0,1,0,0.08700276911258698,0.4717462956905365,0.40922603011131287,1716,Bernardo
0,0,0,90,DC,Espanyol,Athletic Club,1,1,2020-01-25,12226,2019,389973,0.2399834841489792,0,1,0,0,0,0,1716,Bernardo
0,0,0,90,DC,Villarreal,Espanyol,1,2,2020-01-19,12222,2019,389684,0,0,0,0,0,0,0,1716,Bernardo
0,0,0,90,DC,Espanyol,Barcelona,2,2,2020-01-04,12206,2019,388031,0,0,0,0,0,0.3035840392112732,0.3035840392112732,1716,Bernardo
0,2,0.12072199583053589,90,DC,Leganes,Espanyol,2,0,2019-12-22,12196,2019,372048,0,0,0,0,0.12072199583053589,0,0,1716,Bernardo
1,3,0.8163060545921326,90,DC,Espanyol,Real Betis,2,2,2019-12-15,12187,2019,370485,0,0,0,1,0.8163060545921326,0,0,1716,Bernardo
0,0,0,90,DC,Real Madrid,Espanyol,2,0,2019-12-07,12180,2019,368094,0.03478189930319786,0,1,0,0,0.01221271138638258,0.01221271138638258,1716,Bernardo
0,1,0.07506970316171646,90,DC,Espanyol,Osasuna,2,4,2019-12-01,12167,2019,366949,0,0,0,0,0.07506970316171646,0.06595463305711746,0.06595463305711746,1716,Bernardo
0,0,0,90,DC,Espanyol,Getafe,1,1,2019-11-24,12155,2019,365238,0,0,0,0,0,0.10072343796491623,0.10072343796491623,1716,Bernardo
0,1,0.036880820989608765,90,DC,Atletico Madrid,Espanyol,3,1,2019-11-10,12145,2019,363949,0,0,0,0,0.036880820989608765,0.052457354962825775,0.01557653397321701,1716,Bernardo
0,1,0.011611277237534523,90,DC,Espanyol,Valencia,1,2,2019-11-02,12134,2019,361223,0,0,0,0,0.011611277237534523,0.011658738367259502,0.011658738367259502,1716,Bernardo
0,1,0.032171543687582016,90,DC,Athletic Club,Espanyol,3,0,2019-10-30,12124,2019,360766,0,0,0,0,0.032171543687582016,0.022241219878196716,0.022241219878196716,1716,Bernardo
1,1,0.07816970348358154,90,DC,Levante,Espanyol,0,1,2019-10-27,12118,2019,360211,0,0,0,1,0.07816970348358154,0,0,1716,Bernardo
0,0,0,90,DC,Espanyol,Villarreal,0,1,2019-10-20,12107,2019,358615,0,0,0,0,0,0.023315588012337685,0.023315588012337685,1716,Bernardo
0,0,0,90,DC,Alaves,Girona,2,1,2019-05-18,10327,2018,333745,0.035504452884197235,0,1,0,0,0.18974235653877258,0.18974235653877258,1716,Bernardo
0,1,0.0572480782866478,90,DC,Getafe,Girona,2,0,2019-05-05,10315,2018,330635,0,0,0,0,0.0572480782866478,0,0,1716,Bernardo
0,2,0.022107334807515144,90,DC,Girona,Sevilla,1,0,2019-04-28,10303,2018,328687,0,0,0,0,0.022107334807515144,0,0,1716,Bernardo
0,1,0.12230128794908524,90,DC,Real Valladolid,Girona,1,0,2019-04-23,10288,2018,327292,0.017522241920232773,0,1,0,0.12230128794908524,0,0,1716,Bernardo
0,0,0,90,DC,Celta Vigo,Girona,2,1,2019-04-20,10283,2018,325631,0.03659042716026306,0,1,0,0,0.15780356526374817,0.12121313810348511,1716,Bernardo
0,0,0,90,DC,Girona,Espanyol,1,2,2019-04-06,10259,2018,322381,0,0,0,0,0,0.09841925650835037,0.09841925650835037,1716,Bernardo
0,1,0.01624131202697754,90,DC,Atletico Madrid,Girona,2,0,2019-04-02,10255,2018,321535,0.11086170375347137,0,1,0,0.01624131202697754,0.14818131923675537,0.0373196117579937,1716,Bernardo
0,1,0.012982296757400036,90,DC,Girona,Valencia,2,3,2019-03-10,10221,2018,315262,0.04886521399021149,0,1,0,0.012982296757400036,0.1838594526052475,0.1838594526052475,1716,Bernardo
0,1,0.031996116042137146,90,DC,Rayo Vallecano,Girona,0,2,2019-03-01,10216,2018,311397,0,0,0,0,0.031996116042137146,0.4094006419181824,0.4094006419181824,1716,Bernardo
0,0,0,70,DC,Girona,SD Huesca,0,2,2019-02-09,10182,2018,310627,0,0,0,0,0,0,0,1716,Bernardo
0,1,0.11442520469427109,52,DC,Girona,Barcelona,0,2,2019-01-27,10161,2018,310069,0.018981020897626877,0,1,0,0.11442520469427109,0.13340622186660767,0.018981020897626877,1716,Bernardo
0,0,0,90,DC,Real Betis,Girona,3,2,2019-01-20,10153,2018,309749,0,0,0,0,0,0.04279579222202301,0.04279579222202301,1716,Bernardo
