goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,61,FW,Sevilla,Alaves,1,0,2018-05-19,8253,2017,240617,0,0,0,0,0,0.09572213888168335,0.09572213888168335,871,Bojan
0,1,0.039492081850767136,14,Sub,Alaves,Real Betis,1,3,2018-03-12,8149,2017,223551,0,0,0,0,0.039492081850767136,0.039492081850767136,0,871,Bojan
0,0,0,16,Sub,Alaves,Celta Vigo,2,1,2018-02-03,8092,2017,216631,0,0,0,0,0,0,0,871,Bojan
0,1,0.029750529676675797,70,Sub,Athletic Club,Alaves,2,0,2018-01-07,8052,2017,207268,0,0,0,0,0.029750529676675797,0.05280357599258423,0.023053046315908432,871,Bojan
0,0,0,13,Sub,Alaves,Malaga,1,0,2017-12-21,8042,2017,204512,0,0,0,0,0,0,0,871,Bojan
0,0,0,12,Sub,Atletico Madrid,Alaves,1,0,2017-12-16,8034,2017,204414,0,0,0,0,0,0,0,871,Bojan
0,0,0,64,FW,Girona,Alaves,2,3,2017-12-04,8011,2017,190887,0,0,0,0,0,0,0,871,Bojan
0,0,0,8,Sub,Alaves,Espanyol,1,0,2017-11-04,7979,2017,191011,0,0,0,0,0,0,0,871,Bojan
0,0,0,17,Sub,Alaves,Valencia,1,2,2017-10-28,7969,2017,190463,0,0,0,0,0,0.07739882916212082,0.07739882916212082,871,Bojan
0,1,0.30498206615448,10,Sub,Real Betis,Alaves,2,0,2017-10-21,7959,2017,189812,0.021470174193382263,0,1,0,0.30498206615448,0.32645222544670105,0.30498206615448,871,Bojan
0,0,0,9,Sub,Alaves,Real Sociedad,0,2,2017-10-14,7950,2017,190325,0,0,0,0,0,0,0,871,Bojan
0,0,0,64,FW,Alaves,Villarreal,0,3,2017-09-17,7912,2017,188762,0.0930490493774414,0,1,0,0,0.10598810762166977,0.10598810762166977,871,Bojan
0,2,0.4072597324848175,79,FW,Celta Vigo,Alaves,1,0,2017-09-10,7902,2017,188498,0,0,0,0,0.4072597324848175,0.4072597324848175,0,871,Bojan
0,1,0.028223108500242233,73,AMC,Everton,Stoke,1,0,2017-08-12,7125,2017,175923,0.021833673119544983,0,1,0,0.028223108500242233,0.050056781619787216,0,871,Bojan
0,1,0.057911232113838196,90,AMC,FC Cologne,Mainz 05,2,0,2017-05-20,3878,2016,142383,0.06341107189655304,0,3,0,0.057911232113838196,0.02968067117035389,0,871,Bojan
0,1,0.023209480568766594,90,AMC,Mainz 05,Eintracht Frankfurt,4,2,2017-05-13,3868,2016,148289,0.18758341670036316,1,5,0,0.023209480568766594,0.28802213072776794,0.18336062133312225,871,Bojan
0,2,0.060330286622047424,90,FW,Mainz 05,Borussia M.Gladbach,1,2,2017-04-29,3855,2016,149598,0.08607551455497742,0,1,0,0.060330286622047424,0.06776966154575348,0.007439376786351204,871,Bojan
1,3,0.36158961057662964,69,AMC,Bayern Munich,Mainz 05,2,2,2017-04-22,3839,2016,148581,0,0,0,1,0.36158961057662964,0.36158961057662964,0,871,Bojan
