goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,48,DC,Hull,Tottenham,1,7,2017-05-21,3513,2016,125223,0,0,0,0,0,0,0,1686,Curtis Davies
0,0,0,37,Sub,Crystal Palace,Hull,4,0,2017-05-14,3501,2016,135254,0,0,0,0,0,0,0,1686,Curtis Davies
0,0,0,49,DC,Hull,West Ham,2,1,2017-04-01,3433,2016,132593,0,0,0,0,0,0,0,1686,Curtis Davies
0,0,0,65,DC,Everton,Hull,4,0,2017-03-18,3427,2016,133289,0,0,0,0,0,0.01494236383587122,0.01494236383587122,1686,Curtis Davies
0,0,0,68,DC,Chelsea,Hull,2,0,2017-01-22,3359,2016,131472,0,0,0,0,0,0,0,1686,Curtis Davies
0,2,0.19271644949913025,90,DC,Hull,Bournemouth,3,1,2017-01-14,3344,2016,130409,0,0,0,0,0.19271644949913025,0,0,1686,Curtis Davies
0,0,0,86,DC,West Bromwich Albion,Hull,3,1,2017-01-02,3333,2016,129987,0,0,0,0,0,0.01292494498193264,0.01292494498193264,1686,Curtis Davies
0,0,0,90,DC,Hull,Everton,2,2,2016-12-31,3155,2016,130327,0.07357393950223923,1,1,0,0,0.26688605546951294,0.26688605546951294,1686,Curtis Davies
0,0,0,90,DC,Hull,Manchester City,0,3,2016-12-26,3152,2016,129280,0,0,0,0,0,0,0,1686,Curtis Davies
0,0,0,90,DC,West Ham,Hull,1,0,2016-12-17,3137,2016,128965,0,0,0,0,0,0.015823256224393845,0.015823256224393845,1686,Curtis Davies
0,0,0,90,DC,Tottenham,Hull,3,0,2016-12-15,3134,2016,131500,0,0,0,0,0,0,0,1686,Curtis Davies
0,0,0,90,DC,Hull,Crystal Palace,3,3,2016-12-10,3116,2016,129808,0,0,0,0,0,0.13250140845775604,0.13250140845775604,1686,Curtis Davies
0,0,0,90,DC,Middlesbrough,Hull,1,0,2016-12-06,3114,2016,128661,0,0,0,0,0,0.015493209473788738,0.015493209473788738,1686,Curtis Davies
0,1,0.019659949466586113,90,DC,Hull,West Bromwich Albion,1,1,2016-11-26,2708,2016,129253,0,0,0,0,0.019659949466586113,0.01647496409714222,0.01647496409714222,1686,Curtis Davies
0,1,0.05080089718103409,90,DC,Sunderland,Hull,3,0,2016-11-19,2700,2016,128688,0,0,0,0,0.05080089718103409,0.08778258413076401,0.08778258413076401,1686,Curtis Davies
