goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,15,Sub,Liverpool,Middlesbrough,3,0,2017-05-21,3515,2016,125301,0,0,0,0,0,0,0,1718,Daniel Ayala
0,0,0,56,DC,Middlesbrough,Sunderland,1,0,2017-04-26,3413,2016,132842,0,0,0,0,0,0.36692747473716736,0.36692747473716736,1718,Daniel Ayala
0,1,0.10557880252599716,90,DC,Bournemouth,Middlesbrough,4,0,2017-04-22,3471,2016,135163,0,0,0,0,0.10557880252599716,0.05988088250160217,0.05988088250160217,1718,Daniel Ayala
0,3,0.6634714603424072,90,DC,Middlesbrough,Arsenal,1,2,2017-04-17,3461,2016,134707,0,0,0,0,0.6634714603424072,0,0,1718,Daniel Ayala
0,2,0.20049697160720825,90,DC,Middlesbrough,Burnley,0,0,2017-04-08,3456,2016,133467,0,0,0,0,0.20049697160720825,0.14830629527568817,0.14830629527568817,1718,Daniel Ayala
0,0,0,90,DC,Hull,Middlesbrough,4,2,2017-04-05,3442,2016,133535,0,0,0,0,0,0.08635382354259491,0.08635382354259491,1718,Daniel Ayala
0,0,0,7,DC,Stoke,Middlesbrough,2,0,2017-03-04,3403,2016,133017,0,0,0,0,0,0,0,1718,Daniel Ayala
0,0,0,90,DC,Crystal Palace,Middlesbrough,1,0,2017-02-25,3392,2016,131530,0,0,0,0,0,0,0,1718,Daniel Ayala
0,0,0,90,DC,Arsenal,Middlesbrough,0,0,2016-10-22,547,2016,126983,0,0,0,0,0,0.40544459223747253,0.40544459223747253,1718,Daniel Ayala
0,0,0,20,Sub,Middlesbrough,Watford,0,1,2016-10-16,538,2016,126869,0,0,0,0,0,0,0,1718,Daniel Ayala
0,0,0,90,DC,Everton,Middlesbrough,3,1,2016-09-17,506,2016,126316,0,0,0,0,0,0.015039891004562378,0.015039891004562378,1718,Daniel Ayala
1,2,0.06883782893419266,90,DC,Middlesbrough,Crystal Palace,1,2,2016-09-10,492,2016,126110,0,0,0,1,0.06883782893419266,0.07098057866096497,0.07098057866096497,1718,Daniel Ayala
0,2,0.17214186489582062,90,DC,West Bromwich Albion,Middlesbrough,0,0,2016-08-28,489,2016,125957,0,0,0,0,0.17214186489582062,0.0130965830758214,0.0130965830758214,1718,Daniel Ayala
0,0,0,5,Sub,Sunderland,Middlesbrough,1,2,2016-08-21,479,2016,125550,0,0,0,0,0,0.022822247818112373,0.022822247818112373,1718,Daniel Ayala
