goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,2,0.15210272371768951,90,FW,Newcastle United,Liverpool,2,3,2019-05-04,9559,2018,330586,0.07123533636331558,0,1,0,0.15210272371768951,0.5750822424888611,0.3517441749572754,483,Daniel Sturridge
0,2,0.06316356360912323,74,FW,Liverpool,Huddersfield,5,0,2019-04-26,9551,2018,328028,0.030436325818300247,0,1,0,0.06316356360912323,0.42900460958480835,0.3658410608768463,483,Daniel Sturridge
0,0,0,1,Sub,Fulham,Liverpool,1,2,2019-03-17,9502,2018,317002,0,0,0,0,0,0,0,483,Daniel Sturridge
0,1,0.023818882182240486,1,Sub,Liverpool,Burnley,4,2,2019-03-10,9490,2018,314996,0.5468646883964539,1,1,0,0.023818882182240486,0.5706835985183716,0,483,Daniel Sturridge
0,1,0.007893281988799572,60,Sub,Manchester United,Liverpool,0,0,2019-02-24,9459,2018,304903,0,0,0,0,0.007893281988799572,0.007893281988799572,0,483,Daniel Sturridge
0,0,0,1,Sub,Liverpool,Bournemouth,3,0,2019-02-09,9455,2018,304560,0,0,0,0,0,0,0,483,Daniel Sturridge
0,1,0.03573237359523773,6,Sub,Liverpool,Leicester,1,1,2019-01-30,9436,2018,304118,0,0,0,0,0.03573237359523773,0.03573237359523773,0,483,Daniel Sturridge
0,0,0,2,Sub,Manchester City,Liverpool,2,1,2019-01-03,9400,2018,303316,0,0,0,0,0,0,0,483,Daniel Sturridge
0,1,0.08957410603761673,20,Sub,Liverpool,Newcastle United,4,0,2018-12-26,9381,2018,279177,0,0,0,0,0.08957410603761673,0.8741695284843445,0.7845954298973083,483,Daniel Sturridge
0,1,0.03098214976489544,90,FW,Burnley,Liverpool,1,3,2018-12-05,9343,2018,278081,0.0666322186589241,0,1,0,0.03098214976489544,0.6206127405166626,0.5896306037902832,483,Daniel Sturridge
0,1,0.04170959070324898,14,Sub,Liverpool,Everton,1,0,2018-12-02,9330,2018,277903,0.1002800241112709,0,1,0,0.04170959070324898,0.1002800241112709,0,483,Daniel Sturridge
0,2,0.08351404219865799,90,FW,Huddersfield,Liverpool,0,1,2018-10-20,9284,2018,276474,0.25676625967025757,0,3,0,0.08351404219865799,0.5427467226982117,0.2906118929386139,483,Daniel Sturridge
0,1,0.1068817600607872,16,Sub,Liverpool,Manchester City,0,0,2018-10-07,9276,2018,276243,0,0,0,0,0.1068817600607872,0.1068817600607872,0,483,Daniel Sturridge
1,1,0.01895153522491455,3,Sub,Chelsea,Liverpool,1,1,2018-09-29,9264,2018,260426,0,0,0,1,0.01895153522491455,0.01895153522491455,0,483,Daniel Sturridge
0,0,0,6,Sub,Tottenham,Liverpool,1,2,2018-09-15,9237,2018,259986,0,0,0,0,0,0,0,483,Daniel Sturridge
0,2,0.08018936216831207,8,Sub,Liverpool,Brighton,1,0,2018-08-25,9223,2018,259337,0,0,0,0,0.08018936216831207,0.2349960207939148,0.15480665862560272,483,Daniel Sturridge
0,0,0,1,Sub,Crystal Palace,Liverpool,0,2,2018-08-20,9216,2018,259072,0,0,0,0,0,0,0,483,Daniel Sturridge
