goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.11060589551925659,4,Sub,Hull,Swansea,2,1,2017-03-11,3417,2016,132658,0,0,0,0,0.11060589551925659,0.11060589551925659,0,1693,David Meyler
0,0,0,21,Sub,Hull,Burnley,1,1,2017-02-25,3394,2016,131691,0,0,0,0,0,0,0,1693,David Meyler
0,0,0,8,Sub,Hull,Liverpool,2,0,2017-02-04,3373,2016,129625,0,0,0,0,0,0,0,1693,David Meyler
0,0,0,90,DR,Manchester United,Hull,0,0,2017-02-01,3368,2016,132328,0,0,0,0,0,0,0,1693,David Meyler
0,1,0.01861349493265152,70,Sub,Chelsea,Hull,2,0,2017-01-22,3359,2016,131481,0,0,0,0,0.01861349493265152,0.07967984676361084,0.06106634810566902,1693,David Meyler
0,0,0,58,MC,Hull,Everton,2,2,2016-12-31,3155,2016,130333,0,0,0,0,0,0,0,1693,David Meyler
0,0,0,15,Sub,Tottenham,Hull,3,0,2016-12-15,3134,2016,131509,0,0,0,0,0,0,0,1693,David Meyler
0,0,0,8,Sub,Middlesbrough,Hull,1,0,2016-12-06,3114,2016,128669,0,0,0,0,0,0.02085465006530285,0.02085465006530285,1693,David Meyler
0,0,0,1,Sub,Hull,West Bromwich Albion,1,1,2016-11-26,2708,2016,129262,0,0,0,0,0,0,0,1693,David Meyler
0,1,0.04516291245818138,9,Sub,Sunderland,Hull,3,0,2016-11-19,2700,2016,128696,0,0,0,0,0.04516291245818138,0.04516291245818138,0.04516291245818138,1693,David Meyler
0,0,0,11,Sub,Watford,Hull,1,0,2016-10-29,2679,2016,127872,0,0,0,0,0,0,0,1693,David Meyler
0,0,0,56,MR,Hull,Stoke,0,2,2016-10-22,545,2016,127189,0,0,0,0,0,0.1115809977054596,0.1115809977054596,1693,David Meyler
0,0,0,9,Sub,Bournemouth,Hull,6,1,2016-10-15,533,2016,127621,0.07508030533790588,0,2,0,0,0.07508030533790588,0,1693,David Meyler
0,0,0,90,DR,Hull,Chelsea,0,2,2016-10-01,524,2016,127100,0.010642836801707745,0,1,0,0,0.023893339559435844,0.0132505027577281,1693,David Meyler
1,1,0.11597222834825516,58,Sub,Liverpool,Hull,5,1,2016-09-24,516,2016,126630,0,0,0,1,0.11597222834825516,0,0,1693,David Meyler
0,1,0.017110072076320648,90,MC,Hull,Arsenal,1,4,2016-09-17,502,2016,126332,0,0,0,0,0.017110072076320648,0.02619187906384468,0.02619187906384468,1693,David Meyler
0,1,0.11779181659221649,75,MC,Burnley,Hull,1,1,2016-09-10,496,2016,126044,0.38183966279029846,0,1,0,0.11779181659221649,0.5624874830245972,0.5624874830245972,1693,David Meyler
0,1,0.06716650724411011,90,MC,Hull,Manchester United,0,1,2016-08-27,488,2016,125778,0.038586825132369995,0,2,0,0.06716650724411011,0.1433052271604538,0.07613871991634369,1693,David Meyler
0,0,0,90,MC,Swansea,Hull,0,2,2016-08-20,474,2016,125570,0,0,0,0,0,0.446796178817749,0.446796178817749,1693,David Meyler
0,1,0.015714814886450768,90,MC,Hull,Leicester,2,1,2016-08-13,461,2016,125036,0,0,0,0,0.015714814886450768,0.015714814886450768,0,1693,David Meyler
0,1,0.07462920248508453,88,MC,Hull,Manchester United,0,0,2015-05-24,4435,2014,25842,0,0,0,0,0.07462920248508453,0.07462920248508453,0,1693,David Meyler
0,0,0,90,MC,Tottenham,Hull,2,0,2015-05-16,4422,2014,24239,0,0,0,0,0,0.03273878991603851,0.03273878991603851,1693,David Meyler
0,0,0,32,Sub,Hull,Burnley,0,1,2015-05-09,4410,2014,24065,0,0,0,0,0,0.14604076743125916,0.14604076743125916,1693,David Meyler
0,0,0,42,Sub,Hull,Arsenal,1,3,2015-05-04,4408,2014,23901,0.026165671646595,0,2,0,0,0.30258709192276,0.2897498905658722,1693,David Meyler
0,0,0,54,MC,Swansea,Hull,3,1,2015-04-04,4444,2014,25527,0,0,0,0,0,0.013399546965956688,0.013399546965956688,1693,David Meyler
0,2,0.033920980989933014,82,MC,Hull,Chelsea,2,3,2015-03-22,4511,2014,24361,0,0,0,0,0.033920980989933014,0.32611143589019775,0.3058607876300812,1693,David Meyler
0,0,0,10,Sub,Leicester,Hull,0,0,2015-03-14,4495,2014,25889,0,0,0,0,0,0,0,1693,David Meyler
0,2,0.08592090010643005,90,MC,Hull,Sunderland,1,1,2015-03-03,4483,2014,27238,0.11451911181211472,0,3,0,0.08592090010643005,0.25271153450012207,0.1330018937587738,1693,David Meyler
0,0,0,65,MC,Stoke,Hull,1,0,2015-02-28,4547,2014,26812,0.3444885313510895,0,1,0,0,0.3444885313510895,0,1693,David Meyler
0,1,0.015863079577684402,85,MC,Hull,Queens Park Rangers,2,1,2015-02-21,4540,2014,27075,0.015151670202612877,0,1,0,0.015863079577684402,0.16470114886760712,0.14883805811405182,1693,David Meyler
0,0,0,90,MC,Hull,Aston Villa,2,0,2015-02-10,4527,2014,26994,0.08661376684904099,0,1,0,0,0.101331926882267,0.014718160033226013,1693,David Meyler
1,1,0.4709387421607971,90,ML,Manchester City,Hull,1,1,2015-02-07,4519,2014,26210,0,0,0,1,0.4709387421607971,0.9648988842964172,0.4939601421356201,1693,David Meyler
0,1,0.07092735916376114,58,MR,Hull,Newcastle United,0,3,2015-01-31,4581,2014,26278,0,0,0,0,0.07092735916376114,0.044000279158353806,0.044000279158353806,1693,David Meyler
0,0,0,90,MC,West Ham,Hull,3,0,2015-01-18,4578,2014,22258,0.0213305726647377,0,1,0,0,0.07212039083242416,0.07212039083242416,1693,David Meyler
0,2,0.06777708977460861,90,MC,West Bromwich Albion,Hull,1,0,2015-01-10,4563,2014,21176,0,0,0,0,0.06777708977460861,0.08293803036212921,0.0151609405875206,1693,David Meyler
