goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,DMC,Angers,Dijon,3,0,2021-05-09,16106,2020,469315,0,0,0,0,0,0.08810555189847946,0.08810555189847946,1720,Didier Ndong
0,1,0.05157673731446266,90,MC,Dijon,Reims,0,1,2021-03-21,16051,2020,458565,0,0,0,0,0.05157673731446266,0.2214602380990982,0.16988350450992584,1720,Didier Ndong
0,0,0,90,DMC,Dijon,Bordeaux,1,3,2021-03-14,16037,2020,456975,0,0,0,0,0,0.6058339476585388,0.6058339476585388,1720,Didier Ndong
0,0,0,90,DMC,Brest,Dijon,3,1,2021-03-03,16027,2020,453627,0.07874112576246262,0,1,0,0,0.1290062665939331,0.05026514455676079,1720,Didier Ndong
0,0,0,90,MC,Lens,Dijon,2,1,2021-02-21,16007,2020,451316,0,0,0,0,0,0.07482215017080307,0.07482215017080307,1720,Didier Ndong
0,0,0,90,DMC,Dijon,Nimes,0,2,2021-02-14,15998,2020,449586,0,0,0,0,0,0.1582297831773758,0.1582297831773758,1720,Didier Ndong
0,0,0,90,DMC,Montpellier,Dijon,4,2,2021-02-07,15986,2020,448155,0,0,0,0,0,0.041135273873806,0.041135273873806,1720,Didier Ndong
0,2,0.04180239140987396,90,MC,Dijon,Lyon,0,1,2021-02-03,15977,2020,447160,0.3480142652988434,0,1,0,0.04180239140987396,0.7535201907157898,0.36370354890823364,1720,Didier Ndong
0,1,0.015183888375759125,90,DMC,Lille,Dijon,1,0,2021-01-31,15967,2020,446403,0,0,0,0,0.015183888375759125,0.07381973415613174,0.05863584578037262,1720,Didier Ndong
0,0,0,90,MC,Lorient,Dijon,3,2,2021-01-27,15949,2020,445164,0,0,0,0,0,0,0,1720,Didier Ndong
0,0,0,90,DMC,Dijon,Strasbourg,1,1,2021-01-24,15957,2020,444572,0,0,0,0,0,0.11476431041955948,0.11476431041955948,1720,Didier Ndong
0,0,0,90,MC,Dijon,Marseille,0,0,2021-01-09,15937,2020,441093,0,0,0,0,0,0.04702611267566681,0.04702611267566681,1720,Didier Ndong
0,0,0,90,DMC,Reims,Dijon,0,0,2021-01-06,15932,2020,440598,0,0,0,0,0,0,0,1720,Didier Ndong
0,0,0,90,DMC,Nimes,Dijon,1,3,2020-12-23,15925,2020,437486,0,0,0,0,0,0.6070349812507629,0.6070349812507629,1720,Didier Ndong
0,0,0,90,DMC,Dijon,Monaco,0,1,2020-12-20,15907,2020,436606,0,0,0,0,0,0.02175217680633068,0.02175217680633068,1720,Didier Ndong
0,0,0,90,DMC,Dijon,Lille,0,2,2020-12-16,15899,2020,434851,0,0,0,0,0,0.012426297180354595,0.012426297180354595,1720,Didier Ndong
0,0,0,90,DMC,Nantes,Dijon,1,1,2020-12-13,15891,2020,433663,0.41889145970344543,1,2,0,0,0.5378357172012329,0.11894427239894867,1720,Didier Ndong
0,0,0,90,DMC,Dijon,Saint-Etienne,0,0,2020-12-06,15878,2020,431910,0,0,0,0,0,0,0,1720,Didier Ndong
0,0,0,90,DMC,Nice,Dijon,1,3,2020-11-29,15873,2020,430470,0,0,0,0,0,0.0711267814040184,0.0711267814040184,1720,Didier Ndong
0,0,0,90,DMC,Dijon,Lens,0,1,2020-11-22,15858,2020,428586,0.07021991163492203,0,2,0,0,0.09093027561903,0.09093027561903,1720,Didier Ndong
0,0,0,90,DMC,Metz,Dijon,1,1,2020-11-08,15851,2020,426889,0,0,0,0,0,0.2416624277830124,0.2416624277830124,1720,Didier Ndong
0,0,0,90,MC,Paris Saint Germain,Dijon,4,0,2020-10-24,15831,2020,423202,0.04045659676194191,0,1,0,0,0.09949242323637009,0.05903582647442818,1720,Didier Ndong
0,0,0,90,DMC,Dijon,Rennes,1,1,2020-10-16,15817,2020,420729,0.06294688582420349,0,2,0,0,0.15393444895744324,0.09098755568265915,1720,Didier Ndong
0,0,0,90,MC,Bordeaux,Dijon,3,0,2020-10-04,15811,2020,420180,0,0,0,0,0,0.0210405346006155,0.0210405346006155,1720,Didier Ndong
0,0,0,90,DMC,Dijon,Montpellier,2,2,2020-09-27,14218,2020,418096,0,0,0,0,0,0.31053870916366577,0.31053870916366577,1720,Didier Ndong
0,0,0,90,MC,Strasbourg,Dijon,1,0,2020-09-20,14208,2020,416400,0,0,0,0,0,0.09810969978570938,0.09810969978570938,1720,Didier Ndong
0,2,0.041400980204343796,90,MC,Dijon,Brest,0,2,2020-09-13,14196,2020,414887,0,0,0,0,0.041400980204343796,0.12118368595838547,0.10569286346435547,1720,Didier Ndong
0,0,0,90,DMC,Lyon,Dijon,4,1,2020-08-28,13990,2020,413918,0,0,0,0,0,0.09899409115314484,0.09899409115314484,1720,Didier Ndong
