goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,12,Sub,Hull,Sunderland,0,2,2017-05-06,3494,2016,134909,0,0,0,0,0,0,0,795,Dieumerci Mbokani
0,0,0,2,Sub,Stoke,Hull,3,1,2017-04-15,3463,2016,134839,0,0,0,0,0,0,0,795,Dieumerci Mbokani
0,2,0.18603266775608063,69,FW,Hull,Burnley,1,1,2017-02-25,3394,2016,131690,0.10279623419046402,0,2,0,0.18603266775608063,0.28882890939712524,0.044789284467697144,795,Dieumerci Mbokani
0,1,0.03547391667962074,67,FW,West Bromwich Albion,Hull,3,1,2017-01-02,3333,2016,129994,0,0,0,0,0.03547391667962074,0.02060341276228428,0.02060341276228428,795,Dieumerci Mbokani
0,3,0.17691154778003693,90,FW,Hull,Everton,2,2,2016-12-31,3155,2016,130335,0,0,0,0,0.17691154778003693,0.17691154778003693,0,795,Dieumerci Mbokani
0,0,0,90,FW,Hull,Manchester City,0,3,2016-12-26,3152,2016,129289,0,0,0,0,0,0.11185514181852341,0.11185514181852341,795,Dieumerci Mbokani
0,4,0.5415751338005066,73,FW,West Ham,Hull,1,0,2016-12-17,3137,2016,128973,0.1690140813589096,0,2,0,0.5415751338005066,0.6593469381332397,0,795,Dieumerci Mbokani
0,1,0.010755673050880432,90,FW,Hull,West Bromwich Albion,1,1,2016-11-26,2708,2016,129261,0.08452087640762329,1,1,0,0.010755673050880432,0.18106578290462494,0.1703101098537445,795,Dieumerci Mbokani
0,3,0.599143922328949,90,FW,Sunderland,Hull,3,0,2016-11-19,2700,2016,128695,0.09473172575235367,0,3,0,0.599143922328949,0.24440482258796692,0.01814432255923748,795,Dieumerci Mbokani
0,0,0,82,Sub,Hull,Southampton,2,1,2016-11-06,2694,2016,128465,0,0,0,0,0,0,0,795,Dieumerci Mbokani
0,0,0,90,FW,Hull,Chelsea,0,2,2016-10-01,524,2016,127109,0,0,0,0,0,0.0132505027577281,0.0132505027577281,795,Dieumerci Mbokani
0,0,0,10,Sub,Hull,Arsenal,1,4,2016-09-17,502,2016,126338,0,0,0,0,0,0,0,795,Dieumerci Mbokani
2,3,1.125296950340271,90,FW,Norwich,Watford,4,2,2016-05-11,448,2015,62403,0,0,0,2,1.125296950340271,1.246627926826477,0.12133103609085083,795,Dieumerci Mbokani
0,1,0.2284189909696579,24,Sub,Norwich,Manchester United,0,1,2016-05-07,437,2015,62649,0.07089530676603317,0,1,0,0.2284189909696579,0.2993142902851105,0,795,Dieumerci Mbokani
0,1,0.03654640540480614,20,Sub,Arsenal,Norwich,1,0,2016-04-30,432,2015,62859,0,0,0,0,0.03654640540480614,0.03654640540480614,0,795,Dieumerci Mbokani
0,4,0.4864564836025238,90,FW,Norwich,Sunderland,0,3,2016-04-16,405,2015,62788,0.023239167407155037,0,1,0,0.4864564836025238,0.587459146976471,0.14153634011745453,795,Dieumerci Mbokani
0,1,0.09880197048187256,90,FW,Crystal Palace,Norwich,1,0,2016-04-09,399,2015,66714,0.10483687371015549,0,2,0,0.09880197048187256,0.21433252096176147,0.11553055793046951,795,Dieumerci Mbokani
1,3,0.7129184603691101,88,FW,Norwich,Newcastle United,3,2,2016-04-02,387,2015,66150,0.26171594858169556,0,4,1,0.7129184603691101,0.9746344089508057,0,795,Dieumerci Mbokani
0,0,0,90,FW,West Bromwich Albion,Norwich,0,1,2016-03-19,378,2015,67100,0.04533035680651665,0,2,0,0,0.5109472274780273,0.4656168818473816,795,Dieumerci Mbokani
