goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.07384209334850311,90,FWL,Marseille,Lyon,0,3,2022-05-01,18164,2021,531481,0.36729633808135986,0,2,0,0.07384209334850311,1.1009544134140015,0.7848807573318481,536,Dimitri Payet
0,3,0.12567715346813202,43,Sub,Reims,Marseille,0,1,2022-04-24,18159,2021,529710,0.06023276969790459,1,1,0,0.12567715346813202,0.04444507509469986,0.015390056185424328,536,Dimitri Payet
2,4,1.5864284038543701,90,FWL,Marseille,Nantes,3,2,2022-04-20,18147,2021,528042,0.6007468104362488,0,4,0,0.06623809039592743,0.9320222735404968,0.42562738060951233,536,Dimitri Payet
0,0,0,90,FW,Paris Saint Germain,Marseille,2,1,2022-04-17,18138,2021,527361,0.09060775488615036,0,1,0,0,0,0,536,Dimitri Payet
0,2,0.15700840950012207,29,Sub,Marseille,Montpellier,2,0,2022-04-10,18128,2021,525796,0,0,0,0,0.15700840950012207,0.43358752131462097,0.43358752131462097,536,Dimitri Payet
1,4,1.5959322452545166,83,AML,Saint-Etienne,Marseille,2,4,2022-04-03,18119,2021,524058,0.18215574324131012,0,3,0,0.8358371257781982,1.8743559122085571,1.0365427732467651,536,Dimitri Payet
0,2,0.1016044095158577,90,AMC,Marseille,Nice,2,1,2022-03-20,18106,2021,522273,0.4603409469127655,0,3,0,0.1016044095158577,0.14464013278484344,0.04303572326898575,536,Dimitri Payet
0,1,0.023090073838829994,90,AMC,Marseille,Monaco,0,1,2022-03-06,18089,2021,518535,0.49415159225463867,0,6,0,0.023090073838829994,0.38619479537010193,0.07820446789264679,536,Dimitri Payet
1,2,0.8340510129928589,80,FW,Troyes,Marseille,1,1,2022-02-27,18072,2021,516782,0,0,0,0,0.07395585626363754,0.0405489057302475,0.0405489057302475,536,Dimitri Payet
0,3,0.16978208720684052,90,FWL,Marseille,Clermont Foot,0,2,2022-02-20,18071,2021,515145,0.035672664642333984,0,1,0,0.16978208720684052,0.408052533864975,0.23827044665813446,536,Dimitri Payet
0,0,0,90,FW,Metz,Marseille,1,2,2022-02-13,18061,2021,513628,0.3755395710468292,0,3,0,0,0.829257607460022,0.4963277280330658,536,Dimitri Payet
0,1,0.06921888142824173,82,AMC,Marseille,Angers,5,2,2022-02-04,18046,2021,510909,0.12426944822072983,0,3,0,0.06921888142824173,0.7609899640083313,0.7609899640083313,536,Dimitri Payet
0,1,0.006633644457906485,90,FW,Lyon,Marseille,2,1,2022-02-02,17955,2021,510835,0.4345366656780243,1,1,0,0.006633644457906485,0.039892975240945816,0.03325933218002319,536,Dimitri Payet
1,3,0.9213101863861084,90,FW,Lens,Marseille,0,2,2022-01-22,18036,2021,510018,0.026370013132691383,0,1,0,0.16121505200862885,0.24919389188289642,0.12776784598827362,536,Dimitri Payet
0,2,0.12253330647945404,90,FWL,Marseille,Lille,1,1,2022-01-16,18023,2021,508741,0.1471487134695053,1,6,0,0.12253330647945404,0.14746347069740295,0.12353461980819702,536,Dimitri Payet
0,3,0.14203131198883057,90,FW,Bordeaux,Marseille,0,1,2022-01-07,18016,2021,506510,0.6069229245185852,0,7,0,0.14203131198883057,0.9107383489608765,0.4348255395889282,536,Dimitri Payet
1,4,0.8832163214683533,90,FWL,Marseille,Reims,1,1,2021-12-22,18006,2021,504899,0.5845165252685547,0,3,0,0.12312117218971252,0.6782484650611877,0,536,Dimitri Payet
0,0,0,90,FW,Strasbourg,Marseille,0,2,2021-12-12,17992,2021,502512,0.46430325508117676,1,3,0,0,0.5114226937294006,0.15885712206363678,536,Dimitri Payet
0,1,0.07640426605939865,90,FW,Marseille,Brest,1,2,2021-12-04,17987,2021,500009,0.48488306999206543,1,4,0,0.07640426605939865,0.974135160446167,0.8187410235404968,536,Dimitri Payet
0,4,0.295463502407074,90,FW,Nantes,Marseille,0,1,2021-12-01,17977,2021,499229,0.11541786789894104,1,1,0,0.295463502407074,0.8973446488380432,0.6073868870735168,536,Dimitri Payet
0,4,0.23777346312999725,90,MC,Marseille,Troyes,1,0,2021-11-28,17968,2021,498402,0.8174388408660889,1,8,0,0.23777346312999725,0.895418643951416,0.1888750195503235,536,Dimitri Payet
0,1,0.020528804510831833,90,AMC,Marseille,Metz,0,0,2021-11-07,17946,2021,494416,0.5007845163345337,0,3,0,0.020528804510831833,0.7283846139907837,0.2601158320903778,536,Dimitri Payet
0,0,0,32,Sub,Clermont Foot,Marseille,0,1,2021-10-31,17935,2021,493323,0.17885836958885193,0,2,0,0,0.36026909947395325,0.21475468575954437,536,Dimitri Payet
1,2,0.17443785071372986,90,AMC,Nice,Marseille,1,1,2021-10-27,17851,2021,491628,0.059851571917533875,0,2,1,0.17443785071372986,0.2093406319618225,0,536,Dimitri Payet
0,2,0.15802447497844696,90,AMC,Marseille,Paris Saint Germain,0,0,2021-10-24,17925,2021,491023,0.5568313598632812,0,5,0,0.15802447497844696,0.7790045738220215,0.4232402741909027,536,Dimitri Payet
0,3,0.20507332682609558,90,AMC,Marseille,Lorient,4,1,2021-10-17,17916,2021,489214,1.068091869354248,3,7,0,0.20507332682609558,0.9351296424865723,0.11867818236351013,536,Dimitri Payet
2,2,0.8627867698669434,90,FW,Marseille,Lens,2,3,2021-09-26,17896,2021,485805,0.16027270257472992,0,3,1,0.1026916429400444,0.3223270773887634,0.28468525409698486,536,Dimitri Payet
0,2,0.6270052790641785,90,AMC,Marseille,Rennes,2,0,2021-09-19,17877,2021,482891,0.837284505367279,0,7,0,0.6270052790641785,1.3765079975128174,0.5808250904083252,536,Dimitri Payet
0,2,0.1760604828596115,90,FW,Marseille,Saint-Etienne,3,1,2021-08-28,17854,2021,479310,0.5746536254882812,1,6,0,0.1760604828596115,1.2352231740951538,0.5250613689422607,536,Dimitri Payet
1,3,0.1678995043039322,90,FW,Marseille,Bordeaux,2,2,2021-08-15,17841,2021,476423,0.09168898314237595,0,1,1,0.1678995043039322,0.15867701172828674,0,536,Dimitri Payet
2,6,0.4106318950653076,90,FW,Montpellier,Marseille,2,3,2021-08-08,17831,2021,475106,0.09354755282402039,0,2,2,0.4106318950653076,0.4771985709667206,0.21349425613880157,536,Dimitri Payet
0,0,0,90,AMC,Metz,Marseille,1,1,2021-05-23,16130,2020,473922,0.155471533536911,0,3,0,0,0.06606429815292358,0,536,Dimitri Payet
0,3,0.1622101217508316,90,FW,Marseille,Angers,3,2,2021-05-16,16120,2020,472058,0.5922285914421082,1,5,0,0.1622101217508316,1.6011571884155273,0.8865078091621399,536,Dimitri Payet
0,4,0.1813596934080124,90,FW,Saint-Etienne,Marseille,1,0,2021-05-09,16114,2020,469076,0.2262788563966751,0,2,0,0.1813596934080124,0.5636186003684998,0.5288305878639221,536,Dimitri Payet
0,2,0.071876659989357,90,FW,Marseille,Strasbourg,1,1,2021-04-30,16100,2020,466746,0.06237761303782463,0,1,0,0.071876659989357,0.41092005372047424,0.3246012330055237,536,Dimitri Payet
2,4,1.1548492908477783,90,FW,Reims,Marseille,1,3,2021-04-23,16090,2020,465029,0.9967854022979736,1,2,2,1.1548492908477783,2.1308043003082275,0.04016011580824852,536,Dimitri Payet
1,3,1.0077542066574097,90,FW,Marseille,Lorient,3,2,2021-04-17,16081,2020,463018,0.08610932528972626,1,2,1,1.0077542066574097,1.5651909112930298,1.4400521516799927,536,Dimitri Payet
0,1,0.05898507684469223,84,AMC,Montpellier,Marseille,3,3,2021-04-10,16071,2020,461505,1.0042861700057983,1,3,0,0.05898507684469223,1.0238233804702759,0.413098007440567,536,Dimitri Payet
0,4,0.7936540246009827,90,AMC,Marseille,Dijon,2,0,2021-04-04,16062,2020,460560,0.4073251485824585,2,4,0,0.7936540246009827,0.9142595529556274,0.09363367408514023,536,Dimitri Payet
0,1,0.06199539080262184,75,FW,Nice,Marseille,3,0,2021-03-20,16046,2020,458192,0.03433111310005188,0,1,0,0.06199539080262184,0.16205935180187225,0.10006395727396011,536,Dimitri Payet
0,0,0,85,FW,Marseille,Brest,3,1,2021-03-13,16040,2020,456400,0.3956584334373474,1,5,0,0,0.341154545545578,0.17078380286693573,536,Dimitri Payet
0,2,0.1258460283279419,83,FW,Marseille,Rennes,1,0,2021-03-10,15971,2020,455736,0.07598252594470978,0,1,0,0.1258460283279419,0.5290195345878601,0.4031734764575958,536,Dimitri Payet
0,0,0,87,FWL,Lille,Marseille,2,0,2021-03-03,16028,2020,454017,0.025123171508312225,0,1,0,0,0.025123171508312225,0,536,Dimitri Payet
0,0,0,90,AMC,Marseille,Lyon,1,1,2021-02-28,16025,2020,453390,0.26987549662590027,0,5,0,0,0.15010377764701843,0.04728635028004646,536,Dimitri Payet
1,2,0.3144671320915222,90,AMC,Nantes,Marseille,1,1,2021-02-20,16010,2020,450779,0.013636398129165173,0,1,1,0.3144671320915222,0.35502058267593384,0.04055345058441162,536,Dimitri Payet
0,0,0,90,AMC,Marseille,Nice,3,2,2021-02-17,15860,2020,450230,0.01838342286646366,0,1,0,0,0.40909749269485474,0.40909749269485474,536,Dimitri Payet
0,1,0.028667153790593147,90,FWL,Marseille,Paris Saint Germain,0,2,2021-02-07,15995,2020,448626,0.0686483085155487,0,2,0,0.028667153790593147,0.22661243379116058,0.1739034205675125,536,Dimitri Payet
0,0,0,90,ML,Lens,Marseille,2,2,2021-02-03,15978,2020,447147,0.08631133288145065,0,2,0,0,0.41236141324043274,0.3901683986186981,536,Dimitri Payet
