goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,12,Sub,Bayern Munich,Arminia Bielefeld,1,0,2021-11-27,17632,2021,497656,0,0,0,0,0,0,0,1673,Edimilson Fernandes
0,1,0.012847795151174068,61,Sub,Arminia Bielefeld,Wolfsburg,2,2,2021-11-20,17615,2021,495629,0,0,0,0,0.012847795151174068,0.012847795151174068,0,1673,Edimilson Fernandes
0,1,0.01024134922772646,8,Sub,VfB Stuttgart,Arminia Bielefeld,0,1,2021-11-06,17611,2021,493933,0,0,0,0,0.01024134922772646,0.01024134922772646,0,1673,Edimilson Fernandes
0,2,0.04357649013400078,79,MR,Arminia Bielefeld,Mainz 05,1,2,2021-10-30,17597,2021,492031,0.04624759033322334,0,2,0,0.04357649013400078,0.06700196117162704,0,1673,Edimilson Fernandes
0,0,0,67,MR,Arminia Bielefeld,Borussia Dortmund,1,3,2021-10-23,17590,2021,489881,0.14730769395828247,0,4,0,0,0.09677319973707199,0,1673,Edimilson Fernandes
0,0,0,44,Sub,Augsburg,Arminia Bielefeld,1,1,2021-10-17,17580,2021,489061,0,0,0,0,0,0.041632335633039474,0.041632335633039474,1673,Edimilson Fernandes
0,0,0,11,Sub,Arminia Bielefeld,Bayer Leverkusen,0,4,2021-10-03,17571,2021,487629,0,0,0,0,0,0,0,1673,Edimilson Fernandes
0,2,0.1947532594203949,18,Sub,Wolfsburg,Mainz 05,2,3,2021-05-22,15440,2020,472816,0.06331228464841843,1,1,0,0.1947532594203949,0.1947532594203949,0,1673,Edimilson Fernandes
0,0,0,44,Sub,Mainz 05,Borussia Dortmund,1,3,2021-05-16,15434,2020,474091,0.06056227535009384,0,1,0,0,0.0759296789765358,0.0759296789765358,1673,Edimilson Fernandes
0,1,0.016029926016926765,63,MC,VfB Stuttgart,Mainz 05,2,0,2021-01-29,15310,2020,445371,0.06712763756513596,0,1,0,0.016029926016926765,0.08315756171941757,0.06712763756513596,1673,Edimilson Fernandes
0,0,0,90,DMC,Bayern Munich,Mainz 05,5,2,2021-01-03,15257,2020,439746,0.014994258992373943,0,1,0,0,0.014994258992373943,0,1673,Edimilson Fernandes
0,2,0.06204386055469513,85,MR,Mainz 05,Werder Bremen,0,1,2020-12-19,15255,2020,435891,0,0,0,0,0.06204386055469513,0.03635674715042114,0,1673,Edimilson Fernandes
0,0,0,90,DR,Hertha Berlin,Mainz 05,0,0,2020-12-15,15239,2020,434395,0.4950951039791107,0,1,0,0,0.6326577663421631,0.6326577663421631,1673,Edimilson Fernandes
0,2,0.059970755130052567,90,MC,Mainz 05,FC Cologne,0,1,2020-12-12,15237,2020,432903,0.023893943056464195,0,1,0,0.059970755130052567,0.2154095619916916,0.13154485821723938,1673,Edimilson Fernandes
0,1,0.009783356450498104,58,MC,Arminia Bielefeld,Mainz 05,2,1,2020-12-05,15229,2020,431183,0.11001727730035782,0,1,0,0.009783356450498104,0.16123038530349731,0.04142975062131882,1673,Edimilson Fernandes
0,1,0.018776897341012955,81,MC,Mainz 05,Hoffenheim,1,1,2020-11-29,15218,2020,430574,0.3747311532497406,0,1,0,0.018776897341012955,0.39350804686546326,0,1673,Edimilson Fernandes
