goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,4,Sub,Nantes,Saint-Etienne,1,1,2022-05-21,18196,2021,537510,0,0,0,0,0,0.015199169516563416,0.015199169516563416,1752,Fabio
0,1,0.029690343886613846,90,DML,Lyon,Nantes,3,2,2022-05-14,18191,2021,535927,0,0,0,0,0.029690343886613846,0.4679817259311676,0.43829137086868286,1752,Fabio
0,0,0,90,DL,Nantes,Rennes,2,1,2022-05-11,18172,2021,534858,0,0,0,0,0,0.01192871667444706,0.01192871667444706,1752,Fabio
0,1,0.10336273908615112,21,Sub,Nantes,Bordeaux,5,3,2022-04-24,18156,2021,529421,0,0,0,0,0.10336273908615112,0.5215893387794495,0.41822659969329834,1752,Fabio
0,0,0,43,Sub,Marseille,Nantes,3,2,2022-04-20,18147,2021,528058,0.011842207983136177,0,1,0,0,0.011842207983136177,0.011842207983136177,1752,Fabio
0,1,0.018537407740950584,74,DR,Nantes,Angers,1,1,2022-04-17,18136,2021,526912,0.40438249707221985,1,1,0,0.018537407740950584,1.2802878618240356,1.2617504596710205,1752,Fabio
0,0,0,1,Sub,Brest,Nantes,1,1,2022-04-10,18124,2021,525387,0,0,0,0,0,0,0,1752,Fabio
0,0,0,87,MR,Clermont Foot,Nantes,2,3,2022-04-03,18112,2021,523366,0,0,0,0,0,0.028178343549370766,0.028178343549370766,1752,Fabio
0,1,0.020279474556446075,49,Sub,Nantes,Lille,0,1,2022-03-19,18111,2021,521518,0,0,0,0,0.020279474556446075,0.1927269846200943,0.1927269846200943,1752,Fabio
0,0,0,18,DMR,Nantes,Reims,1,0,2022-02-13,18053,2021,513186,0,0,0,0,0,0,0,1752,Fabio
0,0,0,78,DR,Strasbourg,Nantes,1,0,2022-02-06,18042,2021,511651,0.02493838220834732,0,1,0,0,0.10312321037054062,0.0781848281621933,1752,Fabio
0,0,0,86,DR,Nantes,Lorient,4,2,2022-01-23,18040,2021,510288,0.10894922912120819,1,1,0,0,0.1563245803117752,0.04737535119056702,1752,Fabio
0,0,0,90,DC,Nice,Nantes,2,1,2022-01-14,18025,2021,507862,0.059881072491407394,0,1,0,0,0.059881072491407394,0,1752,Fabio
0,1,0.047967731952667236,48,DR,Nantes,Monaco,0,0,2022-01-09,18014,2021,507347,0,0,0,0,0.047967731952667236,0,0,1752,Fabio
0,0,0,77,DR,Saint-Etienne,Nantes,0,1,2021-12-22,18010,2021,504875,0.13452689349651337,0,1,0,0,0.13452689349651337,0,1752,Fabio
0,0,0,90,DR,Nantes,Lens,3,2,2021-12-10,18000,2021,501283,0.017620433121919632,0,1,0,0,0.09967741370201111,0.08205697685480118,1752,Fabio
0,0,0,8,Sub,Lorient,Nantes,0,1,2021-12-05,17986,2021,500709,0,0,0,0,0,0.09636268019676208,0.09636268019676208,1752,Fabio
0,1,0.07032628357410431,79,DR,Lille,Nantes,1,1,2021-11-27,17966,2021,497534,0,0,0,0,0.07032628357410431,0.14213477075099945,0.07180848717689514,1752,Fabio
0,0,0,60,DL,Paris Saint Germain,Nantes,3,1,2021-11-20,17956,2021,495861,0,0,0,0,0,0.0694800615310669,0.0694800615310669,1752,Fabio
0,0,0,68,DL,Nantes,Strasbourg,2,2,2021-11-07,17947,2021,494707,0.07373443245887756,0,1,0,0,0.6921953558921814,0.6184609532356262,1752,Fabio
0,1,0.11388477683067322,90,DL,Nantes,Clermont Foot,2,1,2021-10-23,17927,2021,490054,0,0,0,0,0.11388477683067322,0.2199200689792633,0.10603529214859009,1752,Fabio
0,0,0,66,DL,Bordeaux,Nantes,1,1,2021-10-17,17912,2021,488869,0.08113976567983627,0,1,0,0,0.3916531801223755,0.3105134069919586,1752,Fabio
0,0,0,39,DR,Angers,Nantes,1,4,2021-09-19,17874,2021,482743,0,0,0,0,0,0,0,1752,Fabio
0,1,0.019859613850712776,87,DL,Nantes,Nice,0,2,2021-09-12,17862,2021,481148,0,0,0,0,0.019859613850712776,0.504563570022583,0.504563570022583,1752,Fabio
0,1,0.06204038858413696,83,DL,Nantes,Lyon,0,1,2021-08-27,17852,2021,478622,0,0,0,0,0.06204038858413696,0.06204038858413696,0,1752,Fabio
0,2,0.10289164632558823,84,DL,Nantes,Metz,2,0,2021-08-15,17838,2021,476080,0.06607323884963989,0,1,0,0.10289164632558823,0.8301495313644409,0.7409380674362183,1752,Fabio
0,0,0,85,DL,Monaco,Nantes,1,1,2021-08-06,17822,2021,474645,0,0,0,0,0,0,0,1752,Fabio
0,0,0,1,Sub,Nantes,Bordeaux,3,0,2021-05-08,16110,2020,468337,0,0,0,0,0,0,0,1752,Fabio
0,0,0,80,DR,Nantes,Lyon,1,2,2021-04-18,16079,2020,463856,0,0,0,0,0,0.0506228432059288,0.0506228432059288,1752,Fabio
0,0,0,90,DML,Rennes,Nantes,1,0,2021-04-11,16073,2020,461532,0,0,0,0,0,0,0,1752,Fabio
0,0,0,25,DR,Nantes,Lille,0,2,2021-02-07,15987,2020,448406,0,0,0,0,0,0,0,1752,Fabio
0,0,0,90,DR,Saint-Etienne,Nantes,1,1,2021-02-03,15984,2020,447048,0.3757146894931793,1,2,0,0,0.6665365099906921,0.2908218204975128,1752,Fabio
0,0,0,90,DL,Nantes,Lens,1,1,2021-01-17,15953,2020,442657,0.0705571398139,0,2,0,0,0.0705571398139,0,1752,Fabio
0,0,0,43,DL,Montpellier,Nantes,1,1,2021-01-09,15941,2020,441168,0,0,0,0,0,0,0,1752,Fabio
0,0,0,11,Sub,Nantes,Rennes,0,0,2021-01-06,15931,2020,440319,0.036541227251291275,0,1,0,0,0.036541227251291275,0.036541227251291275,1752,Fabio
0,0,0,71,DR,Nantes,Angers,1,1,2020-12-20,15911,2020,436632,0,0,0,0,0,0.1491224318742752,0.1491224318742752,1752,Fabio
0,0,0,47,DR,Reims,Nantes,3,2,2020-12-16,15905,2020,434711,0,0,0,0,0,0.05012036859989166,0.05012036859989166,1752,Fabio
0,0,0,90,DL,Nantes,Dijon,1,1,2020-12-13,15891,2020,433645,0,0,0,0,0,0.08598886430263519,0.08598886430263519,1752,Fabio
0,1,0.05072876065969467,90,DL,Nantes,Strasbourg,0,4,2020-12-06,15882,2020,431878,0.014913254417479038,0,1,0,0.05072876065969467,0.13162042200565338,0.06597841531038284,1752,Fabio
0,1,0.011918025091290474,90,DL,Marseille,Nantes,3,1,2020-11-28,15871,2020,429685,0,0,0,0,0.011918025091290474,0.011918025091290474,0,1752,Fabio
0,0,0,44,Sub,Lens,Nantes,1,1,2020-11-25,15834,2020,429192,0,0,0,0,0,0.5558860301971436,0.5558860301971436,1752,Fabio
0,0,0,90,DL,Nantes,Metz,1,1,2020-11-22,15863,2020,428383,0.019126474857330322,0,1,0,0,0.27737048268318176,0.25824400782585144,1752,Fabio
0,0,0,22,DL,Lorient,Nantes,0,2,2020-11-08,15854,2020,426948,0,0,0,0,0,0,0,1752,Fabio
0,1,0.07222063839435577,90,DL,Nantes,Brest,3,1,2020-10-18,15821,2020,421751,0,0,0,0,0.07222063839435577,0.17622371017932892,0.10400306433439255,1752,Fabio
