goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,DC,Sevilla,Real Betis,2,1,2022-02-27,17393,2021,516696,0,0,0,0,0,0.1794169694185257,0.1794169694185257,615,Fernando
0,0,0,90,MC,Espanyol,Sevilla,1,1,2022-02-20,17381,2021,514668,0,0,0,0,0,0.9140061736106873,0.9140061736106873,615,Fernando
0,0,0,3,Sub,Sevilla,Elche,2,0,2022-02-11,17373,2021,512382,0,0,0,0,0,0,0,615,Fernando
0,0,0,48,MC,Sevilla,Celta Vigo,2,2,2022-01-22,17353,2021,509879,0,0,0,0,0,0.0208327267318964,0.0208327267318964,615,Fernando
0,0,0,90,MC,Valencia,Sevilla,1,1,2022-01-19,17344,2021,509233,0,0,0,0,0,0.37571099400520325,0.37571099400520325,615,Fernando
0,0,0,90,MC,Sevilla,Getafe,1,0,2022-01-09,17333,2021,507263,0,0,0,0,0,0.1327173113822937,0.1327173113822937,615,Fernando
0,1,0.06491641700267792,55,DMC,Cadiz,Sevilla,0,1,2022-01-03,17324,2021,506128,0,0,0,0,0.06491641700267792,0.02278764359652996,0.02278764359652996,615,Fernando
0,0,0,90,DC,Sevilla,Barcelona,1,1,2021-12-21,17174,2021,504477,0,0,0,0,0,0.09444325417280197,0.09444325417280197,615,Fernando
0,0,0,90,DMC,Athletic Club,Sevilla,0,1,2021-12-11,17297,2021,501993,0,0,0,0,0,0,0,615,Fernando
0,0,0,90,MC,Sevilla,Villarreal,1,0,2021-12-04,17292,2021,499645,0,0,0,0,0,0.015736781060695648,0.015736781060695648,615,Fernando
0,0,0,90,MC,Real Madrid,Sevilla,2,1,2021-11-28,17283,2021,498477,0.01684488169848919,0,1,0,0,0.17943711578845978,0.17943711578845978,615,Fernando
0,0,0,90,MC,Sevilla,Alaves,2,2,2021-11-20,17273,2021,495817,0.054985322058200836,0,1,0,0,0.21685972809791565,0.21685972809791565,615,Fernando
0,0,0,90,MC,Real Betis,Sevilla,0,2,2021-11-07,17258,2021,495203,0,0,0,0,0,0.14616835117340088,0.14616835117340088,615,Fernando
0,0,0,12,Sub,Sevilla,Osasuna,2,0,2021-10-30,17249,2021,492331,0.10795021057128906,0,1,0,0,0.10795021057128906,0,615,Fernando
0,0,0,90,MC,Mallorca,Sevilla,1,1,2021-10-27,17245,2021,491471,0,0,0,0,0,0.09131310880184174,0.09131310880184174,615,Fernando
1,1,0.5451282858848572,90,DMC,Sevilla,Levante,5,3,2021-10-24,17229,2021,490417,0,0,0,1,0.5451282858848572,0.8636300563812256,0.3185017704963684,615,Fernando
0,0,0,90,DC,Celta Vigo,Sevilla,0,1,2021-10-17,17218,2021,488990,0,0,0,0,0,0.03455840051174164,0.03455840051174164,615,Fernando
0,1,0.017504077404737473,90,MC,Granada,Sevilla,1,0,2021-10-03,17206,2021,487730,0.03154607117176056,0,1,0,0.017504077404737473,0.5064756870269775,0.4574255347251892,615,Fernando
0,0,0,30,Sub,Sevilla,Espanyol,2,0,2021-09-25,17200,2021,484950,0,0,0,0,0,0.09529789537191391,0.09529789537191391,615,Fernando
0,0,0,78,MC,Sevilla,Valencia,3,1,2021-09-22,17189,2021,483816,0.055047307163476944,1,1,0,0,0.32944488525390625,0.32944488525390625,615,Fernando
0,0,0,90,MC,Real Sociedad,Sevilla,0,0,2021-09-19,17182,2021,482872,0,0,0,0,0,0.07244063913822174,0.07244063913822174,615,Fernando
0,0,0,90,MC,Elche,Sevilla,1,1,2021-08-28,17160,2021,479227,0,0,0,0,0,0.8368015289306641,0.8368015289306641,615,Fernando
