goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,DL,Liverpool,Middlesbrough,3,0,2017-05-21,3515,2016,125293,0.10962698608636856,0,1,0,0,0.723701536655426,0.723701536655426,1708,George Friend
0,2,0.04103671386837959,90,DL,Middlesbrough,Southampton,1,2,2017-05-13,3504,2016,135317,0,0,0,0,0.04103671386837959,0.46103599667549133,0.46103599667549133,1708,George Friend
0,0,0,90,DL,Chelsea,Middlesbrough,3,0,2017-05-08,3493,2016,134860,0,0,0,0,0,0.009306610561907291,0.009306610561907291,1708,George Friend
0,2,0.053484585136175156,90,DL,Middlesbrough,Manchester City,2,2,2017-04-30,3483,2016,134433,0.12166903913021088,1,1,0,0.053484585136175156,0.17515362799167633,0.16154727339744568,1708,George Friend
0,0,0,90,DL,Middlesbrough,Sunderland,1,0,2017-04-26,3413,2016,132843,0,0,0,0,0,0.36692747473716736,0.36692747473716736,1708,George Friend
0,0,0,90,DL,Bournemouth,Middlesbrough,4,0,2017-04-22,3471,2016,135164,0,0,0,0,0,0.0162893608212471,0.0162893608212471,1708,George Friend
0,0,0,74,Sub,Middlesbrough,Arsenal,1,2,2017-04-17,3461,2016,134717,0.48880210518836975,0,1,0,0,0.07174336910247803,0.07174336910247803,1708,George Friend
0,0,0,90,DL,Stoke,Middlesbrough,2,0,2017-03-04,3403,2016,133018,0,0,0,0,0,0.06094913184642792,0.06094913184642792,1708,George Friend
0,1,0.06068867817521095,90,DL,Middlesbrough,West Ham,1,3,2017-01-21,3351,2016,131796,0.021258652210235596,0,1,0,0.06068867817521095,0.13929961621761322,0.07861093431711197,1708,George Friend
0,0,0,90,ML,Watford,Middlesbrough,0,0,2017-01-14,3341,2016,131091,0,0,0,0,0,0.14851172268390656,0.14851172268390656,1708,George Friend
0,2,0.0833522379398346,57,Sub,Middlesbrough,Leicester,0,0,2017-01-02,3330,2016,129542,0,0,0,0,0.0833522379398346,0.0833522379398346,0,1708,George Friend
0,2,0.08049553632736206,90,DL,Manchester United,Middlesbrough,2,1,2016-12-31,3159,2016,130672,0.01721942238509655,0,1,0,0.08049553632736206,0.08151794970035553,0,1708,George Friend
0,0,0,1,Sub,Burnley,Middlesbrough,1,0,2016-12-26,3150,2016,129141,0,0,0,0,0,0,0,1708,George Friend
0,1,0.1000351756811142,24,Sub,Middlesbrough,Swansea,3,0,2016-12-17,3136,2016,131914,0,0,0,0,0.1000351756811142,0.13028767704963684,0.030252497643232346,1708,George Friend
0,0,0,90,DL,Manchester City,Middlesbrough,1,1,2016-11-05,2689,2016,128114,0.08430321514606476,1,1,0,0,0.08430321514606476,0,1708,George Friend
0,2,0.05406888201832771,90,DL,Middlesbrough,Bournemouth,2,0,2016-10-29,2681,2016,127684,0,0,0,0,0.05406888201832771,0.18573787808418274,0.13166899979114532,1708,George Friend
0,0,0,90,DL,Arsenal,Middlesbrough,0,0,2016-10-22,547,2016,126984,0,0,0,0,0,0.044860318303108215,0.044860318303108215,1708,George Friend
0,0,0,90,DL,Middlesbrough,Watford,0,1,2016-10-16,538,2016,126860,0.17768457531929016,0,2,0,0,0.07128313183784485,0.07128313183784485,1708,George Friend
0,0,0,90,DL,West Ham,Middlesbrough,1,1,2016-10-01,526,2016,127503,0,0,0,0,0,0,0,1708,George Friend
0,0,0,90,DL,Middlesbrough,Tottenham,1,2,2016-09-24,512,2016,126665,0,0,0,0,0,0.1836872100830078,0.1836872100830078,1708,George Friend
0,0,0,90,DL,Everton,Middlesbrough,3,1,2016-09-17,506,2016,126317,0.015039891004562378,0,1,0,0,0.032092977315187454,0.032092977315187454,1708,George Friend
0,1,0.030029702931642532,90,DL,Middlesbrough,Crystal Palace,1,2,2016-09-10,492,2016,126111,0.01778016984462738,0,1,0,0.030029702931642532,0.07098057866096497,0.040950872004032135,1708,George Friend
0,1,0.043879758566617966,90,DL,Sunderland,Middlesbrough,1,2,2016-08-21,479,2016,125541,0.09619691222906113,0,1,0,0.043879758566617966,0.7535293698310852,0.7096496224403381,1708,George Friend
0,1,0.075546495616436,90,DL,Middlesbrough,Stoke,1,1,2016-08-13,465,2016,125088,0,0,0,0,0.075546495616436,1.1947071552276611,1.1191606521606445,1708,George Friend
