goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,82,DR,Stoke,Crystal Palace,1,2,2018-05-05,7481,2017,237178,0,0,0,0,0,0,0,944,Glen Johnson
0,0,0,60,DR,Stoke,Burnley,1,1,2018-04-22,7466,2017,234764,0,0,0,0,0,0,0,944,Glen Johnson
0,1,0.02636019140481949,79,DR,Stoke,Tottenham,1,2,2018-04-07,7446,2017,230431,0,0,0,0,0.02636019140481949,0,0,944,Glen Johnson
0,0,0,90,DR,Arsenal,Stoke,3,0,2018-04-01,7429,2017,226986,0,0,0,0,0,0,0,944,Glen Johnson
0,1,0.061827730387449265,90,DR,Stoke,Everton,1,2,2018-03-17,7425,2017,223984,0.08085083961486816,0,3,0,0.061827730387449265,0.14267857372760773,0.02763901650905609,944,Glen Johnson
0,0,0,4,Sub,Leicester,Stoke,1,1,2018-02-24,7396,2017,218983,0,0,0,0,0,0,0,944,Glen Johnson
0,0,0,62,DMR,Stoke,Bournemouth,1,2,2017-10-21,7205,2017,177368,0.10660279542207718,0,1,0,0,0.12556332349777222,0.018960531800985336,944,Glen Johnson
0,0,0,1,Sub,Stoke,Southampton,2,1,2017-09-30,7181,2017,178228,0,0,0,0,0,0,0,944,Glen Johnson
0,0,0,90,DC,Stoke,Chelsea,0,4,2017-09-23,7170,2017,177668,0,0,0,0,0,0.09754602611064911,0.09754602611064911,944,Glen Johnson
0,0,0,90,DR,Stoke,Arsenal,1,4,2017-05-13,3505,2016,133658,0,0,0,0,0,0.04312263801693916,0.04312263801693916,944,Glen Johnson
0,0,0,90,DR,Bournemouth,Stoke,2,2,2017-05-06,3491,2016,134746,0.4351153075695038,0,1,0,0,1.3156070709228516,0.8804917931556702,944,Glen Johnson
0,0,0,90,DR,Stoke,West Ham,0,0,2017-04-29,3485,2016,134485,0.09023866802453995,0,2,0,0,0.2488240897655487,0.15858542919158936,944,Glen Johnson
0,0,0,90,DR,Swansea,Stoke,2,0,2017-04-22,3478,2016,134309,0,0,0,0,0,0.3358985185623169,0.3358985185623169,944,Glen Johnson
0,0,0,90,MR,Stoke,Hull,3,1,2017-04-15,3463,2016,134818,0.3193562626838684,0,1,0,0,1.2109063863754272,0.8915501832962036,944,Glen Johnson
