goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.015332969836890697,90,MC,Liverpool,Middlesbrough,3,0,2017-05-21,3515,2016,125294,0,0,0,0,0.015332969836890697,0.31751999258995056,0.3021870255470276,5542,Grant Leadbitter
0,0,0,28,Sub,Middlesbrough,Southampton,1,2,2017-05-13,3504,2016,135325,0,0,0,0,0,0.1373571902513504,0.1373571902513504,5542,Grant Leadbitter
0,1,0.009306610561907291,33,Sub,Chelsea,Middlesbrough,3,0,2017-05-08,3493,2016,134868,0,0,0,0,0.009306610561907291,0.009306610561907291,0,5542,Grant Leadbitter
0,3,0.10932917147874832,90,MC,Middlesbrough,Arsenal,1,2,2017-04-17,3461,2016,134711,0,0,0,0,0.10932917147874832,0,0,5542,Grant Leadbitter
0,1,0.012185534462332726,90,MC,Middlesbrough,Burnley,0,0,2017-04-08,3456,2016,133471,0.0908370316028595,0,2,0,0.012185534462332726,0.107920341193676,0.09573481231927872,5542,Grant Leadbitter
0,1,0.013210605829954147,68,MC,Middlesbrough,Manchester United,1,3,2017-03-19,3425,2016,133498,0.05552293732762337,0,1,0,0.013210605829954147,0.28606927394866943,0.2728586792945862,5542,Grant Leadbitter
0,2,0.09012167155742645,77,MC,Stoke,Middlesbrough,2,0,2017-03-04,3403,2016,133021,0.10736080259084702,0,4,0,0.09012167155742645,0.17872612178325653,0,5542,Grant Leadbitter
0,1,0.10649796575307846,90,MC,Watford,Middlesbrough,0,0,2017-01-14,3341,2016,131090,0,0,0,0,0.10649796575307846,0.10649796575307846,0,5542,Grant Leadbitter
0,0,0,1,Sub,Middlesbrough,Leicester,0,0,2017-01-02,3330,2016,129543,0,0,0,0,0,0,0,5542,Grant Leadbitter
1,2,0.360355019569397,80,MC,Manchester United,Middlesbrough,2,1,2016-12-31,3159,2016,130676,0,0,0,1,0.360355019569397,0.360355019569397,0,5542,Grant Leadbitter
0,0,0,33,Sub,Middlesbrough,Liverpool,0,3,2016-12-14,3127,2016,130693,0,0,0,0,0,0,0,5542,Grant Leadbitter
0,0,0,1,Sub,Middlesbrough,Chelsea,0,1,2016-11-20,2705,2016,128438,0,0,0,0,0,0,0,5542,Grant Leadbitter
0,1,0.03951197490096092,26,Sub,Middlesbrough,Bournemouth,2,0,2016-10-29,2681,2016,127692,0.03869931399822235,0,1,0,0.03951197490096092,0.11415460705757141,0.03594331815838814,5542,Grant Leadbitter
