goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,5,Sub,Southampton,Watford,1,1,2016-08-13,466,2016,125137,0,0,0,0,0,0,0,577,Ikechi Anya
0,0,0,90,DL,Norwich,Watford,4,2,2016-05-11,448,2015,62411,0,0,0,0,0,0.9517762660980225,0.9517762660980225,577,Ikechi Anya
0,1,0.051175806671381,90,DL,Liverpool,Watford,2,0,2016-05-08,445,2015,62439,0.11113347858190536,0,2,0,0.051175806671381,0.2930484116077423,0.14020368456840515,577,Ikechi Anya
0,0,0,90,DL,Watford,Aston Villa,3,2,2016-04-30,430,2015,63523,0,0,0,0,0,0.41529029607772827,0.41529029607772827,577,Ikechi Anya
0,0,0,32,Sub,West Ham,Watford,3,1,2016-04-20,416,2015,66001,0,0,0,0,0,0,0,577,Ikechi Anya
0,0,0,50,Sub,Arsenal,Watford,4,0,2016-04-02,385,2015,67214,0,0,0,0,0,0,0,577,Ikechi Anya
0,0,0,13,Sub,Watford,Stoke,1,2,2016-03-19,377,2015,66979,0.4914931058883667,1,1,0,0,0.4914931058883667,0,577,Ikechi Anya
0,0,0,7,Sub,Watford,Leicester,0,1,2016-03-05,366,2015,66618,0,0,0,0,0,0,0,577,Ikechi Anya
0,0,0,3,Sub,Manchester United,Watford,1,0,2016-03-03,358,2015,67494,0,0,0,0,0,0,0,577,Ikechi Anya
0,0,0,28,Sub,Southampton,Watford,2,0,2016-01-13,284,2015,60823,0,0,0,0,0,0,0,577,Ikechi Anya
0,0,0,90,DR,Watford,Tottenham,1,2,2015-12-28,262,2015,59917,0,0,0,0,0,0.770133912563324,0.770133912563324,577,Ikechi Anya
0,0,0,16,Sub,Chelsea,Watford,2,2,2015-12-26,256,2015,60025,0,0,0,0,0,0,0,577,Ikechi Anya
0,0,0,11,Sub,Watford,Liverpool,3,0,2015-12-20,248,2015,58910,0,0,0,0,0,0,0,577,Ikechi Anya
0,0,0,13,Sub,Sunderland,Watford,0,1,2015-12-12,233,2015,60741,0.02035372518002987,0,1,0,0,0.02035372518002987,0,577,Ikechi Anya
0,0,0,76,MR,Watford,Norwich,2,0,2015-12-05,223,2015,58245,0,0,0,0,0,0.11259327828884125,0.11259327828884125,577,Ikechi Anya
0,0,0,22,Sub,Aston Villa,Watford,2,3,2015-11-28,212,2015,61643,0,0,0,0,0,0,0,577,Ikechi Anya
0,0,0,90,DL,Watford,Manchester United,1,2,2015-11-21,201,2015,61213,0,0,0,0,0,0.158442884683609,0.158442884683609,577,Ikechi Anya
0,0,0,90,MR,Leicester,Watford,2,1,2015-11-07,192,2015,60679,0.017378801479935646,0,1,0,0,0.04350628703832626,0.026127485558390617,577,Ikechi Anya
0,1,0.06886844336986542,69,AMR,Watford,West Ham,2,0,2015-10-31,186,2015,59291,0.12970316410064697,0,2,0,0.06886844336986542,0.31398969888687134,0.14154236018657684,577,Ikechi Anya
0,1,0.03155606612563133,67,AMR,Stoke,Watford,0,2,2015-10-24,175,2015,65439,0.1564846932888031,0,2,0,0.03155606612563133,0.18804076313972473,0,577,Ikechi Anya
0,0,0,82,MR,Watford,Arsenal,0,3,2015-10-17,168,2015,65166,0.0630917176604271,0,1,0,0,0.1002686470746994,0.03717693313956261,577,Ikechi Anya
0,2,0.3398453891277313,80,MR,Bournemouth,Watford,1,1,2015-10-03,153,2015,64726,0,0,0,0,0.3398453891277313,0.3398453891277313,0,577,Ikechi Anya
0,1,0.011221319437026978,90,DL,Watford,Crystal Palace,0,1,2015-09-27,149,2015,64572,0.035610828548669815,0,2,0,0.011221319437026978,0.22120079398155212,0.2067480832338333,577,Ikechi Anya
0,0,0,90,DL,Newcastle United,Watford,1,2,2015-09-19,132,2015,64255,0.03466781973838806,0,1,0,0,0.6501423120498657,0.6154745221138,577,Ikechi Anya
0,0,0,90,DL,Watford,Swansea,1,0,2015-09-12,124,2015,64019,0.011153386905789375,0,1,0,0,0.13674870133399963,0.13674870133399963,577,Ikechi Anya
0,2,0.08792095631361008,26,Sub,Manchester City,Watford,2,0,2015-08-29,117,2015,63628,0,0,0,0,0.08792095631361008,0.1164296567440033,0.04088790342211723,577,Ikechi Anya
0,0,0,90,AMR,Watford,Southampton,0,0,2015-08-23,109,2015,63113,0,0,1,0,0,0.01928318478167057,0.01928318478167057,577,Ikechi Anya
0,0,0,90,DL,Watford,West Bromwich Albion,0,0,2015-08-15,96,2015,57582,0.19593556225299835,0,3,0,0,0.4883318543434143,0.4320530891418457,577,Ikechi Anya
0,2,0.09011893719434738,90,MR,Everton,Watford,2,2,2015-08-08,83,2015,57183,0.01795998029410839,0,1,0,0.09011893719434738,0.2504900395870209,0.14241112768650055,577,Ikechi Anya
