goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,10,Sub,Norwich,West Ham,0,4,2020-07-11,11988,2019,407354,0,0,0,0,0,0,0,1036,Jack Wilshere
0,0,0,19,Sub,West Ham,Chelsea,3,2,2020-07-01,11962,2019,404606,0,0,0,0,0,0.5077891945838928,0.5077891945838928,1036,Jack Wilshere
0,0,0,24,Sub,Everton,West Ham,2,0,2019-10-19,11727,2019,357555,0,0,0,0,0,0,0,1036,Jack Wilshere
0,0,0,10,Sub,West Ham,Crystal Palace,1,2,2019-10-05,11720,2019,356399,0,0,0,0,0,0,0,1036,Jack Wilshere
0,0,0,11,Sub,Bournemouth,West Ham,2,2,2019-09-28,11707,2019,354608,0,0,0,0,0,0,0,1036,Jack Wilshere
0,0,0,19,Sub,West Ham,Manchester United,2,0,2019-09-22,11700,2019,352868,0,0,0,0,0,0,0,1036,Jack Wilshere
0,0,0,47,MC,Brighton,West Ham,1,1,2019-08-17,11655,2019,341861,0,0,0,0,0,0,0,1036,Jack Wilshere
0,0,0,57,DMC,West Ham,Manchester City,0,5,2019-08-10,11644,2019,341186,0,0,0,0,0,0,0,1036,Jack Wilshere
0,1,0.13163599371910095,21,Sub,Watford,West Ham,1,4,2019-05-12,9567,2018,332201,0,0,0,0,0.13163599371910095,0.24193282425403595,0.24193282425403595,1036,Jack Wilshere
0,0,0,21,Sub,West Ham,Southampton,3,0,2019-05-04,9558,2018,330244,0.10758067667484283,0,2,0,0,0.10758067667484283,0.10758067667484283,1036,Jack Wilshere
0,0,0,4,Sub,West Ham,Leicester,2,2,2019-04-20,9538,2018,326017,0,0,0,0,0,0,0,1036,Jack Wilshere
0,0,0,3,Sub,Newcastle United,West Ham,0,3,2018-12-01,9328,2018,277694,0.3860752284526825,1,1,0,0,0.3860752284526825,0,1036,Jack Wilshere
0,0,0,65,DMC,West Ham,Wolverhampton Wanderers,0,1,2018-09-01,9228,2018,259746,0.02580881305038929,0,1,0,0,0.05929018557071686,0.03348137438297272,1036,Jack Wilshere
0,0,0,90,MC,Arsenal,West Ham,3,1,2018-08-25,9222,2018,259233,0,0,0,0,0,0.22234314680099487,0.22234314680099487,1036,Jack Wilshere
0,1,0.04618661105632782,90,MC,West Ham,Bournemouth,1,2,2018-08-18,9208,2018,259191,0.015331433154642582,0,1,0,0.04618661105632782,0.08298997581005096,0.021471934393048286,1036,Jack Wilshere
0,0,0,90,AMC,Liverpool,West Ham,4,0,2018-08-12,9205,2018,258787,0,0,0,0,0,0,0,1036,Jack Wilshere
0,1,0.14760756492614746,76,MC,Arsenal,Burnley,5,0,2018-05-06,7487,2017,238355,0.10718940943479538,1,2,0,0.14760756492614746,0.7727028131484985,0.5179058313369751,1036,Jack Wilshere
0,0,0,24,Sub,Arsenal,Southampton,3,2,2018-04-08,7439,2017,230253,0.7521917223930359,0,1,0,0,0.7521917223930359,0,1036,Jack Wilshere
0,1,0.023355763405561447,77,AMC,Arsenal,Stoke,3,0,2018-04-01,7429,2017,226979,0.08511854708194733,0,2,0,0.023355763405561447,0.44959405064582825,0.3539947271347046,1036,Jack Wilshere
0,0,0,10,Sub,Arsenal,Watford,3,0,2018-03-11,7409,2017,222967,0.10689933598041534,0,1,0,0,0.10689933598041534,0,1036,Jack Wilshere
0,1,0.030352143570780754,90,DMC,Brighton,Arsenal,2,1,2018-03-04,7399,2017,221566,0,0,0,0,0.030352143570780754,0.15658903121948242,0.15658903121948242,1036,Jack Wilshere
0,2,0.06500761210918427,90,MC,Tottenham,Arsenal,1,0,2018-02-10,7387,2017,215290,0,0,0,0,0.06500761210918427,0.08938447386026382,0.02437685988843441,1036,Jack Wilshere
0,0,0,13,Sub,Arsenal,Everton,5,1,2018-02-03,7369,2017,214790,0,0,0,0,0,0,0,1036,Jack Wilshere
0,0,0,90,MC,Arsenal,Crystal Palace,4,1,2018-01-20,7349,2017,209122,0.5167818665504456,0,2,0,0,1.1378247737884521,0.6472083330154419,1036,Jack Wilshere
0,2,0.08494044840335846,90,MC,Bournemouth,Arsenal,2,1,2018-01-14,7339,2017,208143,0.03548513725399971,0,2,0,0.08494044840335846,0.5226659178733826,0.4022403061389923,1036,Jack Wilshere
1,1,0.059580229222774506,90,MC,Arsenal,Chelsea,2,2,2018-01-03,7330,2017,206663,0,0,0,1,0.059580229222774506,0.13175132870674133,0.13175132870674133,1036,Jack Wilshere
0,0,0,90,MC,West Bromwich Albion,Arsenal,1,1,2017-12-31,7328,2017,206374,0,0,0,0,0,0.3480766713619232,0.3480766713619232,1036,Jack Wilshere
0,2,0.1321631819009781,90,MC,Crystal Palace,Arsenal,2,3,2017-12-28,7311,2017,205849,0.38684600591659546,1,1,0,0.1321631819009781,1.3200149536132812,1.2928880453109741,1036,Jack Wilshere
0,0,0,90,DMC,Arsenal,Liverpool,3,3,2017-12-22,7301,2017,202839,0.019118929281830788,0,1,0,0,0.17071788012981415,0.1515989601612091,1036,Jack Wilshere
0,1,0.3971210718154907,90,DMC,Arsenal,Newcastle United,1,0,2017-12-16,7289,2017,203119,0,0,0,0,0.3971210718154907,0.7192261219024658,0.3221050202846527,1036,Jack Wilshere
0,3,0.15451474487781525,90,DMC,West Ham,Arsenal,0,0,2017-12-13,7286,2017,202770,0.10572054982185364,0,1,0,0.15451474487781525,0.34895429015159607,0.2171628475189209,1036,Jack Wilshere
0,0,0,20,Sub,Southampton,Arsenal,1,1,2017-12-10,7278,2017,198956,0,0,0,0,0,0.09005095809698105,0.09005095809698105,1036,Jack Wilshere
0,0,0,16,Sub,Arsenal,Huddersfield,5,0,2017-11-29,7254,2017,178667,0,0,0,0,0,0.19466282427310944,0.19466282427310944,1036,Jack Wilshere
0,1,0.06779924035072327,21,Sub,Burnley,Arsenal,0,1,2017-11-26,7248,2017,179119,0.05338923633098602,0,1,0,0.06779924035072327,0.12118847668170929,0,1036,Jack Wilshere
0,0,0,11,Sub,Manchester City,Arsenal,3,1,2017-11-05,7228,2017,179012,0,0,0,0,0,0,0,1036,Jack Wilshere
0,0,0,11,Sub,Everton,Arsenal,2,5,2017-10-22,7200,2017,177170,0.11262890696525574,1,1,0,0,0.3034873604774475,0.19085843861103058,1036,Jack Wilshere
0,0,0,58,MC,Tottenham,Bournemouth,4,0,2017-04-15,3465,2016,134944,0,0,0,0,0,0,0,1036,Jack Wilshere
0,0,0,90,MC,Bournemouth,Chelsea,1,3,2017-04-08,3450,2016,133035,0.0770130529999733,0,2,0,0,0.19062970578670502,0.11361665278673172,1036,Jack Wilshere
0,0,0,90,MC,Liverpool,Bournemouth,2,2,2017-04-05,3449,2016,132939,0,0,0,0,0,0,0,1036,Jack Wilshere
0,0,0,18,Sub,Southampton,Bournemouth,0,0,2017-04-01,3437,2016,132999,0.023258408531546593,0,1,0,0,0.023258408531546593,0.023258408531546593,1036,Jack Wilshere
0,1,0.0850432962179184,14,Sub,Bournemouth,Swansea,2,0,2017-03-18,3429,2016,133067,0.06086655706167221,0,1,0,0.0850432962179184,0.1459098607301712,0,1036,Jack Wilshere
0,1,0.12385452538728714,3,Sub,Bournemouth,West Ham,3,2,2017-03-11,3411,2016,133860,0,0,0,0,0.12385452538728714,0.12385452538728714,0,1036,Jack Wilshere
0,0,0,68,AMC,West Bromwich Albion,Bournemouth,2,1,2017-02-25,3395,2016,132118,0.04679582640528679,0,1,0,0,0.07936466485261917,0.07936466485261917,1036,Jack Wilshere
0,1,0.043718915432691574,47,MC,Bournemouth,Manchester City,0,2,2017-02-13,3389,2016,130499,0,0,0,0,0.043718915432691574,0.043718915432691574,0,1036,Jack Wilshere
