goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,1,Sub,Newcastle United,Bournemouth,2,1,2018-11-10,9309,2018,277169,0,0,0,0,0,0,0,735,Jermain Defoe
0,0,0,1,Sub,Fulham,Bournemouth,0,3,2018-10-27,9289,2018,276586,0,0,0,0,0,0,0,735,Jermain Defoe
0,1,0.1310959756374359,10,Sub,Burnley,Bournemouth,4,0,2018-09-22,9253,2018,260122,0,0,0,0,0.1310959756374359,0.1310959756374359,0,735,Jermain Defoe
0,0,0,1,Sub,Bournemouth,Cardiff,2,0,2018-08-11,9202,2018,258694,0,0,0,0,0,0,0,735,Jermain Defoe
0,1,0.464368999004364,23,Sub,Burnley,Bournemouth,1,2,2018-05-13,7492,2017,240173,0.33332115411758423,1,1,0,0.464368999004364,0.7976901531219482,0,735,Jermain Defoe
0,0,0,23,Sub,Southampton,Bournemouth,2,1,2018-04-28,7475,2017,235849,0.06579717993736267,0,1,0,0,0.06579717993736267,0,735,Jermain Defoe
0,0,0,7,Sub,Bournemouth,Manchester United,0,2,2018-04-18,7463,2017,233525,0.012208634987473488,0,1,0,0,0,0,735,Jermain Defoe
0,0,0,71,FW,Liverpool,Bournemouth,3,0,2018-04-14,7452,2017,232284,0,0,0,0,0,0.020954662933945656,0.020954662933945656,735,Jermain Defoe
0,3,0.27599063515663147,90,AMC,Bournemouth,Crystal Palace,2,2,2018-04-07,7440,2017,230276,0,0,0,0,0.27599063515663147,0.27599063515663147,0,735,Jermain Defoe
1,2,0.6577974557876587,20,Sub,Watford,Bournemouth,2,2,2018-03-31,7437,2017,226944,0,0,0,1,0.6577974557876587,0.08265122771263123,0,735,Jermain Defoe
0,0,0,14,Sub,Bournemouth,West Bromwich Albion,2,1,2018-03-17,7419,2017,223941,0,0,0,0,0,0,0,735,Jermain Defoe
