goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,64,Sub,Crystal Palace,Sunderland,0,4,2017-02-04,3371,2016,129404,0,0,0,0,0,0.35064685344696045,0.35064685344696045,517,Joe Ledley
0,0,0,13,Sub,Bournemouth,Crystal Palace,0,2,2017-01-31,3361,2016,132151,0,0,0,0,0,0,0,517,Joe Ledley
0,0,0,18,Sub,Crystal Palace,Everton,0,1,2017-01-21,3353,2016,131552,0,0,0,0,0,0,0,517,Joe Ledley
0,0,0,82,DMC,West Ham,Crystal Palace,3,0,2017-01-14,3346,2016,131198,0,0,0,0,0,0.04065608233213425,0.04065608233213425,517,Joe Ledley
0,1,0.06629779934883118,90,DMC,Crystal Palace,Swansea,1,2,2017-01-04,3337,2016,131212,0,0,0,0,0.06629779934883118,0.06629779934883118,0,517,Joe Ledley
0,0,0,90,DMC,Crystal Palace,Chelsea,0,1,2016-12-17,3135,2016,131658,0,0,0,0,0,0.161520317196846,0.161520317196846,517,Joe Ledley
0,1,0.022688403725624084,42,Sub,Crystal Palace,Manchester United,1,2,2016-12-15,3130,2016,131026,0.01900569163262844,0,1,0,0.022688403725624084,0.46690312027931213,0.44421473145484924,517,Joe Ledley
0,0,0,90,DMC,Hull,Crystal Palace,3,3,2016-12-10,3116,2016,129825,0,0,0,0,0,0.24236129224300385,0.24236129224300385,517,Joe Ledley
0,0,0,90,DMC,Crystal Palace,Southampton,3,0,2016-12-03,3106,2016,128404,0.021659255027770996,0,1,0,0,0.021659255027770996,0,517,Joe Ledley
0,0,0,1,Sub,Burnley,Crystal Palace,3,2,2016-11-05,2688,2016,127985,0,0,0,0,0,0,0,517,Joe Ledley
0,0,0,77,DMC,Crystal Palace,Liverpool,2,4,2016-10-29,2683,2016,127518,0.056650061160326004,0,1,0,0,0.056650061160326004,0,517,Joe Ledley
0,0,0,73,DMC,Leicester,Crystal Palace,3,1,2016-10-22,544,2016,127257,0.04030168801546097,0,2,0,0,0.2210993766784668,0.20257417857646942,517,Joe Ledley
0,0,0,47,DMC,Crystal Palace,West Ham,0,1,2016-10-15,537,2016,127714,0,0,0,0,0,0.0157641414552927,0.0157641414552927,517,Joe Ledley
0,0,0,90,DMC,Everton,Crystal Palace,1,1,2016-09-30,521,2016,127064,0.010016140528023243,0,1,0,0,0.041970063000917435,0.03195391967892647,517,Joe Ledley
1,1,0.044123005121946335,90,DMC,Sunderland,Crystal Palace,2,3,2016-09-24,514,2016,126737,0,0,0,1,0.044123005121946335,0.0989796370267868,0.05485662817955017,517,Joe Ledley
0,0,0,79,DMC,Crystal Palace,Stoke,4,1,2016-09-18,508,2016,126279,0,0,0,0,0,0.07985372841358185,0.07985372841358185,517,Joe Ledley
0,0,0,85,DMC,Middlesbrough,Crystal Palace,1,2,2016-09-10,492,2016,126127,0,0,0,0,0,0.031646013259887695,0.031646013259887695,517,Joe Ledley
0,0,0,48,DMC,Tottenham,Crystal Palace,1,0,2016-08-20,475,2016,125597,0,0,0,0,0,0.06210928410291672,0.06210928410291672,517,Joe Ledley
0,0,0,10,Sub,Crystal Palace,Stoke,2,1,2016-05-07,438,2015,62240,0,0,0,0,0,0.49891766905784607,0.49891766905784607,517,Joe Ledley
0,0,0,90,ML,Arsenal,Crystal Palace,1,1,2016-04-17,413,2015,67543,0,0,0,0,0,0.029898416250944138,0.029898416250944138,517,Joe Ledley
0,0,0,10,Sub,Crystal Palace,Norwich,1,0,2016-04-09,399,2015,66703,0,0,0,0,0,0,0,517,Joe Ledley
0,1,0.0314430333673954,73,MC,West Ham,Crystal Palace,2,2,2016-04-02,390,2015,66492,0.03295131400227547,0,1,0,0.0314430333673954,0.568044126033783,0.5036498308181763,517,Joe Ledley
0,0,0,80,ML,Crystal Palace,Leicester,0,1,2016-03-19,375,2015,66203,0,0,0,0,0,0.0214616060256958,0.0214616060256958,517,Joe Ledley
1,2,0.14515897631645203,83,ML,Crystal Palace,Liverpool,1,2,2016-03-06,367,2015,65844,0.021359948441386223,0,1,1,0.14515897631645203,0.08287442475557327,0,517,Joe Ledley
0,0,0,16,Sub,Sunderland,Crystal Palace,2,2,2016-03-01,352,2015,67242,0,0,0,0,0,0,0,517,Joe Ledley
0,2,0.08640146255493164,86,MC,West Bromwich Albion,Crystal Palace,3,2,2016-02-27,346,2015,66463,0,0,0,0,0.08640146255493164,0.012571155093610287,0,517,Joe Ledley
0,1,0.02236061915755272,90,MC,Crystal Palace,Tottenham,1,3,2016-01-23,302,2015,59677,0,0,0,0,0.02236061915755272,0.02236061915755272,0,517,Joe Ledley
0,1,0.020675839856266975,90,MC,Manchester City,Crystal Palace,4,0,2016-01-16,292,2015,57932,0,0,0,0,0.020675839856266975,0.029783591628074646,0.00910775177180767,517,Joe Ledley
0,0,0,47,DMC,Aston Villa,Crystal Palace,1,0,2016-01-12,282,2015,58889,0,0,0,0,0,0,0,517,Joe Ledley
0,0,0,21,Sub,Crystal Palace,Chelsea,0,3,2016-01-03,279,2015,61029,0,0,0,0,0,0,0,517,Joe Ledley
0,0,0,76,MC,Bournemouth,Crystal Palace,0,0,2015-12-26,255,2015,59746,0,0,0,0,0,0.017430530861020088,0.017430530861020088,517,Joe Ledley
0,0,0,90,MC,Stoke,Crystal Palace,1,2,2015-12-19,243,2015,58371,0.10253836959600449,0,1,0,0,0.10253836959600449,0,517,Joe Ledley
0,0,0,8,Sub,Liverpool,Crystal Palace,1,2,2015-11-08,200,2015,60961,0,0,0,0,0,0,0,517,Joe Ledley
0,0,0,11,Sub,Crystal Palace,West Ham,1,3,2015-10-17,165,2015,64967,0,0,0,0,0,0,0,517,Joe Ledley
0,0,0,1,Sub,Crystal Palace,West Bromwich Albion,2,0,2015-10-03,151,2015,64775,0,0,0,0,0,0,0,517,Joe Ledley
0,0,0,90,DMC,Watford,Crystal Palace,0,1,2015-09-27,149,2015,64588,0,0,0,0,0,0.04843467101454735,0.04843467101454735,517,Joe Ledley
0,0,0,7,Sub,Chelsea,Crystal Palace,1,2,2015-08-29,115,2015,63517,0,0,0,0,0,0,0,517,Joe Ledley
0,1,0.058635905385017395,90,MC,Liverpool,Crystal Palace,1,3,2015-05-16,4425,2014,25390,0,0,0,0,0.058635905385017395,0.18622061610221863,0.12758471071720123,517,Joe Ledley
0,0,0,50,DMC,Crystal Palace,Manchester United,1,2,2015-05-09,4415,2014,23619,0.017099224030971527,0,1,0,0,0.06616818159818649,0.06616818159818649,517,Joe Ledley
0,1,0.04995252192020416,90,MC,Chelsea,Crystal Palace,1,0,2015-05-03,4406,2014,23690,0,0,0,0,0.04995252192020416,0,0,517,Joe Ledley
0,0,0,48,DL,Crystal Palace,West Bromwich Albion,0,2,2015-04-18,4462,2014,23175,0,0,0,0,0,0.11277904361486435,0.11277904361486435,517,Joe Ledley
0,0,0,17,Sub,Sunderland,Crystal Palace,1,4,2015-04-11,4452,2014,23970,0,0,0,0,0,0,0,517,Joe Ledley
0,0,0,90,DMC,Crystal Palace,Manchester City,2,1,2015-04-06,4449,2014,24416,0.3816102147102356,0,1,0,0,0,0,517,Joe Ledley
0,0,0,90,DMC,Stoke,Crystal Palace,1,2,2015-03-21,4507,2014,25691,0,0,0,0,0,0.09117040783166885,0.09117040783166885,517,Joe Ledley
0,1,0.019930511713027954,90,MC,Crystal Palace,Queens Park Rangers,3,1,2015-03-14,4493,2014,25570,0,0,0,0,0.019930511713027954,0.09727507829666138,0.07734456658363342,517,Joe Ledley
0,0,0,90,MC,Southampton,Crystal Palace,1,0,2015-03-03,4484,2014,23387,0.02284374088048935,0,1,0,0,0.040624577552080154,0.040624577552080154,517,Joe Ledley
0,0,0,6,Sub,West Ham,Crystal Palace,1,3,2015-02-28,4545,2014,27040,0,0,0,0,0,0,0,517,Joe Ledley
0,0,0,82,DMC,Crystal Palace,Arsenal,1,2,2015-02-21,4537,2014,26853,0,0,0,0,0,0.14542154967784882,0.14542154967784882,517,Joe Ledley
