goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.07963217049837112,90,DC,Chelsea,Sunderland,5,1,2017-05-21,3512,2016,125208,0,0,0,0,0.07963217049837112,0,0,729,John O&#039;Shea
0,0,0,90,DC,Arsenal,Sunderland,2,0,2017-05-16,3470,2016,135104,0,0,0,0,0,0,0,729,John O&#039;Shea
0,0,0,90,DC,Sunderland,Swansea,0,2,2017-05-13,3506,2016,133767,0,0,0,0,0,0,0,729,John O&#039;Shea
0,1,0.020779073238372803,90,DC,Hull,Sunderland,0,2,2017-05-06,3494,2016,134913,0.4787243902683258,1,1,0,0.020779073238372803,0.3054063022136688,0.3054063022136688,729,John O&#039;Shea
0,0,0,90,DC,Sunderland,Bournemouth,0,1,2017-04-29,3486,2016,134513,0,0,0,0,0,0.0777374655008316,0.0777374655008316,729,John O&#039;Shea
0,0,0,90,DC,Middlesbrough,Sunderland,1,0,2017-04-26,3413,2016,132855,0,0,0,0,0,0.02458091452717781,0.02458091452717781,729,John O&#039;Shea
0,1,0.0721483826637268,90,DC,Sunderland,West Ham,2,2,2017-04-15,3464,2016,134873,0,0,0,0,0.0721483826637268,0,0,729,John O&#039;Shea
0,0,0,90,DC,Watford,Sunderland,1,0,2017-04-01,3439,2016,133207,0,0,0,0,0,0,0,729,John O&#039;Shea
0,0,0,90,DC,Sunderland,Burnley,0,0,2017-03-18,3423,2016,133715,0,0,0,0,0,0.02163281850516796,0.02163281850516796,729,John O&#039;Shea
0,0,0,90,DC,Sunderland,Manchester City,0,2,2017-03-05,3404,2016,133111,0,0,0,0,0,0,0,729,John O&#039;Shea
0,0,0,90,DC,Everton,Sunderland,2,0,2017-02-25,3393,2016,131613,0,0,0,0,0,0,0,729,John O&#039;Shea
0,0,0,47,DC,Sunderland,Southampton,0,4,2017-02-11,3384,2016,131154,0,0,0,0,0,0,0,729,John O&#039;Shea
0,0,0,60,DC,Crystal Palace,Sunderland,0,4,2017-02-04,3371,2016,129408,0,0,0,0,0,0,0,729,John O&#039;Shea
0,0,0,90,DC,Sunderland,Tottenham,0,0,2017-01-31,3364,2016,132234,0,0,0,0,0,0,0,729,John O&#039;Shea
