goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.024443523958325386,27,DC,Chelsea,Sunderland,5,1,2017-05-21,3512,2016,125196,0,0,0,0,0.024443523958325386,0.024443523958325386,0,917,John Terry
1,3,0.720887303352356,90,DC,Chelsea,Watford,4,3,2017-05-15,3414,2016,132399,0,0,0,1,0.720887303352356,0.05330933630466461,0.05330933630466461,917,John Terry
0,0,0,5,Sub,Chelsea,Middlesbrough,3,0,2017-05-08,3493,2016,134854,0,0,0,0,0,0,0,917,John Terry
0,0,0,3,Sub,Chelsea,Southampton,4,2,2017-04-25,3473,2016,134167,0,0,0,0,0,0.1291380673646927,0.1291380673646927,917,John Terry
0,0,0,4,Sub,Chelsea,Everton,5,0,2016-11-05,2691,2016,127999,0,0,0,0,0,0,0,917,John Terry
0,1,0.03662445768713951,90,DC,Swansea,Chelsea,2,2,2016-09-11,499,2016,126205,0.4951874315738678,0,1,0,0.03662445768713951,0.1812053769826889,0.1812053769826889,917,John Terry
0,2,0.6442158818244934,90,DC,Chelsea,Burnley,3,0,2016-08-27,485,2016,125692,0,0,0,0,0.6442158818244934,0,0,917,John Terry
0,0,0,90,DC,Watford,Chelsea,1,2,2016-08-20,476,2016,125621,0,0,0,0,0,0,0,917,John Terry
0,1,0.11506050080060959,90,DC,Chelsea,West Ham,2,1,2016-08-15,470,2016,124952,0.04508814588189125,0,1,0,0.11506050080060959,0.14804163575172424,0.1029534861445427,917,John Terry
0,0,0,90,DC,Sunderland,Chelsea,3,2,2016-05-07,442,2015,62767,0,0,0,0,0,0.058175649493932724,0.058175649493932724,917,John Terry
0,0,0,90,DC,Chelsea,Tottenham,2,2,2016-05-02,436,2015,62945,0,0,0,0,0,0,0,917,John Terry
0,1,0.05578476935625076,90,DC,Chelsea,West Ham,2,2,2016-03-19,376,2015,66088,0,0,0,0,0.05578476935625076,0.03490202873945236,0.03490202873945236,917,John Terry
0,1,0.034639228135347366,37,DC,Chelsea,Newcastle United,5,1,2016-02-13,337,2015,60853,0,0,0,0,0.034639228135347366,0.12240854650735855,0.12240854650735855,917,John Terry
0,2,0.21487951278686523,90,DC,Chelsea,Manchester United,1,1,2016-02-07,330,2015,61954,0.014658243395388126,0,1,0,0.21487951278686523,0.5076095461845398,0.38602861762046814,917,John Terry
0,0,0,90,DC,Watford,Chelsea,0,0,2016-02-03,320,2015,60071,0,0,0,0,0,0.19546017050743103,0.19546017050743103,917,John Terry
0,0,0,90,DC,Arsenal,Chelsea,0,1,2016-01-24,310,2015,59412,0,0,0,0,0,0.06666421890258789,0.06666421890258789,917,John Terry
1,1,0.49147263169288635,90,DC,Chelsea,Everton,3,3,2016-01-16,295,2015,61898,0,0,0,1,0.49147263169288635,1.3450342416763306,0.8535615801811218,917,John Terry
0,0,0,90,DC,Chelsea,West Bromwich Albion,2,2,2016-01-13,287,2015,59975,0,0,0,0,0,0.13274520635604858,0.13274520635604858,917,John Terry
0,0,0,90,DC,Crystal Palace,Chelsea,0,3,2016-01-03,279,2015,61034,0,0,0,0,0,0.7854127883911133,0.7854127883911133,917,John Terry
0,1,0.33181554079055786,90,DC,Manchester United,Chelsea,0,0,2015-12-28,267,2015,59106,0,0,0,0,0.33181554079055786,0,0,917,John Terry
0,1,0.047985535115003586,90,DC,Chelsea,Watford,2,2,2015-12-26,256,2015,60001,0,0,0,0,0.047985535115003586,0.029418515041470528,0.029418515041470528,917,John Terry
0,0,0,90,DC,Chelsea,Sunderland,3,1,2015-12-19,244,2015,61647,0,0,0,0,0,0.21313709020614624,0.21313709020614624,917,John Terry
0,0,0,56,DC,Leicester,Chelsea,2,1,2015-12-15,240,2015,59631,0,0,0,0,0,0,0,917,John Terry
0,1,0.10952302068471909,90,DC,Chelsea,Norwich,1,0,2015-11-21,207,2015,59037,0,0,0,0,0.10952302068471909,0.582308292388916,0.582308292388916,917,John Terry
0,0,0,90,DC,Stoke,Chelsea,1,0,2015-11-07,197,2015,58229,0,0,0,0,0,0.09836015105247498,0.09836015105247498,917,John Terry
0,0,0,90,DC,Chelsea,Liverpool,1,3,2015-10-31,181,2015,65505,0,0,0,0,0,0.0909651592373848,0.0909651592373848,917,John Terry
0,0,0,90,DC,West Ham,Chelsea,2,1,2015-10-24,173,2015,65491,0,0,0,0,0,0.09337413311004639,0.09337413311004639,917,John Terry
0,1,0.0897170677781105,90,DC,Chelsea,Aston Villa,2,0,2015-10-17,164,2015,64930,0,0,0,0,0.0897170677781105,0,0,917,John Terry
0,0,0,90,DC,Chelsea,Southampton,1,3,2015-10-03,157,2015,64737,0,0,0,0,0,0,0,917,John Terry
