goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,DC,Chelsea,Sunderland,5,1,2017-05-21,3512,2016,125209,0,0,0,0,0,0.010952559299767017,0.010952559299767017,664,Joleon Lescott
0,0,0,30,Sub,Crystal Palace,Sunderland,0,4,2017-02-04,3371,2016,129418,0,0,0,0,0,0,0,664,Joleon Lescott
0,0,0,65,DC,Arsenal,Aston Villa,4,0,2016-05-15,451,2015,57651,0,0,0,0,0,0.07361344993114471,0.07361344993114471,664,Joleon Lescott
0,0,0,90,DC,Aston Villa,Newcastle United,0,0,2016-05-07,440,2015,63632,0,0,0,0,0,0,0,664,Joleon Lescott
0,0,0,90,DC,Watford,Aston Villa,3,2,2016-04-30,430,2015,63535,0,0,0,0,0,0.09170874953269958,0.09170874953269958,664,Joleon Lescott
0,0,0,90,DC,Aston Villa,Southampton,2,4,2016-04-23,421,2015,63082,0,0,0,0,0,0.0956953912973404,0.0956953912973404,664,Joleon Lescott
0,0,0,90,DC,Manchester United,Aston Villa,1,0,2016-04-16,406,2015,62575,0,0,0,0,0,0,0,664,Joleon Lescott
0,0,0,90,DC,Aston Villa,Bournemouth,1,2,2016-04-09,398,2015,66582,0,0,0,0,0,0,0,664,Joleon Lescott
0,1,0.01148923859000206,90,DC,Aston Villa,Chelsea,0,4,2016-04-02,384,2015,67301,0,0,0,0,0.01148923859000206,0.22215121984481812,0.22215121984481812,664,Joleon Lescott
0,2,0.1250178962945938,90,DC,Swansea,Aston Villa,1,0,2016-03-19,379,2015,66763,0,0,0,0,0.1250178962945938,0,0,664,Joleon Lescott
0,1,0.516261100769043,90,DC,Aston Villa,Tottenham,0,2,2016-03-13,372,2015,66942,0,0,0,0,0.516261100769043,0,0,664,Joleon Lescott
0,0,0,90,DC,Manchester City,Aston Villa,4,0,2016-03-05,364,2015,66075,0,0,0,0,0,0.0743594542145729,0.0743594542145729,664,Joleon Lescott
0,0,0,90,DC,Aston Villa,Everton,1,3,2016-03-01,349,2015,66783,0,0,0,0,0,0.05285733565688133,0.05285733565688133,664,Joleon Lescott
0,0,0,90,DC,Stoke,Aston Villa,2,1,2016-02-27,345,2015,66130,0.020385941490530968,0,1,0,0,0.32274511456489563,0.3023591637611389,664,Joleon Lescott
0,0,0,90,DC,Aston Villa,Liverpool,0,6,2016-02-14,339,2015,60303,0.02663700096309185,0,1,0,0,0.11769289523363113,0.11769289523363113,664,Joleon Lescott
0,1,0.04653054475784302,90,DC,Aston Villa,Norwich,2,0,2016-02-06,326,2015,61594,0,0,0,0,0.04653054475784302,0.16801777482032776,0.16801777482032776,664,Joleon Lescott
0,0,0,90,DC,West Ham,Aston Villa,2,0,2016-02-02,315,2015,60345,0,0,0,0,0,0.021971948444843292,0.021971948444843292,664,Joleon Lescott
0,0,0,90,DC,West Bromwich Albion,Aston Villa,0,0,2016-01-23,305,2015,58423,0.0941494032740593,0,1,0,0,0.17663344740867615,0.08248404413461685,664,Joleon Lescott
