goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,DC,Tottenham,West Bromwich Albion,4,0,2017-01-14,3340,2016,130973,0,0,0,0,0,0,0,805,Jonas Olsson
0,1,0.05457662045955658,90,DC,West Bromwich Albion,Manchester United,0,2,2016-12-17,3140,2016,128867,0,0,0,0,0.05457662045955658,0.2973689138889313,0.2973689138889313,805,Jonas Olsson
0,0,0,90,DC,West Bromwich Albion,Swansea,3,1,2016-12-15,3131,2016,131125,0,0,0,0,0,0.021793311461806297,0.021793311461806297,805,Jonas Olsson
0,0,0,53,DC,West Bromwich Albion,Manchester City,0,4,2016-10-29,2680,2016,127876,0,0,0,0,0,0,0,805,Jonas Olsson
0,0,0,90,DC,Liverpool,West Bromwich Albion,2,1,2016-10-22,548,2016,127309,0,0,0,0,0,0,0,805,Jonas Olsson
0,0,0,90,DC,West Bromwich Albion,Everton,1,2,2016-08-20,477,2016,125635,0,0,0,0,0,0.31197065114974976,0.31197065114974976,805,Jonas Olsson
0,2,0.14079046249389648,90,DC,Crystal Palace,West Bromwich Albion,0,1,2016-08-13,462,2016,124993,0,0,0,0,0.14079046249389648,0.11257962137460709,0.11257962137460709,805,Jonas Olsson
0,0,0,48,DC,West Bromwich Albion,Liverpool,1,1,2016-05-15,459,2015,57884,0,0,0,0,0,0,0,805,Jonas Olsson
0,0,0,90,DC,Bournemouth,West Bromwich Albion,1,1,2016-05-07,441,2015,63698,0,0,0,0,0,0,0,805,Jonas Olsson
0,0,0,90,DC,West Bromwich Albion,West Ham,0,3,2016-04-30,431,2015,63575,0.020134229212999344,0,1,0,0,0.18497158586978912,0.16483736038208008,805,Jonas Olsson
0,1,0.035769131034612656,90,DC,Tottenham,West Bromwich Albion,1,1,2016-04-25,426,2015,62628,0,0,0,0,0.035769131034612656,0.31792646646499634,0.31792646646499634,805,Jonas Olsson
0,0,0,43,Sub,Arsenal,West Bromwich Albion,2,0,2016-04-21,419,2015,66853,0,0,0,0,0,0,0,805,Jonas Olsson
0,0,0,62,DC,West Bromwich Albion,Norwich,0,1,2016-03-19,378,2015,67079,0,0,0,0,0,0.016631493344902992,0.016631493344902992,805,Jonas Olsson
0,0,0,90,DC,West Bromwich Albion,Manchester United,1,0,2016-03-06,368,2015,66720,0,0,0,0,0,0.22180519998073578,0.22180519998073578,805,Jonas Olsson
0,1,0.09205138683319092,90,DC,Leicester,West Bromwich Albion,2,2,2016-03-01,351,2015,67009,0.01102906372398138,0,1,0,0.09205138683319092,0.3212621212005615,0.31023305654525757,805,Jonas Olsson
0,0,0,90,DC,West Bromwich Albion,Crystal Palace,3,2,2016-02-27,346,2015,66444,0,0,0,0,0,0.05557412654161453,0.05557412654161453,805,Jonas Olsson
0,0,0,90,DC,Everton,West Bromwich Albion,0,1,2016-02-13,334,2015,61361,0.9668694734573364,1,1,0,0,0,0,805,Jonas Olsson
0,0,0,90,DC,Newcastle United,West Bromwich Albion,1,0,2016-02-06,322,2015,58667,0,0,0,0,0,0,0,805,Jonas Olsson
