goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
1,2,0.24614575505256653,78,FW,Osasuna,Valencia,3,1,2021-04-21,15085,2020,464223,0.3725374937057495,1,2,1,0.24614575505256653,0.4852338135242462,0,1672,Jonathan Calleri
0,0,0,11,Sub,Villarreal,Osasuna,1,2,2021-04-11,15077,2020,461655,0,0,0,0,0,0,0,1672,Jonathan Calleri
0,0,0,63,FW,Osasuna,Getafe,0,0,2021-04-03,15063,2020,459832,0,0,0,0,0,0,0,1672,Jonathan Calleri
0,1,0.042402174323797226,80,FW,SD Huesca,Osasuna,0,0,2021-03-20,15053,2020,458252,0.014731816947460175,0,1,0,0.042402174323797226,0.0571339912712574,0,1672,Jonathan Calleri
0,2,0.1016049012541771,77,FW,Osasuna,Real Valladolid,0,0,2021-03-13,15045,2020,456492,0,0,0,0,0.1016049012541771,0.024622958153486252,0,1672,Jonathan Calleri
0,4,0.21310624480247498,72,FW,Osasuna,Barcelona,0,2,2021-03-06,15033,2020,454877,0,0,0,0,0.21310624480247498,0.18126681447029114,0.0560198649764061,1672,Jonathan Calleri
0,2,0.7214519381523132,67,FW,Alaves,Osasuna,0,1,2021-02-27,15018,2020,452462,0,0,0,0,0.7214519381523132,0.7214519381523132,0,1672,Jonathan Calleri
0,3,0.14318667352199554,26,Sub,Osasuna,Sevilla,0,2,2021-02-22,15013,2020,451725,0.01920076087117195,0,1,0,0.14318667352199554,0.06609173119068146,0,1672,Jonathan Calleri
0,0,0,71,FW,Levante,Osasuna,0,1,2021-02-14,15004,2020,449895,0,0,0,0,0,0.1559944450855255,0.1559944450855255,1672,Jonathan Calleri
1,2,0.4520249664783478,72,FW,Osasuna,Eibar,2,1,2021-02-07,14994,2020,448502,0,0,0,1,0.4520249664783478,0.4520249664783478,0,1672,Jonathan Calleri
0,4,0.521459698677063,77,FW,Real Betis,Osasuna,1,0,2021-02-01,14979,2020,446677,0,0,0,0,0.521459698677063,0.7985765933990479,0.35123610496520996,1672,Jonathan Calleri
0,0,0,40,Sub,Osasuna,Granada,3,1,2021-01-24,14977,2020,444484,0,0,0,0,0,0,0,1672,Jonathan Calleri
