goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.04584871232509613,90,DC,Sevilla,Rayo Vallecano,5,0,2019-04-25,10296,2018,327922,0,0,0,0,0.04584871232509613,0,0,721,Jordi Amat
0,0,0,90,DC,Athletic Club,Rayo Vallecano,3,2,2019-04-14,10267,2018,324745,0,0,0,0,0,0.5947978496551514,0.5947978496551514,721,Jordi Amat
0,0,0,90,DC,Eibar,Rayo Vallecano,2,1,2019-04-03,10254,2018,321840,0,0,0,0,0,0.0480039156973362,0.0480039156973362,721,Jordi Amat
0,0,0,90,DC,Rayo Vallecano,Real Betis,1,1,2019-03-31,10244,2018,318304,0.030499352142214775,0,1,0,0,0.39874032139778137,0.36824095249176025,721,Jordi Amat
0,0,0,90,DC,Villarreal,Rayo Vallecano,3,1,2019-03-17,10236,2018,317243,0,0,0,0,0,0.01447681151330471,0.01447681151330471,721,Jordi Amat
0,1,0.02390790916979313,64,DC,Barcelona,Rayo Vallecano,3,1,2019-03-09,10223,2018,314724,0,0,0,0,0.02390790916979313,0,0,721,Jordi Amat
0,0,0,90,DC,Rayo Vallecano,Girona,0,2,2019-03-01,10216,2018,311384,0,0,0,0,0,0.018095916137099266,0.018095916137099266,721,Jordi Amat
0,0,0,90,DC,Getafe,Rayo Vallecano,2,1,2019-02-23,10202,2018,311145,0.020765556022524834,0,1,0,0,0.5503499507904053,0.5295844078063965,721,Jordi Amat
0,0,0,90,DC,Rayo Vallecano,Atletico Madrid,0,1,2019-02-16,10191,2018,310879,0,0,0,0,0,0.02323308028280735,0.02323308028280735,721,Jordi Amat
0,0,0,90,DC,Espanyol,Rayo Vallecano,2,1,2019-02-09,10183,2018,310614,0,0,0,0,0,0.2063489556312561,0.2063489556312561,721,Jordi Amat
0,0,0,90,DC,Rayo Vallecano,Leganes,1,2,2019-02-04,10176,2018,310462,0,0,0,0,0,0.10194113850593567,0.10194113850593567,721,Jordi Amat
0,0,0,90,DC,Alaves,Rayo Vallecano,0,1,2019-01-28,10157,2018,310168,0,0,0,0,0,0.2105248123407364,0.2105248123407364,721,Jordi Amat
0,0,0,90,DC,Rayo Vallecano,Real Sociedad,2,2,2019-01-20,10149,2018,309792,0,0,0,0,0,0,0,721,Jordi Amat
0,0,0,90,DC,Rayo Vallecano,Celta Vigo,4,2,2019-01-11,10139,2018,309346,0,0,0,0,0,0.49439316987991333,0.49439316987991333,721,Jordi Amat
0,0,0,90,DC,Real Valladolid,Rayo Vallecano,0,1,2019-01-05,10136,2018,309139,0,0,0,0,0,0.07275738567113876,0.07275738567113876,721,Jordi Amat
0,0,0,90,DC,Rayo Vallecano,Levante,2,1,2018-12-23,10120,2018,287940,0,0,0,0,0,0.15829384326934814,0.15829384326934814,721,Jordi Amat
