goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,MC,Middlesbrough,Southampton,1,2,2017-05-13,3504,2016,135332,0,0,0,0,0,0.33956414461135864,0.33956414461135864,837,Jordy Clasie
1,1,0.04441133886575699,86,DMC,West Bromwich Albion,Southampton,0,1,2017-04-08,3454,2016,133923,0,0,0,1,0.04441133886575699,0.17760935425758362,0.13319800794124603,837,Jordy Clasie
0,0,0,1,Sub,Watford,Southampton,3,4,2017-03-04,3407,2016,133463,0,0,0,0,0,0,0,837,Jordy Clasie
0,0,0,77,MC,Swansea,Southampton,2,1,2017-01-31,3365,2016,132276,0,0,0,0,0,0.6109459400177002,0.6109459400177002,837,Jordy Clasie
0,0,0,15,Sub,Southampton,Leicester,3,0,2017-01-22,3357,2016,131887,0,0,0,0,0,0.12647050619125366,0.12647050619125366,837,Jordy Clasie
0,1,0.028200916945934296,81,MC,Everton,Southampton,3,0,2017-01-02,3331,2016,129354,0,0,0,0,0.028200916945934296,0.32174381613731384,0.32174381613731384,837,Jordy Clasie
0,0,0,90,MC,Bournemouth,Southampton,1,3,2016-12-18,3141,2016,131588,0.06259620189666748,1,1,0,0,0.2857457995414734,0.2857457995414734,837,Jordy Clasie
0,3,0.15316548943519592,86,MC,Southampton,Middlesbrough,1,0,2016-12-11,3123,2016,130250,0.046411413699388504,0,1,0,0.15316548943519592,0.3104827404022217,0.15731723606586456,837,Jordy Clasie
0,0,0,10,Sub,Southampton,Everton,1,0,2016-11-27,2715,2016,128191,0.0886448323726654,0,1,0,0,0.32236239314079285,0.32236239314079285,837,Jordy Clasie
0,2,0.16596415638923645,81,MC,Hull,Southampton,2,1,2016-11-06,2694,2016,128473,0,0,0,0,0.16596415638923645,0.24843177199363708,0.24843177199363708,837,Jordy Clasie
0,0,0,62,MC,Southampton,Chelsea,0,2,2016-10-30,2685,2016,127742,0,0,0,0,0,0,0,837,Jordy Clasie
0,2,0.07254140079021454,69,MC,Manchester City,Southampton,1,1,2016-10-23,549,2016,127368,0,0,0,0,0.07254140079021454,0.07254140079021454,0,837,Jordy Clasie
0,1,0.02336726151406765,90,MC,Southampton,Burnley,3,1,2016-10-16,539,2016,126890,0.04994673281908035,0,1,0,0.02336726151406765,0.23922604322433472,0.21585878729820251,837,Jordy Clasie
0,1,0.01841302029788494,55,MC,Southampton,Swansea,1,0,2016-09-18,509,2016,126416,0,0,0,0,0.01841302029788494,0.7964674234390259,0.778054416179657,837,Jordy Clasie
0,0,0,66,MC,Arsenal,Southampton,2,1,2016-09-10,494,2016,125986,0.0751015767455101,0,1,0,0,0.0751015767455101,0,837,Jordy Clasie
0,1,0.01851166971027851,79,Sub,Manchester United,Southampton,2,0,2016-08-19,471,2016,125493,0,0,0,0,0.01851166971027851,0.19683361053466797,0.1783219426870346,837,Jordy Clasie
0,0,0,62,DMC,Tottenham,Southampton,1,2,2016-05-08,444,2015,62881,0.08875564485788345,0,2,0,0,0.08875564485788345,0,837,Jordy Clasie
0,1,0.09495817869901657,61,DMC,Southampton,Manchester City,4,2,2016-05-01,435,2015,63305,0.11421644687652588,0,1,0,0.09495817869901657,0.7087740898132324,0.4995994567871094,837,Jordy Clasie
0,0,0,43,Sub,Aston Villa,Southampton,2,4,2016-04-23,421,2015,63104,0.03948936611413956,0,1,0,0,0.7477114796638489,0.7082220911979675,837,Jordy Clasie
0,1,0.08249907940626144,90,MC,Everton,Southampton,1,1,2016-04-16,407,2015,62359,0.11434996128082275,0,1,0,0.08249907940626144,0.1968490332365036,0,837,Jordy Clasie
0,0,0,79,DMC,Southampton,Newcastle United,3,1,2016-04-09,396,2015,67027,0.05310975760221481,0,2,0,0,0.11010368913412094,0.11010368913412094,837,Jordy Clasie
0,2,0.03835810348391533,74,MC,Leicester,Southampton,1,0,2016-04-03,392,2015,65828,0.14262434840202332,0,3,0,0.03835810348391533,0.1366897076368332,0,837,Jordy Clasie
0,1,0.01627185195684433,48,MC,Southampton,Liverpool,3,2,2016-03-20,380,2015,66641,0,0,0,0,0.01627185195684433,0.07181666791439056,0.055544815957546234,837,Jordy Clasie
0,1,0.0900687575340271,72,MC,Stoke,Southampton,1,2,2016-03-12,370,2015,65772,0,0,0,0,0.0900687575340271,0.3897135853767395,0.2996448576450348,837,Jordy Clasie
0,0,0,67,DMC,Southampton,Sunderland,1,1,2016-03-05,360,2015,66283,0,0,0,0,0,0.14197558164596558,0.14197558164596558,837,Jordy Clasie
0,1,0.021255100145936012,90,DMC,Southampton,Chelsea,1,2,2016-02-27,344,2015,66007,0,0,0,0,0.021255100145936012,0,0,837,Jordy Clasie
0,1,0.046317603439092636,90,MC,Swansea,Southampton,0,1,2016-02-13,332,2015,62109,0,0,0,0,0.046317603439092636,0.1522337794303894,0.10591617226600647,837,Jordy Clasie
0,1,0.016906317323446274,90,MC,Southampton,West Ham,1,0,2016-02-06,328,2015,58931,0,0,0,0,0.016906317323446274,0,0,837,Jordy Clasie
0,0,0,69,MC,Manchester United,Southampton,0,1,2016-01-23,303,2015,60513,0.08622395992279053,0,1,0,0,0,0,837,Jordy Clasie
0,0,0,90,DMC,Southampton,Watford,2,0,2016-01-13,284,2015,60802,0,0,0,0,0,0.019817262887954712,0.019817262887954712,837,Jordy Clasie
0,1,0.019506242126226425,81,DMC,Norwich,Southampton,1,0,2016-01-02,276,2015,61887,0.05240277200937271,0,1,0,0.019506242126226425,0.08686589449644089,0.014956878498196602,837,Jordy Clasie
0,0,0,68,DMC,Southampton,Arsenal,4,0,2015-12-26,260,2015,61078,0,0,0,0,0,0.0185457281768322,0.0185457281768322,837,Jordy Clasie
0,0,0,79,DMC,Southampton,Tottenham,0,2,2015-12-19,242,2015,58079,0,0,0,0,0,0.09260556846857071,0.09260556846857071,837,Jordy Clasie
0,2,0.03463440015912056,67,DMC,Southampton,Stoke,0,1,2015-11-21,203,2015,60417,0.06022238731384277,0,1,0,0.03463440015912056,0.07888872176408768,0,837,Jordy Clasie
0,1,0.009759665466845036,79,DMC,Sunderland,Southampton,0,1,2015-11-07,196,2015,58508,0.013248295523226261,0,1,0,0.009759665466845036,0.023007960990071297,0.023007960990071297,837,Jordy Clasie
