goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,54,Sub,Everton,Watford,1,0,2017-05-12,3502,2016,135282,0.023126766085624695,0,1,0,0,0.12910813093185425,0.10598135739564896,1722,Juan Zuñiga
0,1,0.011695672757923603,17,Sub,Leicester,Watford,3,0,2017-05-06,3495,2016,134976,0,0,0,0,0.011695672757923603,0.10455161333084106,0.09285594522953033,1722,Juan Zuñiga
0,0,0,1,Sub,Hull,Watford,2,0,2017-04-22,3474,2016,134207,0.017276490107178688,0,1,0,0,0.017276490107178688,0,1722,Juan Zuñiga
0,0,0,30,Sub,Tottenham,Watford,4,0,2017-04-08,3453,2016,133818,0,0,0,0,0,0,0,1722,Juan Zuñiga
0,0,0,1,Sub,Watford,Sunderland,1,0,2017-04-01,3439,2016,133202,0,0,0,0,0,0.0515301451086998,0.0515301451086998,1722,Juan Zuñiga
0,0,0,1,Sub,Watford,Middlesbrough,0,0,2017-01-14,3341,2016,131080,0,0,0,0,0,0,0,1722,Juan Zuñiga
0,1,0.02611781843006611,87,Sub,Watford,Crystal Palace,1,1,2016-12-26,3145,2016,129901,0,0,0,0,0.02611781843006611,0.046178191900253296,0.046178191900253296,1722,Juan Zuñiga
0,0,0,58,ML,Sunderland,Watford,1,0,2016-12-17,3139,2016,128720,0,0,0,0,0,0,0,1722,Juan Zuñiga
0,0,0,61,Sub,Manchester City,Watford,2,0,2016-12-15,3132,2016,131343,0,0,0,0,0,0.36032164096832275,0.36032164096832275,1722,Juan Zuñiga
0,0,0,90,DR,Watford,Everton,3,2,2016-12-10,3115,2016,130464,0,0,0,0,0,0.7584688663482666,0.7584688663482666,1722,Juan Zuñiga
0,1,0.09887716174125671,79,DR,West Bromwich Albion,Watford,3,1,2016-12-03,3110,2016,128992,0,0,0,0,0.09887716174125671,0.21738958358764648,0.11851242184638977,1722,Juan Zuñiga
0,0,0,90,ML,Watford,Leicester,2,1,2016-11-19,2701,2016,128845,0,0,0,0,0,0.4194975197315216,0.4194975197315216,1722,Juan Zuñiga
0,0,0,1,Sub,Liverpool,Watford,6,1,2016-11-06,2693,2016,128066,0.10007931292057037,0,1,0,0,0.10007931292057037,0.10007931292057037,1722,Juan Zuñiga
0,0,0,4,Sub,Watford,Hull,1,0,2016-10-29,2679,2016,127859,0.08726110309362411,0,1,0,0,0.08726110309362411,0.08726110309362411,1722,Juan Zuñiga
0,1,0.029997853562235832,63,DR,Swansea,Watford,0,0,2016-10-22,543,2016,127418,0.015080536715686321,0,1,0,0.029997853562235832,0.04507838934659958,0,1722,Juan Zuñiga
0,0,0,17,Sub,Middlesbrough,Watford,0,1,2016-10-16,538,2016,126882,0,0,0,0,0,0,0,1722,Juan Zuñiga
0,1,0.015175577253103256,90,DR,Watford,Bournemouth,2,2,2016-10-01,525,2016,127431,0,0,0,0,0.015175577253103256,0.03883576765656471,0.023660188540816307,1722,Juan Zuñiga
0,0,0,42,Sub,Burnley,Watford,2,0,2016-09-26,520,2016,126603,0,0,0,0,0,0,0,1722,Juan Zuñiga
1,1,0.3651951551437378,4,Sub,Watford,Manchester United,3,1,2016-09-18,507,2016,126477,0,0,0,1,0.3651951551437378,0.3651951551437378,0,1722,Juan Zuñiga
0,0,0,1,Sub,Watford,Chelsea,1,2,2016-08-20,476,2016,125616,0,0,0,0,0,0,0,1722,Juan Zuñiga
0,0,0,13,Sub,Southampton,Watford,1,1,2016-08-13,466,2016,125135,0,0,0,0,0,0,0,1722,Juan Zuñiga
0,3,0.046669136732816696,41,Sub,Chievo,Bologna,0,0,2016-05-15,927,2015,114134,0.061847537755966187,0,1,0,0.046669136732816696,0.11841859668493271,0.020440012216567993,1722,Juan Zuñiga
0,1,0.02059844508767128,81,AMR,Bologna,AC Milan,0,1,2016-05-07,912,2015,113669,0,0,0,0,0.02059844508767128,0.135104700922966,0.11450625211000443,1722,Juan Zuñiga
0,1,0.013068201020359993,21,Sub,Empoli,Bologna,0,0,2016-05-01,905,2015,113017,0,0,0,0,0.013068201020359993,0.013068201020359993,0,1722,Juan Zuñiga
0,0,0,31,Sub,Bologna,Genoa,2,0,2016-04-24,895,2015,112475,0,0,0,0,0,0.03390116989612579,0.03390116989612579,1722,Juan Zuñiga
0,2,0.025572745129466057,90,MR,Napoli,Bologna,6,0,2016-04-19,881,2015,111897,0,0,0,0,0.025572745129466057,0.025572745129466057,0,1722,Juan Zuñiga
0,1,0.051993414759635925,44,Sub,Bologna,Torino,0,1,2016-04-16,871,2015,111557,0.12508690357208252,0,1,0,0.051993414759635925,0.051993414759635925,0,1722,Juan Zuñiga
0,0,0,90,MR,Roma,Bologna,1,1,2016-04-11,870,2015,110785,0.4789371192455292,1,1,0,0,0,0,1722,Juan Zuñiga
0,0,0,27,Sub,Inter,Bologna,2,1,2016-03-12,833,2015,109116,0,0,0,0,0,0,0,1722,Juan Zuñiga
0,0,0,18,Sub,Bologna,Lazio,2,2,2016-01-17,744,2015,104976,0,0,0,0,0,0,0,1722,Juan Zuñiga
0,0,0,7,Sub,Napoli,Fiorentina,3,0,2015-04-12,4845,2014,54219,0,0,0,0,0,0,0,1722,Juan Zuñiga
0,1,0.027992945164442062,90,DR,Inter,Napoli,2,2,2014-10-19,5087,2014,48326,0,0,0,0,0.027992945164442062,0.08787386864423752,0.059880923479795456,1722,Juan Zuñiga
0,1,0.013630307279527187,90,DL,Napoli,Torino,2,1,2014-10-05,5078,2014,48063,0.32257553935050964,1,1,0,0.013630307279527187,0.6622520685195923,0.6486217975616455,1722,Juan Zuñiga
0,0,0,90,DR,Sassuolo,Napoli,0,1,2014-09-28,5141,2014,47822,0,0,0,0,0,0.21672028303146362,0.21672028303146362,1722,Juan Zuñiga
0,0,0,64,AMR,Udinese,Napoli,1,0,2014-09-21,5125,2014,47325,0,0,0,0,0,0,0,1722,Juan Zuñiga
0,2,0.027497978881001472,90,DL,Napoli,Chievo,0,1,2014-09-14,5113,2014,46973,0.07589908689260483,0,4,0,0.027497978881001472,0.23084375262260437,0.15675950050354004,1722,Juan Zuñiga
0,1,0.3302572965621948,90,DL,Genoa,Napoli,1,2,2014-08-31,5155,2014,46596,0.6261983513832092,1,1,0,0.3302572965621948,1.1523722410202026,0.19591662287712097,1722,Juan Zuñiga
