goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,DC,Nice,Strasbourg,0,2,2021-05-16,16123,2020,472157,0,0,0,0,0,0.06279650330543518,0.06279650330543518,728,Lamine Koné
0,1,0.06131816282868385,90,DC,Marseille,Strasbourg,1,1,2021-04-30,16100,2020,466755,0,0,0,0,0.06131816282868385,0,0,728,Lamine Koné
0,0,0,90,DC,Strasbourg,Paris Saint Germain,1,4,2021-04-10,16075,2020,461240,0,0,0,0,0,0.09100238978862762,0.09100238978862762,728,Lamine Koné
1,1,0.4748823046684265,90,DC,Bordeaux,Strasbourg,2,3,2021-04-04,16059,2020,460193,0,0,0,1,0.4748823046684265,0,0,728,Lamine Koné
0,1,0.029625466093420982,81,DC,Strasbourg,Lens,1,2,2021-03-21,16053,2020,458384,0,0,0,0,0.029625466093420982,0.029625466093420982,0,728,Lamine Koné
0,1,0.09409473091363907,83,DC,Rennes,Strasbourg,1,0,2021-03-14,16042,2020,456906,0,0,0,0,0.09409473091363907,0,0,728,Lamine Koné
0,2,0.10388306528329849,90,DC,Strasbourg,Monaco,1,0,2021-03-03,16035,2020,454082,0,0,0,0,0.10388306528329849,0.10003892332315445,0.10003892332315445,728,Lamine Koné
0,0,0,17,Sub,Strasbourg,Brest,2,2,2021-02-03,15985,2020,446837,0,0,0,0,0,0,0,728,Lamine Koné
0,0,0,1,Sub,Dijon,Strasbourg,1,1,2021-01-24,15957,2020,444595,0,0,0,0,0,0.5635437965393066,0.5635437965393066,728,Lamine Koné
0,0,0,90,DC,Montpellier,Strasbourg,4,3,2020-11-22,15862,2020,428629,0,0,0,0,0,0,0,728,Lamine Koné
0,0,0,90,DC,Strasbourg,Marseille,0,1,2020-11-06,15847,2020,425952,0.026359429582953453,0,1,0,0,0.05883686617016792,0.03247743472456932,728,Lamine Koné
0,0,0,5,Sub,Brest,Strasbourg,0,3,2020-10-25,15833,2020,423415,0,0,0,0,0,0,0,728,Lamine Koné
0,2,0.14610782265663147,90,DC,Strasbourg,Lyon,2,3,2020-10-18,15825,2020,421690,0,0,0,0,0.14610782265663147,0.20666290819644928,0.20666290819644928,728,Lamine Koné
0,0,0,49,DC,Strasbourg,Nice,0,2,2020-08-29,13996,2020,414020,0,0,0,0,0,0.03157615289092064,0.03157615289092064,728,Lamine Koné
0,0,0,90,DC,Lorient,Strasbourg,3,1,2020-08-23,13980,2020,413518,0,0,0,0,0,0.05476989597082138,0.05476989597082138,728,Lamine Koné
0,1,0.022096019238233566,90,DC,Montpellier,Strasbourg,3,0,2020-02-29,12977,2019,396037,0,0,0,0,0.022096019238233566,0.029400328174233437,0.029400328174233437,728,Lamine Koné
0,0,0,90,DC,Strasbourg,Amiens,0,0,2020-02-22,12967,2019,394945,0,0,0,0,0,0.17368032038211823,0.17368032038211823,728,Lamine Koné
0,0,0,90,DC,Lyon,Strasbourg,1,1,2020-02-16,12954,2019,394072,0,0,0,0,0,0.015065084211528301,0.015065084211528301,728,Lamine Koné
0,0,0,33,DC,Monaco,Strasbourg,1,3,2020-01-25,12910,2019,390350,0,0,0,0,0,0,0,728,Lamine Koné
0,0,0,90,DC,Metz,Strasbourg,1,0,2020-01-11,12905,2019,388685,0,0,0,0,0,0.054485298693180084,0.054485298693180084,728,Lamine Koné
0,0,0,90,DC,Strasbourg,Saint-Etienne,2,1,2019-12-21,12892,2019,371703,0,0,0,0,0,0.04443880170583725,0.04443880170583725,728,Lamine Koné
0,0,0,90,DC,Bordeaux,Strasbourg,0,1,2019-12-15,12883,2019,370417,0,0,0,0,0,0.041816286742687225,0.041816286742687225,728,Lamine Koné
1,1,0.4029628038406372,90,DC,Strasbourg,Toulouse,4,2,2019-12-07,12875,2019,368634,0,0,0,1,0.4029628038406372,0.32380738854408264,0.32380738854408264,728,Lamine Koné
0,0,0,90,DC,Brest,Strasbourg,5,0,2019-12-03,12866,2019,367376,0.024140845984220505,0,1,0,0,0,0,728,Lamine Koné
0,0,0,12,Sub,Strasbourg,Nimes,4,1,2019-11-09,12837,2019,363476,0,0,0,0,0,0.07894699275493622,0.07894699275493622,728,Lamine Koné
0,1,0.014500655233860016,90,DC,Marseille,Strasbourg,2,0,2019-10-20,12806,2019,358880,0,0,0,0,0.014500655233860016,0.014578086324036121,0.014578086324036121,728,Lamine Koné
0,0,0,90,DC,Dijon,Strasbourg,1,0,2019-10-05,12790,2019,356485,0,0,0,0,0,0.03551437705755234,0.03551437705755234,728,Lamine Koné
0,0,0,90,DC,Strasbourg,Montpellier,1,0,2019-09-29,12785,2019,355363,0,0,0,0,0,0.10066177695989609,0.10066177695989609,728,Lamine Koné
0,0,0,75,DC,Lille,Strasbourg,2,0,2019-09-25,12777,2019,353818,0,0,0,0,0,0.013417160138487816,0.013417160138487816,728,Lamine Koné
0,3,0.10964314639568329,90,DC,Strasbourg,Nantes,2,1,2019-09-20,12763,2019,351882,0.07077199220657349,0,1,0,0.10964314639568329,0.20705683529376984,0.08534079790115356,728,Lamine Koné
0,1,0.047249965369701385,90,DC,Paris Saint Germain,Strasbourg,1,0,2019-09-14,12758,2019,350003,0.3223379850387573,0,1,0,0.047249965369701385,0.36269211769104004,0.36269211769104004,728,Lamine Koné
0,0,0,90,DC,Strasbourg,Rennes,0,2,2019-08-25,12737,2019,344593,0,0,0,0,0,0.5666698813438416,0.5666698813438416,728,Lamine Koné
0,1,0.09450814127922058,90,DC,Strasbourg,Metz,1,1,2019-08-11,12717,2019,341594,0.015200863592326641,0,1,0,0.09450814127922058,0.2539469599723816,0.2539469599723816,728,Lamine Koné
0,0,0,9,Sub,Nantes,Strasbourg,0,1,2019-05-24,11018,2018,334646,0,0,0,0,0,0.02824009396135807,0.02824009396135807,728,Lamine Koné
0,0,0,90,DC,Strasbourg,Rennes,0,2,2019-05-18,11011,2018,334041,0,0,0,0,0,0,0,728,Lamine Koné
0,0,0,90,DC,Dijon,Strasbourg,2,1,2019-05-11,10996,2018,331912,0,0,0,0,0,0.06321965903043747,0.06321965903043747,728,Lamine Koné
0,0,0,90,DC,Strasbourg,Marseille,1,1,2019-05-03,10985,2018,329902,0,0,0,0,0,0.04472361505031586,0.04472361505031586,728,Lamine Koné
0,0,0,27,Sub,Amiens,Strasbourg,0,0,2019-04-28,10973,2018,329019,0,0,0,0,0,0,0,728,Lamine Koné
0,0,0,90,DC,Nimes,Strasbourg,2,2,2019-03-16,10924,2018,316631,0,0,0,0,0,0.1279221773147583,0.1279221773147583,728,Lamine Koné
0,0,0,90,DC,Strasbourg,Lyon,2,2,2019-03-09,10913,2018,314626,0,0,0,0,0,0.1743840128183365,0.1743840128183365,728,Lamine Koné
0,0,0,90,DC,Nice,Strasbourg,1,0,2019-03-03,10911,2018,313976,0,0,0,0,0,0.07136138528585434,0.07136138528585434,728,Lamine Koné
0,0,0,90,DC,Strasbourg,Lille,1,1,2019-02-22,10900,2018,313576,0,0,0,0,0,0,0,728,Lamine Koné
0,1,0.08486129343509674,90,DC,Saint-Etienne,Strasbourg,2,1,2019-02-13,10869,2018,313198,0,0,0,0,0.08486129343509674,0,0,728,Lamine Koné
0,0,0,90,DC,Strasbourg,Angers,1,2,2019-02-09,10880,2018,312961,0.10706618428230286,0,1,0,0,0.06876963376998901,0.06876963376998901,728,Lamine Koné
