goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,30,Sub,Swansea,Stoke,1,2,2018-05-13,7491,2017,240076,0,0,0,0,0,0.1748557686805725,0.1748557686805725,830,Leon Britton
0,0,0,47,MC,Swansea,Leicester,1,2,2017-10-21,7206,2017,177397,0,0,0,0,0,0.04005322605371475,0.04005322605371475,830,Leon Britton
0,0,0,86,MC,Swansea,Huddersfield,2,0,2017-10-14,7196,2017,178500,0,0,0,0,0,0.3597782850265503,0.3597782850265503,830,Leon Britton
0,0,0,70,MC,West Ham,Swansea,1,0,2017-09-30,7183,2017,178290,0,0,0,0,0,0,0,830,Leon Britton
0,0,0,75,MC,Southampton,Swansea,0,0,2017-08-12,7122,2017,176004,0,0,0,0,0,0.11461592465639114,0.11461592465639114,830,Leon Britton
0,0,0,67,MC,Swansea,West Bromwich Albion,2,1,2017-05-21,3518,2016,125363,0,0,0,0,0,0.19161854684352875,0.19161854684352875,830,Leon Britton
0,0,0,80,MC,Sunderland,Swansea,0,2,2017-05-13,3506,2016,133784,0,0,0,0,0,0.06042604520916939,0.06042604520916939,830,Leon Britton
0,0,0,74,MC,Swansea,Everton,1,0,2017-05-06,3498,2016,135122,0,0,0,0,0,0.0807875320315361,0.0807875320315361,830,Leon Britton
0,0,0,68,MC,Manchester United,Swansea,1,1,2017-04-30,3482,2016,134420,0,0,0,0,0,0.03815702348947525,0.03815702348947525,830,Leon Britton
0,0,0,87,MC,Swansea,Stoke,2,0,2017-04-22,3478,2016,134300,0.046386852860450745,0,1,0,0,0.13387729227542877,0.13387729227542877,830,Leon Britton
0,0,0,68,DMC,Swansea,Bournemouth,0,3,2016-12-31,3161,2016,130880,0,0,0,0,0,0.07600058615207672,0.07600058615207672,830,Leon Britton
0,0,0,90,MC,Swansea,West Ham,1,4,2016-12-26,3146,2016,129784,0,0,0,0,0,0.597313642501831,0.597313642501831,830,Leon Britton
0,0,0,74,DMC,Middlesbrough,Swansea,3,0,2016-12-17,3136,2016,131921,0,0,0,0,0,0.04625752940773964,0.04625752940773964,830,Leon Britton
0,0,0,73,DMC,West Bromwich Albion,Swansea,3,1,2016-12-15,3131,2016,131142,0,0,0,0,0,0,0,830,Leon Britton
0,0,0,90,DMC,Swansea,Sunderland,3,0,2016-12-10,3117,2016,130357,0,0,0,0,0,0.5910975337028503,0.5910975337028503,830,Leon Britton
0,0,0,71,MC,Swansea,Manchester United,1,3,2016-11-06,2695,2016,128157,0,0,0,0,0,0.043913595378398895,0.043913595378398895,830,Leon Britton
0,0,0,90,DMC,Swansea,Watford,0,0,2016-10-22,543,2016,127410,0.015857521444559097,0,1,0,0,0.20380257070064545,0.18794505298137665,830,Leon Britton
0,0,0,62,MC,Arsenal,Swansea,3,2,2016-10-15,532,2016,127560,0,0,0,0,0,0.02696765959262848,0.02696765959262848,830,Leon Britton
0,0,0,65,MC,Swansea,Liverpool,1,2,2016-10-01,522,2016,127327,0,0,0,0,0,0.3412610590457916,0.3412610590457916,830,Leon Britton
0,0,0,81,DMC,Swansea,Manchester City,1,3,2016-09-24,515,2016,126750,0,0,0,0,0,0.065376877784729,0.065376877784729,830,Leon Britton
0,0,0,61,MC,Burnley,Swansea,0,1,2016-08-13,464,2016,124942,0,0,0,0,0,0.12643282115459442,0.12643282115459442,830,Leon Britton
0,0,0,90,MC,Swansea,Manchester City,1,1,2016-05-15,457,2015,57835,0,0,0,0,0,0,0,830,Leon Britton
0,0,0,1,Sub,West Ham,Swansea,1,4,2016-05-07,439,2015,62997,0,0,0,0,0,0,0,830,Leon Britton
0,0,0,90,DMC,Swansea,Liverpool,3,1,2016-05-01,433,2015,63469,0,0,0,0,0,0.37161949276924133,0.37161949276924133,830,Leon Britton
0,0,0,90,DMC,Leicester,Swansea,4,0,2016-04-24,425,2015,63345,0,0,0,0,0,0.026425331830978394,0.026425331830978394,830,Leon Britton
0,1,0.01862858608365059,63,MC,Stoke,Swansea,2,2,2016-04-02,388,2015,66271,0,0,0,0,0.01862858608365059,0.0683944970369339,0.0683944970369339,830,Leon Britton
0,1,0.011695506051182747,43,Sub,Swansea,Aston Villa,1,0,2016-03-19,379,2015,66759,0,0,0,0,0.011695506051182747,0,0,830,Leon Britton
0,0,0,58,DMC,Swansea,Norwich,1,0,2016-03-05,361,2015,66392,0,0,0,0,0,0.07205980271100998,0.07205980271100998,830,Leon Britton
0,0,0,77,MC,Tottenham,Swansea,2,1,2016-02-28,347,2015,66243,0.02494390681385994,0,1,0,0,0,0,830,Leon Britton
0,1,0.01255704928189516,74,DMC,Swansea,Southampton,0,1,2016-02-13,332,2015,62095,0,0,0,0,0.01255704928189516,0.03333628177642822,0.020779231563210487,830,Leon Britton
0,0,0,90,MC,Swansea,Crystal Palace,1,1,2016-02-06,325,2015,59483,0.021976862102746964,0,1,0,0,0.1065029501914978,0.08452608436346054,830,Leon Britton
0,0,0,90,MC,West Bromwich Albion,Swansea,1,1,2016-02-03,318,2015,61146,0,0,0,0,0,0.20237091183662415,0.20237091183662415,830,Leon Britton
