goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,2,0.41309645771980286,22,Sub,Wolfsburg,Bayern Munich,2,2,2022-05-14,17820,2021,535249,0.04586408659815788,0,1,0,0.41309645771980286,0.6383315324783325,0.17937098443508148,337,Leroy Sané
0,1,0.02989625744521618,43,Sub,Mainz 05,Bayern Munich,3,1,2022-04-30,17797,2021,530346,0,0,0,0,0.02989625744521618,0,0,337,Leroy Sané
0,0,0,7,Sub,Bayern Munich,Borussia Dortmund,3,1,2022-04-23,17794,2021,528858,0,0,0,0,0,0.0712670162320137,0.0712670162320137,337,Leroy Sané
0,1,0.026271957904100418,20,Sub,Arminia Bielefeld,Bayern Munich,0,3,2022-04-17,17777,2021,527055,0,0,0,0,0.026271957904100418,0.1799435317516327,0.15367157757282257,337,Leroy Sané
0,1,0.01326367724686861,66,AMR,Bayern Munich,Augsburg,1,0,2022-04-09,17776,2021,524456,0,0,0,0,0.01326367724686861,0.11895447969436646,0.10569079965353012,337,Leroy Sané
0,2,0.10045971721410751,90,AMR,Freiburg,Bayern Munich,1,4,2022-04-02,17762,2021,522561,0.018954148516058922,0,1,0,0.10045971721410751,0.9771130084991455,0.8576991558074951,337,Leroy Sané
0,3,0.15430310368537903,76,MR,Bayern Munich,Union Berlin,4,0,2022-03-19,17758,2021,521389,0.07002197951078415,0,1,0,0.15430310368537903,0.8331624269485474,0.6088373064994812,337,Leroy Sané
0,4,0.4580642580986023,90,AMC,Hoffenheim,Bayern Munich,1,1,2022-03-12,17743,2021,519289,0.5948964357376099,0,2,0,0.4580642580986023,0.8685436248779297,0.45113494992256165,337,Leroy Sané
0,0,0,28,Sub,Bayern Munich,Bayer Leverkusen,1,1,2022-03-05,17740,2021,517414,0,0,0,0,0,0.5904415845870972,0.5904415845870972,337,Leroy Sané
1,1,0.3772408366203308,22,Sub,Eintracht Frankfurt,Bayern Munich,0,1,2022-02-26,17731,2021,516217,0,0,0,1,0.3772408366203308,0.5369574427604675,0.15971657633781433,337,Leroy Sané
0,3,0.1367712765932083,90,AML,Bayern Munich,Greuther Fuerth,4,1,2022-02-20,17722,2021,514872,0.4939536452293396,0,4,0,0.1367712765932083,0.29892435669898987,0,337,Leroy Sané
0,3,0.127906933426857,90,AMC,Bochum,Bayern Munich,4,2,2022-02-12,17706,2021,512638,0.3237653076648712,0,1,0,0.127906933426857,0.7004641890525818,0.3042280375957489,337,Leroy Sané
0,7,0.44986411929130554,90,AMC,Bayern Munich,RasenBallsport Leipzig,3,2,2022-02-05,17704,2021,511279,0.15306204557418823,0,1,0,0.44986411929130554,1.1226445436477661,0.6041386723518372,337,Leroy Sané
1,6,0.5697675943374634,90,AMC,Hertha Berlin,Bayern Munich,1,4,2022-01-23,17689,2021,510596,0.07334133237600327,0,3,1,0.5697675943374634,1.6004160642623901,0.9973790645599365,337,Leroy Sané
0,0,0,27,Sub,FC Cologne,Bayern Munich,0,4,2022-01-15,17678,2021,507989,1.1622754335403442,2,2,0,0,1.2191483974456787,0.6802799701690674,337,Leroy Sané
1,5,0.19720928370952606,90,AML,Bayern Munich,Wolfsburg,4,0,2021-12-17,17668,2021,503425,0.02910180576145649,0,1,1,0.19720928370952606,1.269243597984314,1.0429325103759766,337,Leroy Sané
0,5,0.7722726464271545,64,Sub,VfB Stuttgart,Bayern Munich,0,5,2021-12-14,17654,2021,502940,0.1290796846151352,1,3,0,0.7722726464271545,1.896680235862732,0.995327889919281,337,Leroy Sané
0,2,0.08032337576150894,68,AML,Bayern Munich,Mainz 05,2,1,2021-12-11,17650,2021,501529,0.024308176711201668,0,1,0,0.08032337576150894,0.3652242422103882,0.3488730490207672,337,Leroy Sané
0,3,0.20501449704170227,66,AML,Borussia Dortmund,Bayern Munich,2,3,2021-12-04,17641,2021,500140,0.15939578413963318,0,2,0,0.20501449704170227,0.3300885260105133,0.10677924752235413,337,Leroy Sané
1,6,0.8826489448547363,71,AML,Bayern Munich,Arminia Bielefeld,1,0,2021-11-27,17632,2021,497638,0.2898411154747009,0,3,1,0.8826489448547363,1.6722514629364014,0.7015818953514099,337,Leroy Sané
0,0,0,70,AMC,Augsburg,Bayern Munich,2,1,2021-11-19,17616,2021,495271,0.11358698457479477,0,2,0,0,0.17257630825042725,0.05898931995034218,337,Leroy Sané
0,4,0.529556393623352,85,AML,Bayern Munich,Freiburg,2,1,2021-11-06,17614,2021,493881,0.8386508822441101,1,2,0,0.529556393623352,1.4516392946243286,0.1487375646829605,337,Leroy Sané
1,5,1.9881292581558228,62,AML,Union Berlin,Bayern Munich,2,5,2021-10-30,17602,2021,492113,0.041957005858421326,0,1,1,1.9881292581558228,1.9881292581558228,0,337,Leroy Sané
0,0,0,11,Sub,Bayern Munich,Hoffenheim,4,0,2021-10-23,17596,2021,489797,0,0,0,0,0,0,0,337,Leroy Sané
0,8,0.7650811076164246,90,AML,Bayer Leverkusen,Bayern Munich,1,5,2021-10-17,17585,2021,488936,0.2733577489852905,0,4,0,0.7650811076164246,1.2182674407958984,0.4865086078643799,337,Leroy Sané
0,4,0.19977660477161407,82,AML,Bayern Munich,Eintracht Frankfurt,1,2,2021-10-03,17578,2021,487387,0.6375978589057922,0,4,0,0.19977660477161407,0.7646064758300781,0,337,Leroy Sané
0,1,0.05965946242213249,62,AMC,Greuther Fuerth,Bayern Munich,1,3,2021-09-24,17561,2021,484330,0.16423261165618896,1,2,0,0.05965946242213249,0.40894702076911926,0.1850549578666687,337,Leroy Sané
1,5,1.1632447242736816,62,AML,Bayern Munich,Bochum,7,0,2021-09-18,17556,2021,481915,0.4364979565143585,1,2,1,1.1632447242736816,1.9743459224700928,0.9092777967453003,337,Leroy Sané
1,2,0.9831665754318237,90,AML,RasenBallsport Leipzig,Bayern Munich,1,4,2021-09-11,17548,2021,480606,0.311053067445755,0,4,1,0.9831665754318237,1.7528513669967651,0.5094093680381775,337,Leroy Sané
0,0,0,25,Sub,Bayern Munich,Hertha Berlin,5,0,2021-08-28,17540,2021,479160,0.5984623432159424,1,1,0,0,0.6913531422615051,0.6913531422615051,337,Leroy Sané
0,2,0.07628949731588364,48,AMR,Bayern Munich,FC Cologne,3,2,2021-08-22,17533,2021,477862,0.04765215143561363,0,1,0,0.07628949731588364,0.015966687351465225,0.015966687351465225,337,Leroy Sané
0,3,0.1113039031624794,76,AMR,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13,17516,2021,475164,0.3319125771522522,0,1,0,0.1113039031624794,1.2710899114608765,0.8278734683990479,337,Leroy Sané
0,2,0.137803852558136,29,Sub,Bayern Munich,Augsburg,5,2,2021-05-22,15437,2020,472830,0.5809236764907837,0,1,0,0.137803852558136,0.7187275290489197,0,337,Leroy Sané
1,4,0.7422065734863281,74,AMR,Freiburg,Bayern Munich,2,2,2021-05-15,15431,2020,470842,0,0,0,1,0.7422065734863281,0.7271266579627991,0.011346650309860706,337,Leroy Sané
