goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
1,2,0.3053479492664337,81,FW,Lille,Lyon,1,0,2020-03-08,12982,2019,397556,0.04772021993994713,0,2,1,0.3053479492664337,0.5802449584007263,0.5305495858192444,690,Loïc Remy
0,3,0.6930574774742126,88,FW,Nantes,Lille,0,1,2020-03-01,12978,2019,396266,0,0,0,0,0.6930574774742126,1.1930440664291382,0.49998658895492554,690,Loïc Remy
2,4,0.9490000605583191,81,FW,Lille,Toulouse,3,0,2020-02-22,12962,2019,394897,0.181618332862854,0,3,2,0.9490000605583191,1.1306183338165283,0,690,Loïc Remy
0,3,0.45734769105911255,75,FW,Lille,Marseille,1,2,2020-02-16,12956,2019,394399,0.06053093075752258,0,1,0,0.45734769105911255,0.6533166766166687,0.13543803989887238,690,Loïc Remy
0,2,0.08961330354213715,69,FW,Angers,Lille,0,2,2020-02-07,12943,2019,392382,0,0,0,0,0.08961330354213715,0.062184713780879974,0,690,Loïc Remy
1,2,0.09843692928552628,69,FW,Lille,Rennes,1,0,2020-02-04,12935,2019,392037,0,0,0,1,0.09843692928552628,0.517057478427887,0.4186205565929413,690,Loïc Remy
0,0,0,77,FW,Strasbourg,Lille,1,2,2020-02-01,12925,2019,391440,0.05519728735089302,0,1,0,0,0.05519728735089302,0,690,Loïc Remy
0,0,0,12,Sub,Lille,Paris Saint Germain,0,2,2020-01-26,12917,2019,390929,0.07369380444288254,0,1,0,0,0.05812352895736694,0.05812352895736694,690,Loïc Remy
0,0,0,27,Sub,Dijon,Lille,1,0,2020-01-12,12906,2019,388884,0,0,0,0,0,0.047967202961444855,0.047967202961444855,690,Loïc Remy
0,0,0,20,Sub,Monaco,Lille,5,1,2019-12-21,12893,2019,371919,0,0,0,0,0,0,0,690,Loïc Remy
0,1,0.31951916217803955,20,Sub,Paris Saint Germain,Lille,2,0,2019-11-22,12840,2019,364319,0,0,0,0,0.31951916217803955,0.31951916217803955,0,690,Loïc Remy
0,1,0.08071263134479523,28,Sub,Lille,Metz,0,0,2019-11-09,12834,2019,363421,0,0,0,0,0.08071263134479523,0.15862096846103668,0.07790834456682205,690,Loïc Remy
0,0,0,67,FW,Marseille,Lille,2,1,2019-11-02,12821,2019,361715,0,0,0,0,0,0,0,690,Loïc Remy
1,2,0.3134264647960663,32,Sub,Lille,Bordeaux,3,0,2019-10-26,12818,2019,359515,0,0,0,1,0.3134264647960663,0.3134264647960663,0,690,Loïc Remy
