goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,7,Sub,Burnley,Liverpool,2,0,2016-08-20,473,2016,133972,0,0,0,0,0,0,0,1664,Lukas Jutkiewicz
0,0,0,2,Sub,Burnley,Swansea,0,1,2016-08-13,464,2016,124934,0,0,0,0,0,0,0,1664,Lukas Jutkiewicz
0,3,0.18902646005153656,72,FW,Burnley,Leicester,0,1,2015-04-25,4473,2014,24970,0.08819477260112762,0,1,0,0.18902646005153656,0.2772212326526642,0,1664,Lukas Jutkiewicz
0,0,0,29,Sub,Everton,Burnley,1,0,2015-04-18,4461,2014,23446,0,0,0,0,0,0,0,1664,Lukas Jutkiewicz
0,1,0.04825073108077049,12,Sub,Burnley,Tottenham,0,0,2015-04-05,4447,2014,23982,0.4447838366031647,0,1,0,0.04825073108077049,0.4930345416069031,0,1664,Lukas Jutkiewicz
0,1,0.020645979791879654,11,Sub,Southampton,Burnley,2,0,2015-03-21,4506,2014,25477,0,0,0,0,0.020645979791879654,0.04503786563873291,0.024391883984208107,1664,Lukas Jutkiewicz
0,0,0,1,Sub,Liverpool,Burnley,2,0,2015-03-04,4491,2014,23830,0,0,0,0,0,0,0,1664,Lukas Jutkiewicz
0,0,0,1,Sub,Burnley,Swansea,0,1,2015-02-28,4549,2014,26147,0,0,0,0,0,0,0,1664,Lukas Jutkiewicz
0,0,0,1,Sub,Manchester United,Burnley,3,1,2015-02-11,4531,2014,27122,0,0,0,0,0,0,0,1664,Lukas Jutkiewicz
0,0,0,27,Sub,Sunderland,Burnley,2,0,2015-01-31,4585,2014,26845,0,0,0,0,0,0.08846571296453476,0.08846571296453476,1664,Lukas Jutkiewicz
0,0,0,1,Sub,Burnley,Liverpool,0,1,2014-12-26,4630,2014,22692,0,0,0,0,0,0,0,1664,Lukas Jutkiewicz
0,0,0,1,Sub,Tottenham,Burnley,2,1,2014-12-20,4621,2014,22403,0,0,0,0,0,0,0,1664,Lukas Jutkiewicz
0,0,0,2,Sub,Queens Park Rangers,Burnley,2,0,2014-12-06,4600,2014,23034,0,0,0,0,0,0,0,1664,Lukas Jutkiewicz
0,0,0,4,Sub,Burnley,Newcastle United,1,1,2014-12-02,4589,2014,21761,0,0,0,0,0,0,0,1664,Lukas Jutkiewicz
0,1,0.40025386214256287,24,Sub,Burnley,Aston Villa,1,1,2014-11-29,4685,2014,20074,0,0,0,0,0.40025386214256287,0.40025386214256287,0,1664,Lukas Jutkiewicz
0,1,0.050339989364147186,26,Sub,Stoke,Burnley,1,2,2014-11-22,4669,2014,19951,0,0,0,0,0.050339989364147186,0.050339989364147186,0,1664,Lukas Jutkiewicz
0,1,0.08886954933404922,14,Sub,Burnley,Hull,1,0,2014-11-08,4660,2014,19109,0,0,0,0,0.08886954933404922,0.08886954933404922,0,1664,Lukas Jutkiewicz
0,0,0,20,Sub,Arsenal,Burnley,3,0,2014-11-01,4652,2014,19483,0.011164931580424309,0,1,0,0,0.011164931580424309,0,1664,Lukas Jutkiewicz
0,5,0.543678343296051,67,AMC,Burnley,Everton,1,3,2014-10-26,4716,2014,19961,0.5925518274307251,1,1,0,0.543678343296051,1.1362301111221313,0,1664,Lukas Jutkiewicz
0,2,0.23792648315429688,66,FW,Burnley,West Ham,1,3,2014-10-18,4701,2014,18833,0,0,0,0,0.23792648315429688,0.32083022594451904,0.08290374279022217,1664,Lukas Jutkiewicz
0,4,0.10785771906375885,90,FW,Leicester,Burnley,2,2,2014-10-04,4690,2014,19730,0.5874791741371155,1,1,0,0.10785771906375885,0.6837958097457886,0,1664,Lukas Jutkiewicz
0,1,0.14684787392616272,70,FW,West Bromwich Albion,Burnley,4,0,2014-09-28,4747,2014,18681,0,0,0,0,0.14684787392616272,0.14684787392616272,0,1664,Lukas Jutkiewicz
0,6,0.38904380798339844,90,FW,Burnley,Sunderland,0,0,2014-09-20,4732,2014,18169,0.04937751591205597,0,3,0,0.38904380798339844,0.493160218000412,0.054738886654376984,1664,Lukas Jutkiewicz
0,3,0.11786846816539764,90,FW,Crystal Palace,Burnley,0,0,2014-09-13,4721,2014,17934,0.10115718096494675,0,1,0,0.11786846816539764,0.219025656580925,0,1664,Lukas Jutkiewicz
0,2,0.07463381439447403,90,FW,Burnley,Manchester United,0,0,2014-08-30,4769,2014,17616,0.128475621342659,0,1,0,0.07463381439447403,0.17702831327915192,0,1664,Lukas Jutkiewicz
0,2,0.21836324036121368,83,FW,Swansea,Burnley,1,0,2014-08-23,4763,2014,17546,0.066534124314785,0,1,0,0.21836324036121368,0.2848973572254181,0,1664,Lukas Jutkiewicz
0,3,0.07928013801574707,72,FW,Burnley,Chelsea,1,3,2014-08-18,4758,2014,17062,0.08986759185791016,0,2,0,0.07928013801574707,0.32226112484931946,0.15311339497566223,1664,Lukas Jutkiewicz
