goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.024386350065469742,78,FW,Angers,Bordeaux,4,1,2022-05-08,18180,2021,533358,0,0,0,0,0.024386350065469742,0.14992494881153107,0.12553860247135162,1126,M&#039;Baye Niang
0,1,0.058920685201883316,72,FW,Bordeaux,Nice,0,1,2022-05-01,18170,2021,531297,0,0,0,0,0.058920685201883316,0.017549648880958557,0.017549648880958557,1126,M&#039;Baye Niang
1,2,0.619074285030365,56,FW,Nantes,Bordeaux,5,3,2022-04-24,18156,2021,529434,0.49849122762680054,1,2,1,0.619074285030365,1.1175655126571655,0,1126,M&#039;Baye Niang
0,1,0.11688552796840668,90,FW,Bordeaux,Saint-Etienne,2,2,2022-04-20,18143,2021,527776,0.021017661318182945,0,1,0,0.11688552796840668,0.23700107634067535,0.12011554837226868,1126,M&#039;Baye Niang
0,0,0,65,FW,Lyon,Bordeaux,6,1,2022-04-17,18133,2021,527176,0,0,0,0,0,0,0,1126,M&#039;Baye Niang
1,4,0.7662987112998962,86,FW,Bordeaux,Metz,3,1,2022-04-10,18123,2021,525068,0.015217777341604233,0,1,1,0.7662987112998962,0.7815164923667908,0,1126,M&#039;Baye Niang
0,1,0.06337591260671616,22,Sub,Bordeaux,Montpellier,0,2,2022-03-20,18103,2021,521913,0.09493204206228256,0,2,0,0.06337591260671616,0.09493204206228256,0,1126,M&#039;Baye Niang
0,2,0.04133952409029007,7,Sub,Paris Saint Germain,Bordeaux,3,0,2022-03-13,18099,2021,519799,0,0,0,0,0.04133952409029007,0.04133952409029007,0,1126,M&#039;Baye Niang
0,0,0,42,Sub,Bordeaux,Troyes,0,2,2022-03-06,18085,2021,518161,0,0,0,0,0,0.06259825825691223,0.06259825825691223,1126,M&#039;Baye Niang
0,0,0,7,Sub,Clermont Foot,Bordeaux,1,1,2022-02-27,18080,2021,516600,0,0,0,0,0,0,0,1126,M&#039;Baye Niang
0,1,0.017749976366758347,2,Sub,Lens,Bordeaux,3,2,2022-02-13,18059,2021,513481,0,0,0,0,0.017749976366758347,0.017749976366758347,0,1126,M&#039;Baye Niang
0,0,0,24,Sub,Reims,Bordeaux,5,0,2022-02-06,18049,2021,511575,0,0,0,0,0,0.04855474457144737,0.04855474457144737,1126,M&#039;Baye Niang
0,0,0,59,FW,Rennes,Bordeaux,6,0,2022-01-16,18028,2021,508403,0,0,0,0,0,0,0,1126,M&#039;Baye Niang
0,0,0,10,Sub,Bordeaux,Marseille,0,1,2022-01-07,18016,2021,506499,0,0,0,0,0,0,0,1126,M&#039;Baye Niang
0,1,0.043158650398254395,10,Sub,Bordeaux,Lille,2,3,2021-12-22,18002,2021,504991,0,0,0,0,0.043158650398254395,0,0,1126,M&#039;Baye Niang
0,2,0.2868005633354187,12,Sub,Troyes,Bordeaux,1,2,2021-12-12,17997,2021,502365,0,0,0,0,0.2868005633354187,0.2868005633354187,0,1126,M&#039;Baye Niang
0,2,0.13232001662254333,11,Sub,Bordeaux,Lyon,2,2,2021-12-05,17990,2021,500995,0.3799908459186554,0,1,0,0.13232001662254333,0.13232001662254333,0,1126,M&#039;Baye Niang
0,2,0.09272410720586777,18,Sub,Strasbourg,Bordeaux,5,2,2021-12-01,17980,2021,498970,0,0,0,0,0.09272410720586777,0.12948893010616302,0.03676481544971466,1126,M&#039;Baye Niang
0,2,0.10242845118045807,22,Sub,Bordeaux,Brest,1,2,2021-11-28,17964,2021,498028,0.3312079906463623,0,1,0,0.10242845118045807,0.4336364269256592,0,1126,M&#039;Baye Niang
