goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.02587953768670559,90,FWL,Swansea,Stoke,1,2,2018-05-13,7491,2017,240087,0,0,0,0,0.02587953768670559,0.0928204134106636,0.06694087386131287,868,Mame Biram Diouf
0,2,0.41937434673309326,90,FW,Stoke,Crystal Palace,1,2,2018-05-05,7481,2017,237186,0,0,0,0,0.41937434673309326,0.41937434673309326,0,868,Mame Biram Diouf
0,2,0.1495228409767151,90,FW,Liverpool,Stoke,0,0,2018-04-28,7472,2017,235538,0.5643970966339111,0,1,0,0.1495228409767151,0.7139199376106262,0,868,Mame Biram Diouf
0,1,0.04895072430372238,76,FW,Stoke,Burnley,1,1,2018-04-22,7466,2017,234772,0.06975540518760681,1,2,0,0.04895072430372238,0.06975540518760681,0,868,Mame Biram Diouf
0,4,0.3092736601829529,88,FW,West Ham,Stoke,1,1,2018-04-16,7458,2017,233202,0.07459282130002975,0,2,0,0.3092736601829529,0.4140985310077667,0.06979627907276154,868,Mame Biram Diouf
1,3,0.9507546424865723,90,FW,Stoke,Tottenham,1,2,2018-04-07,7446,2017,230440,0,0,0,1,0.9507546424865723,0.9507546424865723,0,868,Mame Biram Diouf
0,1,0.05376891791820526,62,FW,Arsenal,Stoke,3,0,2018-04-01,7429,2017,226995,0.11563340574502945,0,2,0,0.05376891791820526,0.11563340574502945,0,868,Mame Biram Diouf
0,0,0,22,FW,Southampton,Stoke,0,0,2018-03-03,7405,2017,220963,0,0,0,0,0,0,0,868,Mame Biram Diouf
0,1,0.021273639053106308,66,FW,Leicester,Stoke,1,1,2018-02-24,7396,2017,218982,0,0,0,0,0.021273639053106308,0.021273639053106308,0,868,Mame Biram Diouf
0,2,0.15744198858737946,90,FWL,Stoke,Brighton,1,1,2018-02-10,7385,2017,215224,0,0,0,0,0.15744198858737946,0.05120158568024635,0.05120158568024635,868,Mame Biram Diouf
0,0,0,5,Sub,Bournemouth,Stoke,2,1,2018-02-03,7370,2017,214831,0,0,0,0,0,0,0,868,Mame Biram Diouf
0,1,0.09360115975141525,87,FW,Stoke,Watford,0,0,2018-01-31,7368,2017,215552,0,0,0,0,0.09360115975141525,0.19786059856414795,0.1042594462633133,868,Mame Biram Diouf
1,3,0.20696300268173218,78,FW,Stoke,Huddersfield,2,0,2018-01-20,7356,2017,209261,0.07173218578100204,0,1,1,0.20696300268173218,0.27869516611099243,0,868,Mame Biram Diouf
0,2,0.3559302091598511,19,Sub,Manchester United,Stoke,3,0,2018-01-15,7344,2017,208450,0,0,0,0,0.3559302091598511,0.3559302091598511,0,868,Mame Biram Diouf
0,4,1.1735992431640625,32,Sub,Stoke,Newcastle United,0,1,2018-01-01,7337,2017,206640,0,0,0,0,1.1735992431640625,0.6006485819816589,0,868,Mame Biram Diouf
0,0,0,90,AMR,Chelsea,Stoke,5,0,2017-12-30,7320,2017,206236,0,0,0,0,0,0,0,868,Mame Biram Diouf
0,0,0,22,Sub,Huddersfield,Stoke,1,1,2017-12-26,7312,2017,205661,0,0,0,0,0,0,0,868,Mame Biram Diouf
0,1,0.1500180959701538,21,Sub,Stoke,West Bromwich Albion,3,1,2017-12-23,7306,2017,205454,0,0,0,0,0.1500180959701538,0.5745512247085571,0.5745512247085571,868,Mame Biram Diouf
0,1,0.045538488775491714,65,FW,Stoke,West Ham,0,3,2017-12-16,7297,2017,202705,0.043037716299295425,0,1,0,0.045538488775491714,0.07240232080221176,0.029364604502916336,868,Mame Biram Diouf
0,3,0.14599643647670746,90,FW,Burnley,Stoke,1,0,2017-12-12,7279,2017,202636,0.102878637611866,0,2,0,0.14599643647670746,0.24887506663799286,0,868,Mame Biram Diouf
0,0,0,90,FW,Tottenham,Stoke,5,1,2017-12-09,7270,2017,199009,0.29022520780563354,0,1,0,0,0.29022520780563354,0,868,Mame Biram Diouf
