goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,MC,Alaves,Girona,2,1,2019-05-18,10327,2018,333750,0,0,0,0,0,0.45685604214668274,0.45685604214668274,860,Marc Muniesa
0,1,0.07553611695766449,90,DL,Girona,Levante,1,2,2019-05-12,10322,2018,332707,0.07300751656293869,0,1,0,0.07553611695766449,0.17191100120544434,0.09890349209308624,860,Marc Muniesa
0,1,0.07143125683069229,90,DL,Girona,Sevilla,1,0,2019-04-28,10303,2018,328689,0.04755651578307152,0,2,0,0.07143125683069229,0.11898777633905411,0.07143125683069229,860,Marc Muniesa
0,0,0,78,DC,Real Valladolid,Girona,1,0,2019-04-23,10288,2018,327294,0,0,0,0,0,0.024570370092988014,0.024570370092988014,860,Marc Muniesa
0,0,0,90,DL,Girona,Espanyol,1,2,2019-04-06,10259,2018,322383,0,0,0,0,0,0.1251046359539032,0.1251046359539032,860,Marc Muniesa
0,1,0.11086170375347137,90,DL,Atletico Madrid,Girona,2,0,2019-04-02,10255,2018,321537,0.05663852393627167,0,1,0,0.11086170375347137,0.2378000169992447,0.18116149306297302,860,Marc Muniesa
0,0,0,64,DMC,Girona,Athletic Club,1,2,2019-03-29,10243,2018,317508,0,0,0,0,0,0,0,860,Marc Muniesa
0,1,0.008646016009151936,90,DL,Leganes,Girona,0,2,2019-03-16,10229,2018,316742,0,0,0,0,0.008646016009151936,0.44148749113082886,0.44148749113082886,860,Marc Muniesa
0,0,0,16,Sub,Real Betis,Girona,3,2,2019-01-20,10153,2018,309760,0,0,0,0,0,0,0,860,Marc Muniesa
0,1,0.01989058218896389,57,Sub,Espanyol,Girona,1,3,2018-11-25,10083,2018,286823,0,0,0,0,0.01989058218896389,0.01989058218896389,0,860,Marc Muniesa
0,0,0,90,DC,Girona,Leganes,0,0,2018-11-10,10072,2018,286439,0,0,0,0,0,0.03578423336148262,0.03578423336148262,860,Marc Muniesa
0,0,0,90,DC,Valencia,Girona,0,1,2018-11-03,10058,2018,286118,0,0,0,0,0,0,0,860,Marc Muniesa
0,0,0,90,DC,Girona,Eibar,2,3,2018-10-06,10028,2018,285215,0,0,0,0,0,0.6125932335853577,0.6125932335853577,860,Marc Muniesa
0,0,0,90,DL,SD Huesca,Girona,1,1,2018-09-30,10018,2018,254044,0,0,0,0,0,0.027908023446798325,0.027908023446798325,860,Marc Muniesa
0,1,0.01707429438829422,90,DL,Barcelona,Girona,2,2,2018-09-23,9997,2018,251486,0,0,0,0,0.01707429438829422,0.54469895362854,0.5276246070861816,860,Marc Muniesa
0,0,0,6,Sub,Girona,Celta Vigo,3,2,2018-09-17,9996,2018,249895,0,0,0,0,0,0,0,860,Marc Muniesa
0,0,0,11,Sub,Villarreal,Girona,0,1,2018-08-31,9979,2018,246510,0,0,0,0,0,0,0,860,Marc Muniesa
0,0,0,90,DL,Girona,Real Madrid,1,4,2018-08-26,9974,2018,246154,0,0,0,0,0,0.20941948890686035,0.20941948890686035,860,Marc Muniesa
0,1,0.014485436491668224,90,DL,Girona,Real Valladolid,0,0,2018-08-17,9957,2018,242592,0.1652894914150238,0,2,0,0.014485436491668224,0.29372483491897583,0.12843534350395203,860,Marc Muniesa
0,0,0,80,DC,Girona,Eibar,1,4,2018-05-05,8229,2017,237152,0,0,0,0,0,0.014153826050460339,0.014153826050460339,860,Marc Muniesa
0,0,0,90,DC,Alaves,Girona,1,2,2018-04-19,8204,2017,233806,0,0,0,0,0,0.32461050152778625,0.32461050152778625,860,Marc Muniesa
0,0,0,90,DC,Malaga,Girona,0,0,2018-01-27,8085,2017,210678,0,0,0,0,0,0,0,860,Marc Muniesa
0,0,0,90,DC,Girona,Alaves,2,3,2017-12-04,8011,2017,190866,0.04716800898313522,1,1,0,0,0.10699991881847382,0.05983190983533859,860,Marc Muniesa
0,0,0,90,DC,Real Betis,Girona,2,2,2017-11-25,8001,2017,190355,0,0,0,0,0,0,0,860,Marc Muniesa
0,0,0,90,DC,Girona,Real Sociedad,1,1,2017-11-17,7992,2017,191501,0,0,0,0,0,0.06649136543273926,0.06649136543273926,860,Marc Muniesa
0,0,0,90,DC,Levante,Girona,1,2,2017-11-05,7982,2017,191182,0,0,0,0,0,0.03733479604125023,0.03733479604125023,860,Marc Muniesa
0,0,0,90,DC,Girona,Real Madrid,2,1,2017-10-29,7973,2017,190675,0,0,0,0,0,0.10616876184940338,0.10616876184940338,860,Marc Muniesa
0,0,0,60,DC,Leganes,Girona,0,0,2017-09-20,7925,2017,189131,0,0,0,0,0,0.4365692436695099,0.4365692436695099,860,Marc Muniesa
0,0,0,90,DC,Girona,Sevilla,0,1,2017-09-17,7916,2017,188868,0,0,0,0,0,0.014911257661879063,0.014911257661879063,860,Marc Muniesa
0,0,0,90,DC,Athletic Club,Girona,2,0,2017-09-10,7906,2017,188602,0,0,0,0,0,0.0600598119199276,0.0600598119199276,860,Marc Muniesa
