goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,DC,Leicester,Everton,0,2,2016-12-26,3148,2016,129365,0,0,0,0,0,0,0,760,Marcin Wasilewski
0,0,0,90,DC,Chelsea,Leicester,1,1,2016-05-15,452,2015,57677,0,0,0,0,0,0.10783764719963074,0.10783764719963074,760,Marcin Wasilewski
0,0,0,90,DC,Leicester,Everton,3,1,2016-05-07,443,2015,62313,0,0,0,0,0,0,0,760,Marcin Wasilewski
0,0,0,30,Sub,Arsenal,Leicester,2,1,2016-02-14,338,2015,60051,0,0,0,0,0,0.018804142251610756,0.018804142251610756,760,Marcin Wasilewski
0,1,0.028635960072278976,90,DC,Everton,Leicester,2,3,2015-12-19,245,2015,61856,0,0,0,0,0.028635960072278976,0,0,760,Marcin Wasilewski
0,0,0,47,DC,Leicester,Queens Park Rangers,5,1,2015-05-24,4436,2014,25947,0,0,0,0,0,0,0,760,Marcin Wasilewski
0,0,0,90,DC,Sunderland,Leicester,0,0,2015-05-16,4421,2014,23795,0,0,0,0,0,0,0,760,Marcin Wasilewski
0,1,0.04621477797627449,90,DC,Leicester,Southampton,2,0,2015-05-09,4412,2014,24276,0,0,0,0,0.04621477797627449,0.450547993183136,0.450547993183136,760,Marcin Wasilewski
0,0,0,70,DC,Leicester,Newcastle United,3,0,2015-05-02,4399,2014,24110,0,0,0,0,0,0,0,760,Marcin Wasilewski
0,0,0,90,DC,Leicester,Chelsea,1,3,2015-04-29,4479,2014,26249,0,0,0,0,0,0,0,760,Marcin Wasilewski
0,0,0,90,DC,Burnley,Leicester,0,1,2015-04-25,4473,2014,24978,0,0,0,0,0,0,0,760,Marcin Wasilewski
0,0,0,48,DC,Leicester,Swansea,2,0,2015-04-18,4463,2014,23864,0.029530027881264687,0,1,0,0,0.3240283727645874,0.3240283727645874,760,Marcin Wasilewski
0,0,0,42,Sub,West Bromwich Albion,Leicester,2,3,2015-04-11,4456,2014,24630,0.44034937024116516,1,1,0,0,0.060086749494075775,0.060086749494075775,760,Marcin Wasilewski
0,1,0.5702598690986633,39,Sub,Tottenham,Leicester,4,3,2015-03-21,4505,2014,23336,0,0,0,0,0.5702598690986633,0.10656750202178955,0.10656750202178955,760,Marcin Wasilewski
0,0,0,29,Sub,Arsenal,Leicester,2,1,2015-02-10,4525,2014,26902,0,0,0,0,0,0,0,760,Marcin Wasilewski
0,0,0,90,DC,Leicester,Crystal Palace,0,1,2015-02-07,4518,2014,26085,0,0,0,0,0,0.01762719266116619,0.01762719266116619,760,Marcin Wasilewski
1,1,0.2982158362865448,90,DC,Manchester United,Leicester,3,1,2015-01-31,4583,2014,26511,0,0,0,1,0.2982158362865448,0,0,760,Marcin Wasilewski
0,1,0.04267703369259834,90,DC,Leicester,Stoke,0,1,2015-01-17,4573,2014,21591,0,0,0,0,0.04267703369259834,0,0,760,Marcin Wasilewski
0,0,0,90,DC,Leicester,Aston Villa,1,0,2015-01-10,4567,2014,20719,0,0,0,0,0,0,0,760,Marcin Wasilewski
0,1,0.10942413657903671,90,DC,Liverpool,Leicester,2,2,2015-01-01,4559,2014,22450,0.049592629075050354,0,1,0,0.10942413657903671,0.32928845286369324,0.32928845286369324,760,Marcin Wasilewski
0,0,0,90,DC,Hull,Leicester,0,1,2014-12-28,4642,2014,21253,0,0,0,0,0,0,0,760,Marcin Wasilewski
0,2,0.12323932349681854,90,DC,Leicester,Tottenham,1,2,2014-12-26,4637,2014,20555,0,0,0,0,0.12323932349681854,0.486721009016037,0.486721009016037,760,Marcin Wasilewski
0,0,0,90,DC,West Ham,Leicester,2,0,2014-12-20,4620,2014,22506,0,0,0,0,0,0.01048869639635086,0.01048869639635086,760,Marcin Wasilewski
0,0,0,90,DC,Leicester,Manchester City,0,1,2014-12-13,4614,2014,20966,0,0,0,0,0,0,0,760,Marcin Wasilewski
0,0,0,90,DC,Aston Villa,Leicester,2,1,2014-12-07,4607,2014,22725,0,0,0,0,0,0.02967064455151558,0.02967064455151558,760,Marcin Wasilewski
0,2,0.12102870643138885,90,DC,Leicester,Liverpool,1,3,2014-12-02,4590,2014,21864,0,0,0,0,0.12102870643138885,0.10569137334823608,0.10569137334823608,760,Marcin Wasilewski
0,2,0.0724216029047966,90,DC,Queens Park Rangers,Leicester,3,2,2014-11-29,4684,2014,20898,0.030931580811738968,0,1,0,0.0724216029047966,0.1370767205953598,0.033723536878824234,760,Marcin Wasilewski
0,1,0.03828072175383568,90,DC,Leicester,Sunderland,0,0,2014-11-22,4672,2014,19514,0,0,0,0,0.03828072175383568,0.0133458087220788,0.0133458087220788,760,Marcin Wasilewski
0,0,0,90,DC,Southampton,Leicester,2,0,2014-11-08,4663,2014,19639,0.3071492314338684,0,1,0,0,0.3071492314338684,0,760,Marcin Wasilewski
0,0,0,90,DC,Leicester,West Bromwich Albion,0,1,2014-11-01,4651,2014,18688,0.029639657586812973,0,1,0,0,0.047259602695703506,0.017619945108890533,760,Marcin Wasilewski
