goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.015575544908642769,90,DC,Atalanta,Empoli,0,1,2022-05-21,17126,2021,537253,0,0,0,0,0.015575544908642769,0.7833191752433777,0.7833191752433777,1710,Marten de Roon
0,0,0,90,DC,AC Milan,Atalanta,2,0,2022-05-15,17121,2021,536299,0,0,0,0,0,0.09786272048950195,0.09786272048950195,1710,Marten de Roon
0,0,0,90,DC,Spezia,Atalanta,1,3,2022-05-08,17113,2021,533195,0,0,0,0,0,0.48190852999687195,0.48190852999687195,1710,Marten de Roon
0,0,0,90,MC,Atalanta,Salernitana,1,1,2022-05-02,17096,2021,531663,0,0,0,0,0,0.30547192692756653,0.30547192692756653,1710,Marten de Roon
1,2,0.08243288844823837,90,MC,Atalanta,Torino,4,4,2022-04-27,16946,2021,529961,0.100429467856884,0,1,1,0.08243288844823837,0.46521714329719543,0.36478766798973083,1710,Marten de Roon
0,0,0,90,MC,Venezia,Atalanta,1,3,2022-04-23,17095,2021,528447,0,0,0,0,0,1.6732264757156372,1.6732264757156372,1710,Marten de Roon
0,1,0.04081453010439873,90,MC,Atalanta,Verona,1,2,2022-04-18,17076,2021,527436,0,0,0,0,0.04081453010439873,0.5330235362052917,0.4922090172767639,1710,Marten de Roon
1,3,0.494820773601532,90,MC,Atalanta,Napoli,1,3,2022-04-03,17056,2021,523322,0,0,0,1,0.494820773601532,0.6531498432159424,0.21632955968379974,1710,Marten de Roon
0,3,0.10951880365610123,90,MC,Bologna,Atalanta,0,1,2022-03-20,17046,2021,522256,0,0,0,0,0.10951880365610123,0.21838830411434174,0.10886950045824051,1710,Marten de Roon
0,0,0,90,DMC,Roma,Atalanta,1,0,2022-03-05,17033,2021,517744,0,0,0,0,0,0.10298468172550201,0.10298468172550201,1710,Marten de Roon
0,2,0.05791521072387695,90,DMC,Atalanta,Sampdoria,4,0,2022-02-28,17016,2021,517007,0,0,0,0,0.05791521072387695,1.3798643350601196,1.3415765762329102,1710,Marten de Roon
0,0,0,90,MC,Fiorentina,Atalanta,1,0,2022-02-20,17008,2021,514608,0,0,0,0,0,0.046597957611083984,0.046597957611083984,1710,Marten de Roon
0,3,0.6066266298294067,90,MC,Atalanta,Juventus,1,1,2022-02-13,16996,2021,513639,0.04205847159028053,0,1,0,0.6066266298294067,0.6164318323135376,0.583083987236023,1710,Marten de Roon
0,0,0,90,MC,Atalanta,Inter,0,0,2022-01-16,16966,2021,508763,0,0,0,0,0,0.23557567596435547,0.23557567596435547,1710,Marten de Roon
0,0,0,47,MC,Udinese,Atalanta,2,6,2022-01-09,16964,2021,507307,0,0,0,0,0,0.1668591946363449,0.1668591946363449,1710,Marten de Roon
0,0,0,42,Sub,Genoa,Atalanta,0,0,2021-12-21,16937,2021,504472,0,0,0,0,0,0.14254333078861237,0.14254333078861237,1710,Marten de Roon
0,0,0,90,MC,Atalanta,Roma,1,4,2021-12-18,16926,2021,503547,0.04576308652758598,0,2,0,0,0.293804407119751,0.262224406003952,1710,Marten de Roon
0,1,0.037085313349962234,90,MC,Verona,Atalanta,1,2,2021-12-12,16918,2021,502295,0,0,0,0,0.037085313349962234,0.052645135670900345,0.015559823252260685,1710,Marten de Roon
0,0,0,90,MC,Napoli,Atalanta,2,3,2021-12-04,16911,2021,500227,0,0,0,0,0,0.5813264846801758,0.5813264846801758,1710,Marten de Roon
0,1,0.019242309033870697,27,Sub,Atalanta,Venezia,4,0,2021-11-30,16896,2021,498590,0,0,0,0,0.019242309033870697,0.019242309033870697,0,1710,Marten de Roon
0,0,0,90,MC,Juventus,Atalanta,0,1,2021-11-27,16888,2021,497566,0,0,0,0,0,0.05120164901018143,0.05120164901018143,1710,Marten de Roon
0,0,0,90,MC,Atalanta,Spezia,5,2,2021-11-20,16876,2021,495468,0,0,0,0,0,0.1612212061882019,0.1612212061882019,1710,Marten de Roon
0,3,0.24563206732273102,90,DC,Cagliari,Atalanta,1,2,2021-11-06,16866,2021,494274,0,0,0,0,0.24563206732273102,0.9658145904541016,0.8730547428131104,1710,Marten de Roon
1,1,0.08212273567914963,90,DC,Atalanta,Lazio,2,2,2021-10-30,16856,2021,491970,0,0,0,1,0.08212273567914963,0.2779585123062134,0.19583575427532196,1710,Marten de Roon
0,0,0,90,DC,Sampdoria,Atalanta,1,3,2021-10-27,16852,2021,491377,0.0668451189994812,0,2,0,0,0.5493698120117188,0.5493698120117188,1710,Marten de Roon
