goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,82,DR,Lille,Saint-Etienne,0,0,2021-05-16,16118,2020,472244,0,0,0,0,0,0.05220574513077736,0.05220574513077736,967,Mathieu Debuchy
0,1,0.07466782629489899,90,DR,Saint-Etienne,Marseille,1,0,2021-05-09,16114,2020,469052,0,0,0,0,0.07466782629489899,0.09134628623723984,0.09134628623723984,967,Mathieu Debuchy
1,2,0.17960187792778015,90,DR,Montpellier,Saint-Etienne,1,2,2021-05-02,16102,2020,467711,0,0,0,1,0.17960187792778015,0.17149296402931213,0.17149296402931213,967,Mathieu Debuchy
0,1,0.22798974812030792,90,DR,Saint-Etienne,Brest,1,2,2021-04-24,16092,2020,465062,0.07754916697740555,0,1,0,0.22798974812030792,0.19774267077445984,0.12019350379705429,967,Mathieu Debuchy
0,0,0,57,DR,Paris Saint Germain,Saint-Etienne,3,2,2021-04-18,16077,2020,463205,0,0,0,0,0,0,0,967,Mathieu Debuchy
0,0,0,90,DR,Saint-Etienne,Bordeaux,4,1,2021-04-11,16074,2020,461661,0,0,0,0,0,0,0,967,Mathieu Debuchy
0,0,0,90,DR,Nimes,Saint-Etienne,0,2,2021-04-04,16065,2020,460364,0,0,0,0,0,0.18119420111179352,0.18119420111179352,967,Mathieu Debuchy
0,0,0,90,MR,Saint-Etienne,Monaco,0,4,2021-03-19,16054,2020,457906,0.06146813556551933,0,1,0,0,0.08703020960092545,0.08703020960092545,967,Mathieu Debuchy
0,2,0.048652153462171555,90,DR,Saint-Etienne,Lens,2,3,2021-03-03,16034,2020,453636,0.060612671077251434,0,2,0,0.048652153462171555,0.1124170795083046,0.03675055503845215,967,Mathieu Debuchy
0,0,0,90,DR,Lorient,Saint-Etienne,2,1,2021-02-28,16020,2020,452949,0.029586168006062508,0,1,0,0,0.029586168006062508,0,967,Mathieu Debuchy
0,2,0.1621702015399933,90,DR,Saint-Etienne,Reims,1,1,2021-02-20,16014,2020,450462,0,0,0,0,0.1621702015399933,0.19100597500801086,0.02883576974272728,967,Mathieu Debuchy
0,0,0,90,DR,Rennes,Saint-Etienne,0,2,2021-02-14,16005,2020,449535,0,0,0,0,0,0,0,967,Mathieu Debuchy
0,0,0,26,DR,Saint-Etienne,Nantes,1,1,2021-02-03,15984,2020,447033,0.013815905898809433,0,1,0,0,0.013815905898809433,0.013815905898809433,967,Mathieu Debuchy
