goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,64,MC,Real Sociedad,Getafe,2,1,2019-04-28,10298,2018,329122,0.034316785633563995,0,1,0,0,0.034316785633563995,0,895,Mathieu Flamini
0,0,0,6,Sub,Getafe,Sevilla,3,0,2019-04-21,10278,2018,326543,0,0,0,0,0,0,0,895,Mathieu Flamini
0,0,0,20,Sub,Getafe,Leganes,0,2,2019-03-30,10239,2018,317592,0,0,0,0,0,0,0,895,Mathieu Flamini
0,0,0,25,Sub,Valencia,Getafe,0,0,2019-03-17,10230,2018,317279,0,0,0,0,0,0,0,895,Mathieu Flamini
0,0,0,27,Sub,Real Betis,Getafe,1,2,2019-03-03,10215,2018,311602,0,0,0,0,0,0.04282590374350548,0.04282590374350548,895,Mathieu Flamini
0,0,0,90,MC,Getafe,Rayo Vallecano,2,1,2019-02-23,10202,2018,311135,0,0,0,0,0,0.014148207381367683,0.014148207381367683,895,Mathieu Flamini
0,0,0,84,MC,Eibar,Getafe,2,2,2019-02-15,10194,2018,310814,0,0,0,0,0,0.4802268147468567,0.4802268147468567,895,Mathieu Flamini
0,0,0,24,Sub,Getafe,Celta Vigo,3,1,2019-02-09,10179,2018,310527,0,0,0,0,0,0.6930204629898071,0.6930204629898071,895,Mathieu Flamini
0,0,0,90,MC,Levante,Getafe,0,0,2019-02-02,10168,2018,310228,0,0,0,0,0,0.017846252769231796,0.017846252769231796,895,Mathieu Flamini
0,0,0,6,Sub,Girona,Getafe,1,1,2018-12-21,10122,2018,287741,0,0,0,0,0,0,0,895,Mathieu Flamini
0,0,0,60,MC,Getafe,Atletico Madrid,0,1,2018-05-12,8241,2017,239151,0,0,0,0,0,0,0,895,Mathieu Flamini
0,0,0,51,MC,Getafe,Girona,1,1,2018-04-29,8221,2017,236247,0,0,0,0,0,0,0,895,Mathieu Flamini
0,1,0.0682477131485939,90,MC,Eibar,Getafe,0,1,2018-04-21,8209,2017,234089,0,0,0,0,0.0682477131485939,0.0682477131485939,0,895,Mathieu Flamini
0,0,0,90,MC,Valencia,Getafe,1,2,2018-04-18,8200,2017,233504,0,0,0,0,0,0.107646644115448,0.107646644115448,895,Mathieu Flamini
0,0,0,61,MC,Getafe,Espanyol,1,0,2018-04-15,8189,2017,233017,0.08776851743459702,0,1,0,0,0.11526530981063843,0.027496788650751114,895,Mathieu Flamini
0,0,0,39,Sub,Alaves,Getafe,2,0,2018-04-07,8184,2017,231091,0,0,0,0,0,0.016994018107652664,0.016994018107652664,895,Mathieu Flamini
0,0,0,81,MC,Getafe,Real Betis,0,1,2018-04-02,8170,2017,227616,0,0,0,0,0,0,0,895,Mathieu Flamini
0,0,0,12,Sub,Barcelona,Getafe,0,0,2018-02-11,8104,2017,216949,0,0,0,0,0,0,0,895,Mathieu Flamini
0,1,0.033018022775650024,22,Sub,Manchester City,Crystal Palace,5,0,2017-05-06,3497,2016,135086,0,0,0,0,0.033018022775650024,0.033018022775650024,0,895,Mathieu Flamini
0,0,0,7,Sub,Crystal Palace,Arsenal,3,0,2017-04-10,3459,2016,133146,0,0,0,0,0,0,0,895,Mathieu Flamini
0,0,0,1,Sub,Southampton,Crystal Palace,3,1,2017-04-05,3447,2016,132836,0,0,0,0,0,0,0,895,Mathieu Flamini
0,0,0,1,Sub,Bournemouth,Crystal Palace,0,2,2017-01-31,3361,2016,132149,0,0,0,0,0,0,0,895,Mathieu Flamini
0,0,0,90,DMC,Arsenal,Crystal Palace,2,0,2017-01-01,3329,2016,130018,0,0,0,0,0,0,0,895,Mathieu Flamini
0,0,0,86,DMC,Watford,Crystal Palace,1,1,2016-12-26,3145,2016,129909,0,0,0,0,0,0,0,895,Mathieu Flamini
0,0,0,48,MC,Crystal Palace,Manchester United,1,2,2016-12-15,3130,2016,131019,0,0,0,0,0,0,0,895,Mathieu Flamini
0,0,0,1,Sub,Crystal Palace,Southampton,3,0,2016-12-03,3106,2016,128409,0,0,0,0,0,0,0,895,Mathieu Flamini
0,0,0,11,Sub,Crystal Palace,Stoke,4,1,2016-09-18,508,2016,126284,0.07854853570461273,0,1,0,0,0.07854853570461273,0,895,Mathieu Flamini
0,0,0,5,Sub,Middlesbrough,Crystal Palace,1,2,2016-09-10,492,2016,126133,0,0,0,0,0,0,0,895,Mathieu Flamini
0,0,0,4,Sub,Tottenham,Arsenal,2,2,2016-03-05,359,2015,66523,0,0,0,0,0,0,0,895,Mathieu Flamini
0,1,0.020232565701007843,90,DMC,Bournemouth,Arsenal,0,2,2016-02-07,329,2015,61803,0,0,0,0,0.020232565701007843,0.49536722898483276,0.47513464093208313,895,Mathieu Flamini
0,0,0,86,DMC,Arsenal,Southampton,0,0,2016-02-02,311,2015,58958,0,0,0,0,0,1.3980824947357178,1.3980824947357178,895,Mathieu Flamini
0,3,0.7076114416122437,90,DMC,Arsenal,Chelsea,0,1,2016-01-24,310,2015,59400,0,0,0,0,0.7076114416122437,0.7076114416122437,0,895,Mathieu Flamini
0,0,0,90,DMC,Stoke,Arsenal,0,0,2016-01-17,299,2015,58588,0.01790253072977066,0,1,0,0,0,0,895,Mathieu Flamini
