goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,2,0.5306940078735352,65,ML,Dijon,Toulouse,2,1,2020-03-07,12981,2019,396957,0,0,0,0,0.5306940078735352,0.5306940078735352,0,464,Max Gradel
0,2,0.14746034145355225,90,FW,Toulouse,Rennes,0,2,2020-02-29,12974,2019,395974,0,0,0,0,0.14746034145355225,0.23037318885326385,0.08291284739971161,464,Max Gradel
0,1,0.02912583202123642,73,ML,Lille,Toulouse,3,0,2020-02-22,12962,2019,394911,0.03555312752723694,0,1,0,0.02912583202123642,0.09829456359148026,0.0336156040430069,464,Max Gradel
0,2,0.38267382979393005,20,Sub,Toulouse,Nice,0,2,2020-02-15,12953,2019,393875,0.152790829539299,0,2,0,0.38267382979393005,0.4734598398208618,0,464,Max Gradel
0,1,0.05306033045053482,75,AMC,Strasbourg,Toulouse,4,2,2019-12-07,12875,2019,368654,0.012927317060530186,0,1,0,0.05306033045053482,0.3781871199607849,0.3251267671585083,464,Max Gradel
0,0,0,69,ML,Toulouse,Monaco,1,2,2019-12-04,12867,2019,367561,0,0,0,0,0,0.37208718061447144,0.37208718061447144,464,Max Gradel
0,1,0.08477427810430527,82,ML,Nantes,Toulouse,2,1,2019-12-01,12853,2019,366915,0,0,0,0,0.08477427810430527,0,0,464,Max Gradel
0,2,0.11257003247737885,87,ML,Toulouse,Marseille,0,2,2019-11-24,12839,2019,365689,0,0,0,0,0.11257003247737885,0.07283775508403778,0.07283775508403778,464,Max Gradel
0,1,0.009599491022527218,82,FWL,Montpellier,Toulouse,3,0,2019-11-10,12830,2019,364013,0,0,0,0,0.009599491022527218,0.009599491022527218,0,464,Max Gradel
0,2,0.07894168049097061,90,ML,Toulouse,Lyon,2,3,2019-11-02,12824,2019,361896,0.06566151231527328,0,2,0,0.07894168049097061,0.16610336303710938,0.08716168254613876,464,Max Gradel
1,4,0.18035613000392914,90,ML,Rennes,Toulouse,3,2,2019-10-27,12810,2019,360134,0,0,0,1,0.18035613000392914,0.2623858153820038,0.23031379282474518,464,Max Gradel
1,5,1.7417564392089844,90,FW,Toulouse,Lille,2,1,2019-10-19,12802,2019,358234,0,0,0,0,0.22156618535518646,0.2429528832435608,0.07044237107038498,464,Max Gradel
0,3,0.10527927428483963,90,FWL,Toulouse,Bordeaux,1,3,2019-10-05,12795,2019,356534,0.37097716331481934,0,3,0,0.10527927428483963,0.496464341878891,0.3577404022216797,464,Max Gradel
0,2,0.06526411324739456,90,AML,Metz,Toulouse,2,2,2019-09-28,12783,2019,355048,0.2567265033721924,1,1,0,0.06526411324739456,0.5150228142738342,0.1930321902036667,464,Max Gradel
0,1,0.03054197132587433,22,Sub,Toulouse,Angers,0,2,2019-09-25,12776,2019,353786,0.08095983415842056,0,1,0,0.03054197132587433,0.08095983415842056,0,464,Max Gradel
0,0,0,90,AML,Nimes,Toulouse,1,0,2019-09-21,12765,2019,352515,0.08025044947862625,0,2,0,0,0.08807786554098129,0.020264174789190292,464,Max Gradel
1,4,0.9700420498847961,90,AML,Saint-Etienne,Toulouse,2,2,2019-09-15,12754,2019,349840,0.06965071707963943,0,1,0,0.2099468857049942,0.14527995884418488,0,464,Max Gradel
0,0,0,90,FWL,Toulouse,Amiens,2,0,2019-08-31,12740,2019,347853,0.3401642441749573,1,1,0,0,0.42299696803092957,0.0828327089548111,464,Max Gradel
0,1,0.06540291756391525,90,MR,Paris Saint Germain,Toulouse,4,0,2019-08-25,12729,2019,345112,0.563459575176239,0,1,0,0.06540291756391525,0.6288625001907349,0.563459575176239,464,Max Gradel
0,3,0.4831620156764984,90,AML,Toulouse,Dijon,1,0,2019-08-17,12725,2019,342293,0.03579360246658325,0,1,0,0.4831620156764984,0.5189555883407593,0,464,Max Gradel
0,2,0.06932026892900467,90,AML,Brest,Toulouse,1,1,2019-08-10,12711,2019,341422,0,0,0,0,0.06932026892900467,0.17825333774089813,0.10893307626247406,464,Max Gradel
1,6,0.40604764223098755,90,AML,Toulouse,Marseille,2,5,2019-05-18,11012,2018,334074,0.7845838069915771,1,3,1,0.40604764223098755,1.3864459991455078,0.2320452481508255,464,Max Gradel
0,0,0,90,AML,Amiens,Toulouse,0,0,2019-05-11,10993,2018,331891,0,0,0,0,0,0.05185433104634285,0.05185433104634285,464,Max Gradel
0,4,0.2565198838710785,90,AML,Toulouse,Rennes,2,2,2019-05-05,10986,2018,330877,0,0,0,0,0.2565198838710785,0.1414683312177658,0.06362158060073853,464,Max Gradel
0,4,1.061367392539978,90,FW,Saint-Etienne,Toulouse,2,0,2019-04-28,10974,2018,329154,0.014829270541667938,0,1,0,0.3012722134590149,0.07186643034219742,0,464,Max Gradel
0,4,0.23608015477657318,90,FWL,Toulouse,Lille,0,0,2019-04-21,10971,2018,326626,0,0,0,0,0.23608015477657318,0.2864668071269989,0.050386667251586914,464,Max Gradel
0,1,0.03237726539373398,90,FWL,Montpellier,Toulouse,2,1,2019-04-14,10958,2018,325171,0.028731977567076683,0,1,0,0.03237726539373398,0.11968725919723511,0.09095527976751328,464,Max Gradel
0,5,1.0490398406982422,90,AML,Toulouse,Nantes,1,0,2019-04-07,10944,2018,323135,0.6839802265167236,0,3,0,0.28894472122192383,1.3360941410064697,0.5491661429405212,464,Max Gradel
0,0,0,90,FWL,Toulouse,Paris Saint Germain,0,1,2019-03-31,10941,2018,318842,0.5282413959503174,0,4,0,0,0.5551851391792297,0.09751593321561813,464,Max Gradel
0,4,0.5021612048149109,90,AML,Nice,Toulouse,1,1,2019-03-15,10925,2018,316005,0.04995936155319214,0,1,0,0.5021612048149109,0.6618409156799316,0.24252448976039886,464,Max Gradel
0,4,0.22218263149261475,90,AML,Toulouse,Guingamp,1,0,2019-03-10,10914,2018,315104,0.022439710795879364,0,1,0,0.22218263149261475,0.9202315211296082,0.7238393425941467,464,Max Gradel
0,1,0.019010677933692932,90,ML,Lyon,Toulouse,5,1,2019-03-03,10909,2018,314010,0.026290515437722206,0,1,0,0.019010677933692932,0.04530119150876999,0,464,Max Gradel
1,4,0.28143835067749023,90,ML,Toulouse,Caen,1,1,2019-02-24,10901,2018,313692,0,0,0,1,0.28143835067749023,0.6932426691055298,0.5975117087364197,464,Max Gradel
0,3,0.05371516942977905,90,AML,Bordeaux,Toulouse,2,1,2019-02-17,10884,2018,313372,0.10870995372533798,0,3,0,0.05371516942977905,0.56507807970047,0.5030403733253479,464,Max Gradel
1,3,0.19243735074996948,90,AML,Toulouse,Reims,1,1,2019-02-10,10882,2018,313078,0.11819810420274734,0,1,1,0.19243735074996948,0.3242068886756897,0.13176953792572021,464,Max Gradel
0,3,0.13923142850399017,90,FWL,Monaco,Toulouse,2,1,2019-02-02,10865,2018,314093,0.019712556153535843,0,1,0,0.13923142850399017,0.12011168152093887,0.019712556153535843,464,Max Gradel
0,8,1.1532695293426514,90,FWL,Toulouse,Angers,0,0,2019-01-27,10862,2018,312611,0.03127635270357132,0,2,0,0.3931743800640106,0.362722247838974,0.19733881950378418,464,Max Gradel
0,3,0.19120170176029205,90,AMC,Nimes,Toulouse,0,1,2019-01-19,10847,2018,312293,0.01720534637570381,0,1,0,0.19120170176029205,0.19045935571193695,0,464,Max Gradel
0,3,0.18240702152252197,90,FWL,Toulouse,Strasbourg,1,2,2019-01-13,10838,2018,311920,0.07056818157434464,0,2,0,0.18240702152252197,0.3648587465286255,0.11188354343175888,464,Max Gradel
2,2,1.5201902389526367,90,FW,Lille,Toulouse,1,2,2018-12-22,10825,2018,290651,0.07098352909088135,0,1,0,0,0,0,464,Max Gradel
1,5,0.9354842901229858,90,AMC,Caen,Toulouse,2,1,2018-12-18,10814,2018,290429,0.4045330882072449,0,1,0,0.17545481026172638,0.09838496148586273,0,464,Max Gradel
