goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.08234231173992157,17,Sub,Barcelona,Villarreal,0,2,2022-05-22,17507,2021,538234,0,0,0,0,0.08234231173992157,0.10278546810150146,0.020443154498934746,555,Memphis Depay
0,0,0,74,FWL,Getafe,Barcelona,0,0,2022-05-15,17501,2021,536494,0.028928829357028008,0,1,0,0,0.028928829357028008,0,555,Memphis Depay
1,3,0.2698307931423187,65,AMC,Barcelona,Celta Vigo,3,1,2022-05-10,17487,2021,534624,0,0,0,1,0.2698307931423187,0.15576887130737305,0,555,Memphis Depay
0,1,0.022766485810279846,69,FWL,Real Betis,Barcelona,1,2,2022-05-07,17478,2021,533172,0.14400050044059753,0,2,0,0.022766485810279846,0.07523739337921143,0,555,Memphis Depay
1,4,0.4859524071216583,90,FWL,Barcelona,Mallorca,2,1,2022-05-01,17468,2021,531513,0.22161537408828735,0,3,1,0.4859524071216583,1.171830177307129,0.6942288875579834,555,Memphis Depay
0,3,0.1291755735874176,29,Sub,Barcelona,Rayo Vallecano,0,1,2022-04-24,17338,2021,529756,0.10310810059309006,0,2,0,0.1291755735874176,0.2518623173236847,0.055141884833574295,555,Memphis Depay
0,1,0.01033166702836752,61,FW,Barcelona,Cadiz,0,1,2022-04-18,17449,2021,527471,0.027086596935987473,0,1,0,0.01033166702836752,0.09305902570486069,0.05564076080918312,555,Memphis Depay
0,0,0,7,Sub,Barcelona,Sevilla,1,0,2022-04-03,17428,2021,523863,0,0,0,0,0,0.10359565168619156,0.10359565168619156,555,Memphis Depay
0,1,0.08659662306308746,19,Sub,Real Madrid,Barcelona,0,4,2022-03-20,17422,2021,522324,0,0,0,0,0.08659662306308746,0.6706653833389282,0.5840687155723572,555,Memphis Depay
0,2,0.16894058883190155,17,Sub,Barcelona,Osasuna,4,0,2022-03-13,17407,2021,520559,0,0,0,0,0.16894058883190155,0.16894058883190155,0.09967437386512756,555,Memphis Depay
1,1,0.7432776093482971,14,Sub,Elche,Barcelona,1,2,2022-03-06,17405,2021,518349,0.29548096656799316,0,1,0,0,0.7164285182952881,0.42094752192497253,555,Memphis Depay
1,1,0.8286653161048889,6,Sub,Barcelona,Athletic Club,4,0,2022-02-27,17387,2021,516951,0,0,0,1,0.8286653161048889,0.8286653161048889,0.8286653161048889,555,Memphis Depay
0,0,0,27,Sub,Granada,Barcelona,1,1,2022-01-08,17327,2021,506927,0,0,0,0,0,0.1326066106557846,0.1326066106557846,555,Memphis Depay
0,0,0,90,FW,Barcelona,Real Betis,0,1,2021-12-04,17287,2021,499978,0.10632078349590302,0,2,0,0,0.8430885672569275,0.8430885672569275,555,Memphis Depay
1,5,1.673764705657959,90,FW,Villarreal,Barcelona,1,3,2021-11-27,17285,2021,497714,0.20133574306964874,0,2,1,1.673764705657959,1.8010776042938232,0,555,Memphis Depay
1,5,1.0216240882873535,90,FW,Barcelona,Espanyol,1,0,2021-11-20,17267,2021,496029,0.0356944240629673,0,1,0,0.2783465087413788,0.5600915551185608,0.246050626039505,555,Memphis Depay
