goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,DC,Hull,Tottenham,1,7,2017-05-21,3513,2016,125222,0,0,0,0,0,0.03984078764915466,0.03984078764915466,1744,Michael Dawson
0,0,0,90,DC,Crystal Palace,Hull,4,0,2017-05-14,3501,2016,135246,0.014998494647443295,0,1,0,0,0.2842681407928467,0.2842681407928467,1744,Michael Dawson
0,0,0,1,Sub,Southampton,Hull,0,0,2017-04-29,3484,2016,134482,0.09929396212100983,0,1,0,0,0,0,1744,Michael Dawson
0,0,0,1,Sub,Hull,Watford,2,0,2017-04-22,3474,2016,134194,0,0,0,0,0,0,0,1744,Michael Dawson
0,0,0,90,DC,Stoke,Hull,3,1,2017-04-15,3463,2016,134831,0,0,0,0,0,0.0735078677535057,0.0735078677535057,1744,Michael Dawson
0,1,0.06522730737924576,90,DC,Manchester City,Hull,3,1,2017-04-08,3457,2016,133373,0,0,0,0,0.06522730737924576,0,0,1744,Michael Dawson
0,0,0,6,Sub,Hull,Middlesbrough,4,2,2017-04-05,3442,2016,133531,0,0,0,0,0,0,0,1744,Michael Dawson
0,0,0,90,DC,Manchester United,Hull,0,0,2017-02-01,3368,2016,132329,0,0,0,0,0,0.07001960277557373,0.07001960277557373,1744,Michael Dawson
0,1,0.039342351257801056,90,DC,Chelsea,Hull,2,0,2017-01-22,3359,2016,131471,0,0,0,0,0.039342351257801056,0.04139768332242966,0.04139768332242966,1744,Michael Dawson
0,0,0,90,DC,Hull,Bournemouth,3,1,2017-01-14,3344,2016,130408,0,0,0,0,0,0.12221615016460419,0.12221615016460419,1744,Michael Dawson
0,2,0.07323427498340607,90,DC,West Bromwich Albion,Hull,3,1,2017-01-02,3333,2016,129986,0,0,0,0,0.07323427498340607,0.5078679323196411,0.5078679323196411,1744,Michael Dawson
1,2,0.10445300489664078,90,DC,Hull,Everton,2,2,2016-12-31,3155,2016,130328,0,0,0,1,0.10445300489664078,0,0,1744,Michael Dawson
0,1,0.025090910494327545,90,DC,Hull,Manchester City,0,3,2016-12-26,3152,2016,129281,0,0,0,0,0.025090910494327545,0,0,1744,Michael Dawson
0,0,0,90,DC,West Ham,Hull,1,0,2016-12-17,3137,2016,128964,0.1275518238544464,0,2,0,0,0.09213276952505112,0.015823256224393845,1744,Michael Dawson
0,0,0,90,DC,Tottenham,Hull,3,0,2016-12-15,3134,2016,131499,0,0,0,0,0,0,0,1744,Michael Dawson
0,0,0,90,DC,Hull,Crystal Palace,3,3,2016-12-10,3116,2016,129809,0,0,0,0,0,0.24157561361789703,0.24157561361789703,1744,Michael Dawson
0,1,0.009652136825025082,90,DC,Middlesbrough,Hull,1,0,2016-12-06,3114,2016,128660,0,0,0,0,0.009652136825025082,0,0,1744,Michael Dawson
1,1,0.08452087640762329,90,DC,Hull,West Bromwich Albion,1,1,2016-11-26,2708,2016,129254,0,0,0,1,0.08452087640762329,0,0,1744,Michael Dawson
0,2,0.1752297729253769,90,DC,Sunderland,Hull,3,0,2016-11-19,2700,2016,128687,0,0,0,0,0.1752297729253769,0.042619675397872925,0.042619675397872925,1744,Michael Dawson
1,1,0.11113415658473969,90,DC,Hull,Southampton,2,1,2016-11-06,2694,2016,128455,0,0,0,1,0.11113415658473969,0,0,1744,Michael Dawson
0,0,0,90,DC,Watford,Hull,1,0,2016-10-29,2679,2016,127863,0,0,0,0,0,0,0,1744,Michael Dawson
0,0,0,90,DC,Hull,Stoke,0,2,2016-10-22,545,2016,127186,0,0,0,0,0,0.24921734631061554,0.24921734631061554,1744,Michael Dawson
0,4,0.20510555803775787,90,DC,Hull,Manchester United,0,0,2015-05-24,4435,2014,25838,0,0,0,0,0.20510555803775787,0.20274527370929718,0.18124453723430634,1744,Michael Dawson
0,1,0.06266234815120697,90,DC,Tottenham,Hull,2,0,2015-05-16,4422,2014,24234,0.09562285989522934,0,1,0,0.06266234815120697,0,0,1744,Michael Dawson
0,0,0,90,DC,Hull,Burnley,0,1,2015-05-09,4410,2014,24055,0,0,0,0,0,0.11176036298274994,0.11176036298274994,1744,Michael Dawson
0,1,0.008396774530410767,90,DC,Hull,Arsenal,1,3,2015-05-04,4408,2014,23891,0,0,0,0,0.008396774530410767,0,0,1744,Michael Dawson
1,1,0.27872204780578613,90,DC,Hull,Liverpool,1,0,2015-04-28,4478,2014,23643,0,0,0,1,0.27872204780578613,0.35138317942619324,0.35138317942619324,1744,Michael Dawson
