goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,13,Sub,Arminia Bielefeld,Freiburg,0,0,2021-08-14,17517,2021,475424,0,0,0,0,0,0,0,1702,Mike van der Hoorn
0,0,0,1,Sub,VfB Stuttgart,Arminia Bielefeld,0,2,2021-05-22,15445,2020,472658,0,0,0,0,0,0,0,1702,Mike van der Hoorn
0,0,0,1,Sub,Hertha Berlin,Arminia Bielefeld,0,0,2021-05-09,15424,2020,469568,0,0,0,0,0,0,0,1702,Mike van der Hoorn
0,0,0,4,Sub,Arminia Bielefeld,Schalke 04,1,0,2021-04-20,15408,2020,464110,0.05614989995956421,0,1,0,0,0,0,1702,Mike van der Hoorn
0,1,0.10093364119529724,90,DC,Mainz 05,Arminia Bielefeld,1,1,2021-04-03,15380,2020,459449,0,0,0,0,0.10093364119529724,0,0,1702,Mike van der Hoorn
0,0,0,2,Sub,Bayer Leverkusen,Arminia Bielefeld,1,2,2021-03-14,15358,2020,456796,0,0,0,0,0,0,0,1702,Mike van der Hoorn
0,0,0,1,Sub,Bayern Munich,Arminia Bielefeld,3,3,2021-02-15,15320,2020,450072,0,0,0,0,0,0,0,1702,Mike van der Hoorn
0,0,0,1,Sub,FC Cologne,Arminia Bielefeld,3,1,2021-01-31,15308,2020,446347,0,0,0,0,0,0.04519380256533623,0.04519380256533623,1702,Mike van der Hoorn
0,0,0,1,Sub,Arminia Bielefeld,VfB Stuttgart,3,0,2021-01-20,15292,2020,443461,0,0,0,0,0,0,0,1702,Mike van der Hoorn
0,0,0,90,DC,Arminia Bielefeld,Borussia M.Gladbach,0,1,2021-01-02,15264,2020,438988,0.03367084637284279,0,1,0,0,0.015120062045753002,0.015120062045753002,1702,Mike van der Hoorn
0,1,0.04872593656182289,90,DC,Schalke 04,Arminia Bielefeld,0,1,2020-12-19,15254,2020,435844,0,0,0,0,0.04872593656182289,0,0,1702,Mike van der Hoorn
0,0,0,90,DC,Arminia Bielefeld,Augsburg,0,1,2020-12-16,15243,2020,434910,0,0,0,0,0,0.1321576088666916,0.1321576088666916,1702,Mike van der Hoorn
0,1,0.06393188238143921,90,DC,Freiburg,Arminia Bielefeld,2,0,2020-12-12,15235,2020,432883,0,0,0,0,0.06393188238143921,0,0,1702,Mike van der Hoorn
0,0,0,90,DC,Arminia Bielefeld,Mainz 05,2,1,2020-12-05,15229,2020,431164,0,0,0,0,0,0,0,1702,Mike van der Hoorn
0,0,0,90,DC,RasenBallsport Leipzig,Arminia Bielefeld,2,1,2020-11-28,15213,2020,429537,0,0,0,0,0,0.14028319716453552,0.14028319716453552,1702,Mike van der Hoorn
0,0,0,90,DC,Arminia Bielefeld,Bayer Leverkusen,1,2,2020-11-21,15207,2020,427853,0,0,0,0,0,0,0,1702,Mike van der Hoorn
