goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.13756217062473297,53,Sub,Swansea,Bournemouth,0,3,2016-12-31,3161,2016,130885,0.01149403303861618,0,1,0,0.13756217062473297,0.08201824128627777,0.07052420824766159,720,Modou Barrow
0,0,0,63,AMR,Middlesbrough,Swansea,3,0,2016-12-17,3136,2016,131923,0,0,0,0,0,0,0,720,Modou Barrow
0,0,0,25,Sub,West Bromwich Albion,Swansea,3,1,2016-12-15,3131,2016,131148,0.09558967500925064,0,1,0,0,0.6180801391601562,0.5224905014038086,720,Modou Barrow
0,2,0.12585578858852386,79,AML,Swansea,Sunderland,3,0,2016-12-10,3117,2016,130361,0,0,0,0,0.12585578858852386,0.14898552000522614,0.023129727691411972,720,Modou Barrow
0,0,0,73,FWR,Tottenham,Swansea,5,0,2016-12-03,3109,2016,128915,0,0,0,0,0,0,0,720,Modou Barrow
0,1,0.06394129991531372,83,FWR,Swansea,Crystal Palace,5,4,2016-11-26,2709,2016,128243,0.044949669390916824,0,1,0,0.06394129991531372,0.10889097303152084,0.044949669390916824,720,Modou Barrow
0,0,0,83,FWR,Everton,Swansea,1,1,2016-11-19,2702,2016,128339,0.06297297030687332,0,1,0,0,0.06297297030687332,0.06297297030687332,720,Modou Barrow
0,1,0.04857354983687401,43,Sub,Swansea,Manchester United,1,3,2016-11-06,2695,2016,128163,0,0,0,0,0.04857354983687401,0.04857354983687401,0,720,Modou Barrow
0,1,0.1140250563621521,65,AMR,Stoke,Swansea,3,1,2016-11-01,2686,2016,127785,0.025873742997646332,0,1,0,0.1140250563621521,0.13989880681037903,0,720,Modou Barrow
0,1,0.015857521444559097,90,AMR,Swansea,Watford,0,0,2016-10-22,543,2016,127412,0.5028648972511292,0,3,0,0.015857521444559097,0.7025154829025269,0.22637945413589478,720,Modou Barrow
0,1,0.15186618268489838,85,MR,Arsenal,Swansea,3,2,2016-10-15,532,2016,127559,0.7488454580307007,1,3,0,0.15186618268489838,1.002911925315857,0.4288613498210907,720,Modou Barrow
0,0,0,26,Sub,Swansea,Liverpool,1,2,2016-10-01,522,2016,127332,0.04352327436208725,0,1,0,0,0.04352327436208725,0,720,Modou Barrow
0,1,0.03146540746092796,15,Sub,Swansea,Manchester City,1,3,2016-09-24,515,2016,126756,0,0,0,0,0.03146540746092796,0.03146540746092796,0,720,Modou Barrow
