goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,70,MR,Swansea,Stoke,1,2,2018-05-13,7491,2017,240068,0.06953949481248856,0,1,0,0,0.10097872465848923,0.10097872465848923,783,Nathan Dyer
0,2,0.11856461316347122,60,AMC,Bournemouth,Swansea,1,0,2018-05-05,7488,2017,237618,0.04816516861319542,0,2,0,0.11856461316347122,0.7403423190116882,0.6859630346298218,783,Nathan Dyer
0,0,0,31,Sub,Swansea,Chelsea,0,1,2018-04-28,7476,2017,235918,0,0,0,0,0,0.09308680891990662,0.09308680891990662,783,Nathan Dyer
0,1,0.04782845824956894,42,Sub,Swansea,Everton,1,1,2018-04-14,7456,2017,232105,0,0,0,0,0.04782845824956894,0.04782845824956894,0,783,Nathan Dyer
0,0,0,26,Sub,West Bromwich Albion,Swansea,1,1,2018-04-07,7448,2017,230508,0,0,0,0,0,0,0,783,Nathan Dyer
0,0,0,48,FW,Manchester United,Swansea,2,0,2018-03-31,7435,2017,226885,0,0,0,0,0,0,0,783,Nathan Dyer
0,0,0,2,Sub,Swansea,West Ham,4,1,2018-03-03,7406,2017,220978,0,0,0,0,0,0,0,783,Nathan Dyer
0,1,0.023472793400287628,35,MR,Brighton,Swansea,4,1,2018-02-24,7391,2017,219226,0,0,0,0,0.023472793400287628,0,0,783,Nathan Dyer
0,0,0,75,MR,Swansea,Burnley,1,0,2018-02-10,7386,2017,215248,0,0,0,0,0,0.09860724955797195,0.09860724955797195,783,Nathan Dyer
0,0,0,73,MR,Leicester,Swansea,1,1,2018-02-03,7374,2017,214930,0,0,0,0,0,0.1076497957110405,0.1076497957110405,783,Nathan Dyer
0,1,0.4733002483844757,84,MR,Swansea,Arsenal,3,1,2018-01-30,7361,2017,215359,0.35669997334480286,0,1,0,0.4733002483844757,0.4733002483844757,0,783,Nathan Dyer
0,0,0,65,MR,Swansea,Liverpool,1,0,2018-01-22,7357,2017,210197,0,0,0,0,0,0,0,783,Nathan Dyer
0,0,0,86,MR,Newcastle United,Swansea,1,1,2018-01-13,7345,2017,207725,0.038052480667829514,0,1,0,0,0.12944841384887695,0.09139592945575714,783,Nathan Dyer
0,1,0.07601173222064972,72,FW,Swansea,Tottenham,0,2,2018-01-02,7338,2017,206583,0.021739644929766655,0,1,0,0.07601173222064972,0.09775137156248093,0.021739644929766655,783,Nathan Dyer
0,1,0.0198469590395689,7,Sub,Watford,Swansea,1,2,2017-12-30,7327,2017,206185,0,0,0,0,0.0198469590395689,0,0,783,Nathan Dyer
0,0,0,90,FWL,Swansea,Crystal Palace,1,1,2017-12-23,7299,2017,202569,0,0,0,0,0,0.39124763011932373,0.39124763011932373,783,Nathan Dyer
0,1,0.01773793250322342,76,FWL,Everton,Swansea,3,1,2017-12-18,7293,2017,203249,0,0,0,0,0.01773793250322342,0.01773793250322342,0,783,Nathan Dyer
0,0,0,66,MR,Swansea,Manchester City,0,4,2017-12-13,7281,2017,205392,0,0,0,0,0,0.055389706045389175,0.055389706045389175,783,Nathan Dyer
0,1,0.05236838012933731,67,FWR,Swansea,West Bromwich Albion,1,0,2017-12-09,7271,2017,198966,0.017155159264802933,0,1,0,0.05236838012933731,0.09507176280021667,0.02554822526872158,783,Nathan Dyer
0,0,0,90,FWR,Burnley,Swansea,2,0,2017-11-18,7233,2017,178567,0.010858584195375443,0,1,0,0,0.07290232926607132,0.07290232926607132,783,Nathan Dyer
0,0,0,90,FWR,Swansea,Brighton,0,1,2017-11-04,7225,2017,179319,0.10216023027896881,0,1,0,0,0.10964902490377426,0.0074887964874506,783,Nathan Dyer
0,0,0,7,Sub,Arsenal,Swansea,2,1,2017-10-28,7209,2017,177499,0,0,0,0,0,0,0,783,Nathan Dyer
0,1,0.017175862565636635,33,Sub,Swansea,Leicester,1,2,2017-10-21,7206,2017,177402,0.03382636979222298,0,1,0,0.017175862565636635,0.08216629922389984,0.03116406872868538,783,Nathan Dyer
0,0,0,12,Sub,Swansea,Huddersfield,2,0,2017-10-14,7196,2017,178505,0,0,0,0,0,0.0217901598662138,0.0217901598662138,783,Nathan Dyer
0,0,0,6,FWR,Swansea,Leicester,2,0,2017-02-12,3388,2016,131270,0,0,0,0,0,0,0,783,Nathan Dyer
0,0,0,14,Sub,Manchester City,Swansea,2,1,2017-02-05,3378,2016,129860,0,0,0,0,0,0,0,783,Nathan Dyer
0,1,0.016662804409861565,56,AMR,Swansea,Arsenal,0,4,2017-01-14,3343,2016,130853,0.016664661467075348,0,1,0,0.016662804409861565,0.03332746773958206,0.016664661467075348,783,Nathan Dyer
0,0,0,8,Sub,Crystal Palace,Swansea,1,2,2017-01-04,3337,2016,131233,0,0,0,0,0,0,0,783,Nathan Dyer
0,2,0.07001793384552002,90,AMR,Swansea,Bournemouth,0,3,2016-12-31,3161,2016,130881,0.011422892101109028,0,1,0,0.07001793384552002,0.1580188274383545,0.1580188274383545,783,Nathan Dyer
0,0,0,19,Sub,Swansea,West Ham,1,4,2016-12-26,3146,2016,129791,0.10057175159454346,1,1,0,0,0.10057175159454346,0,783,Nathan Dyer
0,0,0,7,Sub,Everton,Swansea,1,1,2016-11-19,2702,2016,128342,0,0,0,0,0,0,0,783,Nathan Dyer
0,0,0,3,Sub,Swansea,Hull,0,2,2016-08-20,474,2016,125563,0,0,0,0,0,0,0,783,Nathan Dyer
0,0,0,1,Sub,Leicester,Southampton,1,0,2016-04-03,392,2015,65821,0,0,0,0,0,0,0,783,Nathan Dyer
0,0,0,2,Sub,Manchester City,Leicester,1,3,2016-02-06,321,2015,58405,0,0,0,0,0,0,0,783,Nathan Dyer
0,0,0,1,Sub,Tottenham,Leicester,0,1,2016-01-14,290,2015,61316,0,0,0,0,0,0,0,783,Nathan Dyer
0,0,0,43,Sub,Leicester,Bournemouth,0,0,2016-01-02,274,2015,61495,0,0,0,0,0,0.11012940853834152,0.11012940853834152,783,Nathan Dyer
0,1,0.09626198559999466,19,Sub,Liverpool,Leicester,1,0,2015-12-26,257,2015,60299,0,0,0,0,0.09626198559999466,0.09626198559999466,0,783,Nathan Dyer
0,0,0,16,Sub,Everton,Leicester,2,3,2015-12-19,245,2015,61866,0,0,0,0,0,0,0,783,Nathan Dyer
0,0,0,1,Sub,Newcastle United,Leicester,0,3,2015-11-21,205,2015,60162,0,0,0,0,0,0,0,783,Nathan Dyer
0,0,0,5,Sub,Leicester,Watford,2,1,2015-11-07,192,2015,60672,0,0,0,0,0,0,0,783,Nathan Dyer
0,0,0,13,Sub,West Bromwich Albion,Leicester,2,3,2015-10-31,187,2015,59584,0,0,0,0,0,0,0,783,Nathan Dyer
0,0,0,11,Sub,Leicester,Crystal Palace,1,0,2015-10-24,172,2015,65322,0,0,0,0,0,0,0,783,Nathan Dyer
0,2,0.0980851948261261,40,Sub,Southampton,Leicester,2,2,2015-10-17,162,2015,65118,0.44060078263282776,1,3,0,0.0980851948261261,0.9114490151405334,0.41800302267074585,783,Nathan Dyer
