goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,DC,Manchester City,Bournemouth,2,1,2020-07-15,11999,2019,408655,0,0,0,0,0,0.17792154848575592,0.17792154848575592,611,Nicolás Otamendi
0,1,0.027196379378437996,90,DC,Manchester City,Newcastle United,5,0,2020-07-08,11979,2019,406567,0,0,0,0,0.027196379378437996,0.8328381180763245,0.8328381180763245,611,Nicolás Otamendi
0,0,0,8,Sub,Manchester City,Liverpool,4,0,2020-07-02,11959,2019,404944,0,0,0,0,0,0,0,611,Nicolás Otamendi
0,0,0,14,Sub,Chelsea,Manchester City,2,1,2020-06-25,11946,2019,402753,0,0,0,0,0,0,0,611,Nicolás Otamendi
0,0,0,90,DC,Manchester City,Burnley,5,0,2020-06-22,11939,2019,401939,0,0,0,0,0,0.6512495279312134,0.6512495279312134,611,Nicolás Otamendi
0,1,0.020307879894971848,90,DC,Manchester United,Manchester City,2,0,2020-03-08,11932,2019,387851,0,0,0,0,0.020307879894971848,0.029840629547834396,0.029840629547834396,611,Nicolás Otamendi
0,0,0,30,Sub,Leicester,Manchester City,0,1,2020-02-22,11904,2019,387287,0,0,0,0,0,0,0,611,Nicolás Otamendi
0,0,0,90,DC,Manchester City,West Ham,2,0,2020-02-19,11898,2019,387100,0.03864666819572449,0,1,0,0,0.6327947974205017,0.6327947974205017,611,Nicolás Otamendi
0,0,0,90,DC,Tottenham,Manchester City,2,0,2020-02-02,11890,2019,386838,0,0,0,0,0,0,0,611,Nicolás Otamendi
0,1,0.08963833004236221,90,DC,Sheffield United,Manchester City,0,1,2020-01-21,11875,2019,386377,0.08748554438352585,0,1,0,0.08963833004236221,0.853156328201294,0.853156328201294,611,Nicolás Otamendi
0,0,0,27,Sub,Aston Villa,Manchester City,1,6,2020-01-12,11856,2019,386007,0,0,0,0,0,0.10480470210313797,0.10480470210313797,611,Nicolás Otamendi
0,0,0,90,DC,Wolverhampton Wanderers,Manchester City,3,2,2019-12-27,11832,2019,372659,0,0,0,0,0,0.049135707318782806,0.049135707318782806,611,Nicolás Otamendi
0,1,0.07658502459526062,90,DC,Manchester City,Leicester,3,1,2019-12-21,11817,2019,371619,0,0,0,0,0.07658502459526062,1.0754668712615967,1.0754668712615967,611,Nicolás Otamendi
0,0,0,90,DC,Arsenal,Manchester City,0,3,2019-12-15,11803,2019,370556,0,0,0,0,0,0.23844201862812042,0.23844201862812042,611,Nicolás Otamendi
1,2,0.47776976227760315,29,Sub,Manchester City,Manchester United,1,2,2019-12-07,11797,2019,368532,0,0,0,1,0.47776976227760315,0.0669965073466301,0.0669965073466301,611,Nicolás Otamendi
0,0,0,90,DC,Burnley,Manchester City,1,4,2019-12-03,11784,2019,367485,0,0,0,0,0,0.17616119980812073,0.17616119980812073,611,Nicolás Otamendi
0,0,0,1,Sub,Manchester City,Southampton,2,1,2019-11-02,11749,2019,361535,0,0,0,0,0,0,0,611,Nicolás Otamendi
0,0,0,90,DC,Manchester City,Wolverhampton Wanderers,0,2,2019-10-06,11716,2019,356833,0,0,0,0,0,0.1394173502922058,0.1394173502922058,611,Nicolás Otamendi
0,0,0,90,DC,Everton,Manchester City,1,3,2019-09-28,11711,2019,354873,0.013975250534713268,0,1,0,0,0.5514861345291138,0.5514861345291138,611,Nicolás Otamendi
1,2,0.711231529712677,66,DC,Manchester City,Watford,8,0,2019-09-21,11695,2019,352271,0,0,0,1,0.711231529712677,1.7217000722885132,1.7217000722885132,611,Nicolás Otamendi
0,3,0.13298018276691437,90,DC,Norwich,Manchester City,3,2,2019-09-14,11689,2019,349275,0,0,0,0,0.13298018276691437,0.6915755271911621,0.6915755271911621,611,Nicolás Otamendi
0,0,0,90,DC,Manchester City,Brighton,4,0,2019-08-31,11678,2019,347512,0,0,0,0,0,0.3279051184654236,0.3279051184654236,611,Nicolás Otamendi
0,2,0.45507675409317017,90,DC,Bournemouth,Manchester City,1,3,2019-08-25,11671,2019,344496,0,0,0,0,0.45507675409317017,1.0639557838439941,1.0639557838439941,611,Nicolás Otamendi
0,2,0.06403511017560959,90,DC,Manchester City,Tottenham,2,2,2019-08-17,11659,2019,342119,0.03747672587633133,0,1,0,0.06403511017560959,1.2544814348220825,1.217004656791687,611,Nicolás Otamendi
0,0,0,3,Sub,Brighton,Manchester City,1,4,2019-05-12,9576,2018,332227,0,0,0,0,0,0,0,611,Nicolás Otamendi
0,0,0,1,Sub,Burnley,Manchester City,0,1,2019-04-28,9555,2018,329044,0,0,0,0,0,0,0,611,Nicolás Otamendi
0,3,0.7252097129821777,90,DC,Fulham,Manchester City,0,2,2019-03-30,9512,2018,317625,0,0,0,0,0.7252097129821777,0.38372039794921875,0.26998642086982727,611,Nicolás Otamendi
0,2,0.03904826566576958,90,DC,Manchester City,Watford,3,1,2019-03-09,9489,2018,314681,0,0,0,0,0.03904826566576958,1.0301049947738647,1.0185166597366333,611,Nicolás Otamendi
0,2,0.08284101635217667,90,DC,Bournemouth,Manchester City,0,1,2019-03-02,9486,2018,305363,0.05325642600655556,0,1,0,0.08284101635217667,0.34743523597717285,0.2941788136959076,611,Nicolás Otamendi
0,1,0.06248953193426132,90,DC,Manchester City,West Ham,1,0,2019-02-27,9475,2018,305099,0,0,0,0,0.06248953193426132,0.4398634433746338,0.4398634433746338,611,Nicolás Otamendi
0,0,0,90,DC,Everton,Manchester City,0,2,2019-02-06,9461,2018,304424,0,0,0,0,0,0.4348423182964325,0.4348423182964325,611,Nicolás Otamendi
0,1,0.0528913177549839,90,DC,Manchester City,Arsenal,3,1,2019-02-03,9439,2018,304356,0,0,0,0,0.0528913177549839,0.4305163621902466,0.4305163621902466,611,Nicolás Otamendi
0,1,0.06676685810089111,90,DC,Huddersfield,Manchester City,0,3,2019-01-20,9423,2018,303822,0,0,0,0,0.06676685810089111,0.8905776143074036,0.8905776143074036,611,Nicolás Otamendi
0,0,0,1,Sub,Manchester City,Liverpool,2,1,2019-01-03,9400,2018,303300,0,0,0,0,0,0,0,611,Nicolás Otamendi
0,1,0.01077738031744957,52,DC,Manchester City,Crystal Palace,2,3,2018-12-22,9370,2018,278837,0,0,0,0,0.01077738031744957,0.010692152194678783,0.010692152194678783,611,Nicolás Otamendi
0,0,0,90,DC,Manchester City,Everton,3,1,2018-12-15,9361,2018,278449,0,0,0,0,0,0.01311891432851553,0.01311891432851553,611,Nicolás Otamendi
0,0,0,6,Sub,Watford,Manchester City,1,2,2018-12-04,9341,2018,277998,0,0,0,0,0,0,0,611,Nicolás Otamendi
0,0,0,90,DC,Manchester City,Bournemouth,3,1,2018-12-01,9329,2018,277697,0.2358722984790802,0,1,0,0,0.9287339448928833,0.9287339448928833,611,Nicolás Otamendi
0,0,0,90,DC,West Ham,Manchester City,0,4,2018-11-24,9317,2018,277382,0,0,0,0,0,0,0,611,Nicolás Otamendi
0,2,0.09578600525856018,90,DC,Manchester City,Brighton,2,0,2018-09-29,9260,2018,260485,0,0,0,0,0.09578600525856018,0.8232435584068298,0.8232435584068298,611,Nicolás Otamendi
