goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.61200350522995,72,MC,Valencia,Celta Vigo,2,0,2022-05-21,17513,2021,537242,0.3372824490070343,0,1,0,0.61200350522995,0.9492859840393066,0,1732,Nolito
0,1,0.05601513758301735,16,Sub,Celta Vigo,Alaves,4,0,2022-05-07,17479,2021,532954,0.5683547258377075,0,1,0,0.05601513758301735,0.6243698596954346,0,1732,Nolito
0,0,0,35,Sub,Granada,Celta Vigo,1,1,2022-05-01,17470,2021,531285,0.5786371231079102,0,2,0,0,0.595952570438385,0.01731543056666851,1732,Nolito
0,0,0,32,Sub,Celta Vigo,Getafe,0,2,2022-04-20,17458,2021,527843,0.02367117628455162,0,1,0,0,0,0,1732,Nolito
0,0,0,18,Sub,Athletic Club,Celta Vigo,0,2,2022-04-17,17447,2021,527305,0,0,0,0,0,0,0,1732,Nolito
1,1,0.5169462561607361,74,MC,Celta Vigo,Real Madrid,1,2,2022-04-02,17430,2021,522987,0,0,0,1,0.5169462561607361,0.572017252445221,0.05507099628448486,1732,Nolito
0,1,0.03171578422188759,68,MC,Celta Vigo,Real Betis,0,0,2022-03-20,17418,2021,521969,0,0,0,0,0.03171578422188759,0.3659731149673462,0.3342573344707489,1732,Nolito
0,0,0,65,MC,Villarreal,Celta Vigo,1,0,2022-03-12,17415,2021,519553,0,0,0,0,0,0,0,1732,Nolito
0,0,0,12,Sub,Atletico Madrid,Celta Vigo,2,0,2022-02-26,17386,2021,516363,0,0,0,0,0,0,0,1732,Nolito
0,0,0,1,Sub,Celta Vigo,Rayo Vallecano,2,0,2022-02-05,17359,2021,511254,0,0,0,0,0,0,0,1732,Nolito
0,0,0,23,Sub,Sevilla,Celta Vigo,2,2,2022-01-22,17353,2021,509905,0.12551726400852203,0,1,0,0,0.12551726400852203,0.12551726400852203,1732,Nolito
0,0,0,10,Sub,Celta Vigo,Osasuna,2,0,2022-01-19,17340,2021,509047,0,0,0,0,0,0,0,1732,Nolito
0,0,0,30,Sub,Real Sociedad,Celta Vigo,1,0,2022-01-08,17332,2021,506897,0.14565755426883698,0,1,0,0,0.035109229385852814,0.035109229385852814,1732,Nolito
0,0,0,1,Sub,Real Betis,Celta Vigo,0,2,2022-01-02,17321,2021,505758,0,0,0,0,0,0,0,1732,Nolito
0,0,0,5,Sub,Celta Vigo,Espanyol,3,1,2021-12-17,17308,2021,503489,0,0,0,0,0,0,0,1732,Nolito
