goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,AMC,Sunderland,Hull,3,0,2016-11-19,2700,2016,128680,0.09935209900140762,0,1,0,0,0.2668766677379608,0.1675245761871338,559,Paddy McNair
0,0,0,73,MC,Bournemouth,Sunderland,1,2,2016-11-05,2687,2016,127952,0.057303257286548615,0,1,0,0,0.090662881731987,0.03335962072014809,559,Paddy McNair
0,0,0,8,Sub,West Ham,Sunderland,1,0,2016-10-22,542,2016,127484,0,0,0,0,0,0,0,559,Paddy McNair
0,0,0,58,MC,Stoke,Sunderland,2,0,2016-10-15,535,2016,126934,0.031691379845142365,0,1,0,0,0.13402150571346283,0.10233012586832047,559,Paddy McNair
0,1,0.07151660323143005,74,MC,Sunderland,West Bromwich Albion,1,1,2016-10-01,523,2016,127273,0,0,0,0,0.07151660323143005,0.4147408902645111,0.4147408902645111,559,Paddy McNair
0,0,0,1,Sub,Sunderland,Crystal Palace,2,3,2016-09-24,514,2016,126730,0,0,0,0,0,0,0,559,Paddy McNair
0,0,0,1,Sub,Tottenham,Sunderland,1,0,2016-09-18,510,2016,126465,0,0,0,0,0,0,0,559,Paddy McNair
0,0,0,48,DMC,Sunderland,Middlesbrough,1,2,2016-08-21,479,2016,125529,0,0,0,0,0,0,0,559,Paddy McNair
0,0,0,6,Sub,Manchester City,Sunderland,2,1,2016-08-13,467,2016,125083,0,0,0,0,0,0,0,559,Paddy McNair
0,0,0,1,Sub,Manchester United,Watford,1,0,2016-03-03,358,2015,67480,0,0,0,0,0,0,0,559,Paddy McNair
0,0,0,28,Sub,Manchester United,Southampton,0,1,2016-01-23,303,2015,60506,0,0,0,0,0,0,0,559,Paddy McNair
0,0,0,11,Sub,Manchester United,Swansea,2,1,2016-01-02,275,2015,61685,0,0,0,0,0,0,0,559,Paddy McNair
0,2,0.11252842843532562,90,DC,Bournemouth,Manchester United,2,1,2015-12-12,236,2015,59078,0,0,0,0,0.11252842843532562,0.17550423741340637,0.17550423741340637,559,Paddy McNair
0,1,0.036513980478048325,48,DR,Manchester United,West Ham,0,0,2015-12-05,226,2015,60081,0.14083601534366608,0,1,0,0.036513980478048325,0.20531757175922394,0.06448156386613846,559,Paddy McNair
0,0,0,90,DC,Leicester,Manchester United,1,1,2015-11-28,216,2015,62134,0,0,0,0,0,0.124880351126194,0.124880351126194,559,Paddy McNair
0,0,0,20,Sub,Watford,Manchester United,1,2,2015-11-21,201,2015,61235,0,0,0,0,0,0,0,559,Paddy McNair
0,0,0,20,Sub,Southampton,Manchester United,2,3,2015-09-20,139,2015,64292,0,0,0,0,0,0,0,559,Paddy McNair
0,0,0,2,Sub,Crystal Palace,Manchester United,1,2,2015-05-09,4415,2014,23639,0,0,0,0,0,0,0,559,Paddy McNair
0,1,0.26337286829948425,86,DC,Manchester United,West Bromwich Albion,0,1,2015-05-02,4405,2014,24554,0.01655254326760769,0,1,0,0.26337286829948425,0.1732175052165985,0.1732175052165985,559,Paddy McNair
0,0,0,90,DC,Everton,Manchester United,3,0,2015-04-26,4476,2014,25414,0,0,0,0,0,0.055135201662778854,0.055135201662778854,559,Paddy McNair
0,2,0.03282530605792999,90,DC,Chelsea,Manchester United,1,0,2015-04-18,4465,2014,25496,0,0,0,0,0.03282530605792999,0.3406381607055664,0.3078128695487976,559,Paddy McNair
0,0,0,47,DR,Swansea,Manchester United,2,1,2015-02-21,4539,2014,27411,0,0,0,0,0,0.025628507137298584,0.025628507137298584,559,Paddy McNair
0,1,0.014618000015616417,90,DR,Manchester United,Burnley,3,1,2015-02-11,4531,2014,27098,0.1630745232105255,0,2,0,0.014618000015616417,0.21430020034313202,0.19968220591545105,559,Paddy McNair
0,0,0,21,Sub,Manchester United,Leicester,3,1,2015-01-31,4583,2014,26507,0,0,0,0,0,0.12096098065376282,0.12096098065376282,559,Paddy McNair
0,0,0,77,DC,Tottenham,Manchester United,0,0,2014-12-28,4639,2014,22013,0,0,0,0,0,1.5702215433120728,1.5702215433120728,559,Paddy McNair
0,0,0,90,DC,Manchester United,Newcastle United,3,1,2014-12-26,4636,2014,20690,0,0,0,0,0,0.2768738269805908,0.2768738269805908,559,Paddy McNair
0,0,0,1,Sub,Manchester United,Liverpool,3,0,2014-12-14,4616,2014,21087,0,0,0,0,0,0,0,559,Paddy McNair
0,0,0,38,DC,Southampton,Manchester United,1,2,2014-12-08,4608,2014,23080,0,0,0,0,0,0,0,559,Paddy McNair
0,0,0,90,DC,Arsenal,Manchester United,1,2,2014-11-22,4675,2014,18812,0,0,0,0,0,0.026626477017998695,0.026626477017998695,559,Paddy McNair
0,0,0,90,DC,Manchester United,Crystal Palace,1,0,2014-11-08,4661,2014,19349,0.06188215687870979,0,2,0,0,0.15968948602676392,0.09780733287334442,559,Paddy McNair
0,0,0,31,Sub,Manchester City,Manchester United,1,0,2014-11-02,4656,2014,18794,0,0,0,0,0,0.0782596617937088,0.0782596617937088,559,Paddy McNair
0,0,0,90,DC,Manchester United,Everton,2,1,2014-10-05,4695,2014,19982,0,0,0,0,0,0.20048828423023224,0.20048828423023224,559,Paddy McNair
0,0,0,90,DC,Manchester United,West Ham,2,1,2014-09-27,4740,2014,18548,0,0,0,0,0,0.18352630734443665,0.18352630734443665,559,Paddy McNair
