goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,2,0.039586130529642105,90,DC,Nice,Guingamp,3,0,2019-04-28,10976,2018,328982,0,0,0,0,0.039586130529642105,0.20984795689582825,0.20984795689582825,1071,Papy Djilobodji
0,0,0,8,Sub,Guingamp,Monaco,1,1,2019-04-06,10950,2018,322804,0,0,0,0,0,0,0,1071,Papy Djilobodji
0,0,0,59,DC,Guingamp,Reims,0,1,2019-01-26,10856,2018,312494,0.04759708419442177,0,1,0,0,0.14556394517421722,0.09796686470508575,1071,Papy Djilobodji
0,0,0,16,Sub,Paris Saint Germain,Guingamp,9,0,2019-01-19,10844,2018,312214,0,0,0,0,0,0,0,1071,Papy Djilobodji
0,1,0.048470478504896164,90,DC,Dijon,Angers,2,1,2018-05-19,8937,2017,240649,0.066910520195961,0,1,0,0.048470478504896164,0.10706496238708496,0.10706496238708496,1071,Papy Djilobodji
0,0,0,90,DC,Lille,Dijon,2,1,2018-05-12,8929,2017,239632,0,0,0,0,0,0.32599982619285583,0.32599982619285583,1071,Papy Djilobodji
0,0,0,90,DC,Dijon,Guingamp,3,1,2018-05-06,8917,2017,238266,0,0,0,0,0,0.06036307290196419,0.06036307290196419,1071,Papy Djilobodji
0,0,0,90,DC,Bordeaux,Dijon,3,1,2018-04-28,8907,2017,236117,0,0,0,0,0,0,0,1071,Papy Djilobodji
0,1,0.07537791877985,90,DC,Dijon,Lyon,2,5,2018-04-20,8902,2017,234044,0,0,0,0,0.07537791877985,0.12241557985544205,0.04703766480088234,1071,Papy Djilobodji
0,1,0.04729046672582626,90,DC,Nantes,Dijon,1,1,2018-04-14,8891,2017,232416,0,0,0,0,0.04729046672582626,0,0,1071,Papy Djilobodji
0,0,0,90,DC,Toulouse,Dijon,0,1,2018-04-07,8884,2017,230747,0.11974168568849564,0,1,0,0,0.11974168568849564,0,1071,Papy Djilobodji
0,0,0,90,DC,Montpellier,Dijon,2,2,2018-03-17,8861,2017,224325,0,0,0,0,0,0.03095819801092148,0.03095819801092148,1071,Papy Djilobodji
0,0,0,90,DC,Dijon,Amiens,1,1,2018-03-10,8846,2017,222681,0.17790542542934418,1,2,0,0,0.2580740451812744,0.08016861975193024,1071,Papy Djilobodji
0,0,0,90,DC,Saint-Etienne,Dijon,2,2,2018-03-03,8844,2017,221375,0,0,0,0,0,0.6822495460510254,0.6822495460510254,1071,Papy Djilobodji
0,0,0,90,DC,Dijon,Caen,2,0,2018-02-24,8834,2017,219543,0,0,0,0,0,0,0,1071,Papy Djilobodji
0,1,0.07334163784980774,90,DC,Troyes,Dijon,0,0,2018-02-20,8803,2017,218809,0,0,0,0,0.07334163784980774,0,0,1071,Papy Djilobodji
0,0,0,90,DC,Monaco,Dijon,4,0,2018-02-16,8824,2017,217721,0,0,0,0,0,0.059680115431547165,0.059680115431547165,1071,Papy Djilobodji
0,1,0.01271284930408001,90,DC,Dijon,Nice,3,2,2018-02-10,8814,2017,216041,0,0,0,0,0.01271284930408001,0,0,1071,Papy Djilobodji
0,0,0,90,DC,Dijon,Metz,1,1,2018-01-13,8756,2017,207958,0,0,0,0,0,0.04049517959356308,0.04049517959356308,1071,Papy Djilobodji
0,0,0,90,DC,Angers,Dijon,2,1,2017-12-20,8748,2017,203572,0,0,0,0,0,0.01484302431344986,0.01484302431344986,1071,Papy Djilobodji
0,1,0.03801590949296951,90,DC,Dijon,Lille,3,0,2017-12-16,8736,2017,205499,0,0,0,0,0.03801590949296951,0.13770492374897003,0.13770492374897003,1071,Papy Djilobodji
0,0,0,90,DC,Guingamp,Dijon,4,0,2017-12-09,8728,2017,199167,0,0,0,0,0,0.03777679055929184,0.03777679055929184,1071,Papy Djilobodji
0,0,0,90,DC,Dijon,Bordeaux,3,2,2017-12-01,8722,2017,184247,0,0,0,0,0,1.235648512840271,1.235648512840271,1071,Papy Djilobodji
0,1,0.007917363196611404,90,DC,Amiens,Dijon,2,1,2017-11-28,8705,2017,183955,0.0076978751458227634,0,1,0,0.007917363196611404,0.11714718490839005,0.10153194516897202,1071,Papy Djilobodji
0,1,0.07263157516717911,90,DC,Dijon,Toulouse,3,1,2017-11-25,8701,2017,183690,0,0,0,0,0.07263157516717911,0.005744604393839836,0.005744604393839836,1071,Papy Djilobodji
0,0,0,90,DC,Dijon,Troyes,3,1,2017-11-18,8688,2017,183135,0.020316841080784798,0,1,0,0,0.6310958862304688,0.6310958862304688,1071,Papy Djilobodji
0,0,0,90,DC,Nice,Dijon,1,0,2017-11-05,8677,2017,182760,0.06898582726716995,0,1,0,0,0.07942196726799011,0.010436139069497585,1071,Papy Djilobodji
0,1,0.040156539529561996,90,DC,Dijon,Nantes,1,0,2017-10-28,8667,2017,182830,0,0,0,0,0.040156539529561996,0,0,1071,Papy Djilobodji
0,0,0,90,DC,Metz,Dijon,1,2,2017-10-21,8657,2017,182484,0,0,0,0,0,0,0,1071,Papy Djilobodji
0,2,0.10181247442960739,90,DC,Dijon,Paris Saint Germain,1,2,2017-10-14,8652,2017,182054,0,0,0,0,0.10181247442960739,0.12501056492328644,0.12501056492328644,1071,Papy Djilobodji
0,4,0.1420489400625229,90,DC,Dijon,Strasbourg,1,1,2017-09-30,8637,2017,182275,0.01816367916762829,0,1,0,0.1420489400625229,1.0859912633895874,1.0574748516082764,1071,Papy Djilobodji
0,2,0.12461356818675995,90,DC,Lyon,Dijon,3,3,2017-09-23,8629,2017,181820,0,0,0,0,0.12461356818675995,0.2823333144187927,0.2823333144187927,1071,Papy Djilobodji
0,1,0.26052168011665344,90,DC,Dijon,Saint-Etienne,0,1,2017-09-16,8620,2017,181306,0,0,0,0,0.26052168011665344,0.10375991463661194,0.10375991463661194,1071,Papy Djilobodji
0,1,0.012415540404617786,90,DC,Caen,Dijon,2,1,2017-09-09,8605,2017,181044,0,0,0,0,0.012415540404617786,0.29849040508270264,0.29849040508270264,1071,Papy Djilobodji
0,0,0,90,DC,West Bromwich Albion,Sunderland,2,0,2017-01-21,3355,2016,132031,0,0,0,0,0,0.05975900590419769,0.05975900590419769,1071,Papy Djilobodji
0,0,0,90,DC,Sunderland,Stoke,1,3,2017-01-14,3342,2016,130741,0,0,0,0,0,0,0,1071,Papy Djilobodji
0,0,0,90,DC,Sunderland,Liverpool,2,2,2017-01-02,3334,2016,129755,0,0,0,0,0,0,0,1071,Papy Djilobodji
0,0,0,90,DC,Burnley,Sunderland,4,1,2016-12-31,3157,2016,130124,0,0,0,0,0,0.016882961615920067,0.016882961615920067,1071,Papy Djilobodji
0,2,0.1286841332912445,90,DC,Manchester United,Sunderland,3,1,2016-12-26,3147,2016,129576,0,0,0,0,0.1286841332912445,0.11073139309883118,0.11073139309883118,1071,Papy Djilobodji
0,0,0,90,DC,Sunderland,Watford,1,0,2016-12-17,3139,2016,128701,0,0,0,0,0,0.050023313611745834,0.050023313611745834,1071,Papy Djilobodji
0,0,0,90,DC,Sunderland,Chelsea,0,1,2016-12-14,3128,2016,130793,0.08089186251163483,0,1,0,0,0.08089186251163483,0,1071,Papy Djilobodji
0,3,0.17052240669727325,90,DC,Swansea,Sunderland,3,0,2016-12-10,3117,2016,130368,0,0,0,0,0.17052240669727325,0,0,1071,Papy Djilobodji
0,1,0.018806561827659607,90,DC,Sunderland,Leicester,2,1,2016-12-03,3108,2016,128813,0,0,0,0,0.018806561827659607,0.09879231452941895,0.09879231452941895,1071,Papy Djilobodji
0,0,0,90,DC,Sunderland,Hull,3,0,2016-11-19,2700,2016,128675,0,0,0,0,0,0.06589002907276154,0.06589002907276154,1071,Papy Djilobodji
0,0,0,90,DC,Bournemouth,Sunderland,1,2,2016-11-05,2687,2016,127947,0,0,0,0,0,0.03335962072014809,0.03335962072014809,1071,Papy Djilobodji
0,0,0,49,Sub,Sunderland,Arsenal,1,4,2016-10-29,2677,2016,127804,0,0,0,0,0,0,0,1071,Papy Djilobodji
0,0,0,90,DC,Stoke,Sunderland,2,0,2016-10-15,535,2016,126929,0,0,0,0,0,0.12273120880126953,0.12273120880126953,1071,Papy Djilobodji
