goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,9,Sub,Arsenal,Burnley,5,0,2018-05-06,7487,2017,238359,0,0,0,0,0,0.18810899555683136,0.18810899555683136,507,Per Mertesacker
0,0,0,16,Sub,West Bromwich Albion,Arsenal,1,1,2017-12-31,7328,2017,206378,0,0,0,0,0,0,0,507,Per Mertesacker
0,0,0,65,DC,Southampton,Arsenal,1,1,2017-12-10,7278,2017,198946,0,0,0,0,0,0.1002286747097969,0.1002286747097969,507,Per Mertesacker
0,1,0.01875656098127365,90,DC,Arsenal,Swansea,2,1,2017-10-28,7209,2017,177475,0,0,0,0,0.01875656098127365,0.7149674892425537,0.7149674892425537,507,Per Mertesacker
0,0,0,90,DC,Everton,Arsenal,2,5,2017-10-22,7200,2017,177160,0,0,0,0,0,0.7937119007110596,0.7937119007110596,507,Per Mertesacker
1,1,0.06898894160985947,90,DC,Watford,Arsenal,2,1,2017-10-14,7198,2017,179878,0,0,0,1,0.06898894160985947,0.0367816798388958,0.0367816798388958,507,Per Mertesacker
0,0,0,35,Sub,Arsenal,Everton,3,1,2017-05-21,3510,2016,125150,0,0,0,0,0,0,0,507,Per Mertesacker
0,1,0.0397789403796196,53,DC,Arsenal,Norwich,1,0,2016-04-30,432,2015,62837,0,0,0,0,0.0397789403796196,0.06726273894309998,0.06726273894309998,507,Per Mertesacker
0,2,0.08934026956558228,90,DC,Sunderland,Arsenal,0,0,2016-04-24,424,2015,62519,0,0,0,0,0.08934026956558228,0.15668298304080963,0.15668298304080963,507,Per Mertesacker
0,0,0,90,DC,Arsenal,West Bromwich Albion,2,0,2016-04-21,419,2015,66831,0,0,0,0,0,0.38276180624961853,0.38276180624961853,507,Per Mertesacker
0,0,0,90,DC,Tottenham,Arsenal,2,2,2016-03-05,359,2015,66514,0,0,0,0,0,0.08173633366823196,0.08173633366823196,507,Per Mertesacker
0,0,0,90,DC,Arsenal,Swansea,1,2,2016-03-02,355,2015,66666,0.3240130543708801,0,1,0,0,0.46101051568984985,0.46101051568984985,507,Per Mertesacker
0,2,0.3127686381340027,90,DC,Arsenal,Leicester,2,1,2016-02-14,338,2015,60029,0,0,0,0,0.3127686381340027,0.22972889244556427,0.22972889244556427,507,Per Mertesacker
0,0,0,17,DC,Arsenal,Chelsea,0,1,2016-01-24,310,2015,59398,0,0,0,0,0,0,0,507,Per Mertesacker
0,0,0,90,DC,Stoke,Arsenal,0,0,2016-01-17,299,2015,58586,0,0,0,0,0,0.06558383256196976,0.06558383256196976,507,Per Mertesacker
0,0,0,90,DC,Liverpool,Arsenal,3,3,2016-01-14,289,2015,59714,0,0,0,0,0,0.10119853913784027,0.10119853913784027,507,Per Mertesacker
0,0,0,90,DC,Arsenal,Newcastle United,1,0,2016-01-02,273,2015,60745,0.020703677088022232,0,1,0,0,0.2167290896177292,0.2167290896177292,507,Per Mertesacker
0,1,0.738467812538147,90,DC,Arsenal,Bournemouth,2,0,2015-12-28,266,2015,57994,0,0,0,0,0.738467812538147,0,0,507,Per Mertesacker
0,0,0,90,DC,Southampton,Arsenal,4,0,2015-12-26,260,2015,61089,0,0,0,0,0,0,0,507,Per Mertesacker
0,0,0,90,DC,Arsenal,Manchester City,2,1,2015-12-22,250,2015,61457,0,0,0,0,0,0.6404935121536255,0.6404935121536255,507,Per Mertesacker
0,0,0,90,DC,Aston Villa,Arsenal,0,2,2015-12-13,237,2015,58805,0,0,0,0,0,0.05080079287290573,0.05080079287290573,507,Per Mertesacker
0,0,0,90,DC,Arsenal,Sunderland,3,1,2015-12-05,225,2015,59259,0,0,0,0,0,0.45314303040504456,0.45314303040504456,507,Per Mertesacker
0,0,0,90,DC,Norwich,Arsenal,1,1,2015-11-29,220,2015,58174,0,0,0,0,0,0.1820058822631836,0.1820058822631836,507,Per Mertesacker
0,0,0,90,DC,West Bromwich Albion,Arsenal,2,1,2015-11-21,204,2015,61443,0,0,0,0,0,0.5518977046012878,0.5518977046012878,507,Per Mertesacker
0,1,0.0882176086306572,90,DC,Arsenal,Tottenham,1,1,2015-11-08,199,2015,59837,0,0,0,0,0.0882176086306572,0.025697188451886177,0.025697188451886177,507,Per Mertesacker
0,0,0,90,DC,Swansea,Arsenal,0,3,2015-10-31,185,2015,58750,0,0,0,0,0,0.3129462003707886,0.3129462003707886,507,Per Mertesacker
0,0,0,90,DC,Watford,Arsenal,0,3,2015-10-17,168,2015,65190,0,0,0,0,0,1.031514286994934,1.031514286994934,507,Per Mertesacker
0,0,0,90,DC,Arsenal,Manchester United,3,0,2015-10-04,160,2015,64655,0,0,0,0,0,0,0,507,Per Mertesacker
0,0,0,90,DC,Leicester,Arsenal,2,5,2015-09-26,144,2015,64393,0,0,0,0,0,1.0064188241958618,1.0064188241958618,507,Per Mertesacker
0,0,0,90,DC,Crystal Palace,Arsenal,1,2,2015-08-16,98,2015,57401,0,0,0,0,0,0.13214775919914246,0.13214775919914246,507,Per Mertesacker
0,1,0.08039002120494843,90,DC,Arsenal,West Ham,0,2,2015-08-09,88,2015,57084,0,0,0,0,0.08039002120494843,0.23173508048057556,0.23173508048057556,507,Per Mertesacker
0,1,0.1004331186413765,90,DC,Arsenal,West Bromwich Albion,4,1,2015-05-24,4433,2014,24881,0,0,0,0,0.1004331186413765,0.372531920671463,0.372531920671463,507,Per Mertesacker
0,0,0,90,DC,Arsenal,Sunderland,0,0,2015-05-20,4429,2014,25046,0,0,0,0,0,0.7892914414405823,0.7892914414405823,507,Per Mertesacker
0,0,0,90,DC,Manchester United,Arsenal,1,1,2015-05-17,4427,2014,25608,0,0,0,0,0,0,0,507,Per Mertesacker
0,0,0,90,DC,Arsenal,Swansea,0,1,2015-05-11,4418,2014,25649,0,0,0,0,0,0.23691381514072418,0.23691381514072418,507,Per Mertesacker
0,0,0,90,DC,Hull,Arsenal,1,3,2015-05-04,4408,2014,23906,0,0,0,0,0,0.646530270576477,0.646530270576477,507,Per Mertesacker
0,1,0.0649489313364029,90,DC,Arsenal,Chelsea,0,0,2015-04-26,4477,2014,24743,0,0,0,0,0.0649489313364029,0.1877707690000534,0.1877707690000534,507,Per Mertesacker
0,0,0,90,DC,Burnley,Arsenal,0,1,2015-04-11,4457,2014,25826,0,0,0,0,0,0.02755090780556202,0.02755090780556202,507,Per Mertesacker
0,0,0,90,DC,Arsenal,Liverpool,4,1,2015-04-04,4440,2014,23755,0,0,0,0,0,0.18863742053508759,0.18863742053508759,507,Per Mertesacker
0,0,0,90,DC,Arsenal,West Ham,3,0,2015-03-14,4494,2014,24909,0,0,0,0,0,1.1166977882385254,1.1166977882385254,507,Per Mertesacker
0,2,0.18544049561023712,90,DC,Queens Park Rangers,Arsenal,1,2,2015-03-04,4490,2014,27359,0,0,0,0,0.18544049561023712,0.142009899020195,0.142009899020195,507,Per Mertesacker
0,0,0,90,DC,Crystal Palace,Arsenal,1,2,2015-02-21,4537,2014,26865,0,0,0,0,0,0,0,507,Per Mertesacker
0,0,0,90,DC,Arsenal,Leicester,2,1,2015-02-10,4525,2014,26879,0,0,0,0,0,0.04206155240535736,0.04206155240535736,507,Per Mertesacker
0,0,0,90,DC,Tottenham,Arsenal,2,1,2015-02-07,4515,2014,26675,0,0,0,0,0,0,0,507,Per Mertesacker
0,0,0,90,DC,Arsenal,Aston Villa,5,0,2015-02-01,4513,2014,22352,0.055542755872011185,0,1,0,0,0.5071408152580261,0.45159804821014404,507,Per Mertesacker
0,0,0,90,DC,Manchester City,Arsenal,0,2,2015-01-18,4579,2014,21712,0,0,0,0,0,0,0,507,Per Mertesacker
0,0,0,90,DC,Arsenal,Stoke,3,0,2015-01-11,4569,2014,23039,0,0,0,0,0,0,0,507,Per Mertesacker
0,0,0,90,DC,Southampton,Arsenal,2,0,2015-01-01,4555,2014,22835,0,0,0,0,0,0.09003283828496933,0.09003283828496933,507,Per Mertesacker
0,0,0,90,DC,West Ham,Arsenal,1,2,2014-12-28,4645,2014,22123,0,0,0,0,0,0.03463815525174141,0.03463815525174141,507,Per Mertesacker
0,0,0,90,DC,Arsenal,Queens Park Rangers,2,1,2014-12-26,4638,2014,22601,0,0,0,0,0,0.3700724244117737,0.3700724244117737,507,Per Mertesacker
0,0,0,90,DC,Liverpool,Arsenal,2,2,2014-12-21,4627,2014,21739,0,0,0,0,0,0,0,507,Per Mertesacker
0,1,0.011761498637497425,90,DC,Arsenal,Newcastle United,4,1,2014-12-13,4615,2014,20420,0,0,0,0,0.011761498637497425,0.10380573570728302,0.10380573570728302,507,Per Mertesacker
0,0,0,90,DC,Stoke,Arsenal,3,2,2014-12-06,4601,2014,23107,0,0,0,0,0,0.05446955934166908,0.05446955934166908,507,Per Mertesacker
0,0,0,90,DC,Arsenal,Southampton,1,0,2014-12-03,4598,2014,21646,0,0,0,0,0,0.03830834478139877,0.03830834478139877,507,Per Mertesacker
0,1,0.06545066833496094,90,DC,West Bromwich Albion,Arsenal,0,1,2014-11-29,4679,2014,21445,0,0,0,0,0.06545066833496094,0.2783169448375702,0.2783169448375702,507,Per Mertesacker
0,2,0.12033642828464508,90,DC,Arsenal,Manchester United,1,2,2014-11-22,4675,2014,18797,0,0,0,0,0.12033642828464508,0.47329583764076233,0.47329583764076233,507,Per Mertesacker
0,1,0.07880879938602448,90,DC,Swansea,Arsenal,2,1,2014-11-09,4668,2014,19912,0,0,0,0,0.07880879938602448,0.08929005265235901,0.08929005265235901,507,Per Mertesacker
