goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,20,MC,Chelsea,Hull,2,0,2017-01-22,3359,2016,131475,0,0,0,0,0,0.03878835216164589,0.03878835216164589,649,Ryan Mason
0,2,0.07582072913646698,86,MC,Hull,Bournemouth,3,1,2017-01-14,3344,2016,130413,0.01523507572710514,0,1,0,0.07582072913646698,0.07350286096334457,0.034921713173389435,649,Ryan Mason
0,2,0.050474416464567184,23,Sub,West Bromwich Albion,Hull,3,1,2017-01-02,3333,2016,129997,0,0,0,0,0.050474416464567184,0.13016964495182037,0.13016964495182037,649,Ryan Mason
0,0,0,25,Sub,Hull,Manchester City,0,3,2016-12-26,3152,2016,129292,0,0,0,0,0,0,0,649,Ryan Mason
0,0,0,23,Sub,Tottenham,Hull,3,0,2016-12-15,3134,2016,131510,0,0,0,0,0,0,0,649,Ryan Mason
0,0,0,63,ML,Middlesbrough,Hull,1,0,2016-12-06,3114,2016,128666,0,0,0,0,0,0,0,649,Ryan Mason
0,0,0,49,MC,Hull,West Bromwich Albion,1,1,2016-11-26,2708,2016,129257,0,0,0,0,0,0,0,649,Ryan Mason
0,4,0.17852681875228882,81,ML,Sunderland,Hull,3,0,2016-11-19,2700,2016,128693,0.02518436871469021,0,1,0,0.17852681875228882,0.3213375508785248,0.13006386160850525,649,Ryan Mason
0,0,0,90,MC,Hull,Southampton,2,1,2016-11-06,2694,2016,128462,0.06431321799755096,0,1,0,0,0.16134105622768402,0.16134105622768402,649,Ryan Mason
0,1,0.012155720964074135,90,MC,Watford,Hull,1,0,2016-10-29,2679,2016,127869,0.0861898735165596,0,2,0,0.012155720964074135,0.04087700694799423,0.01169920340180397,649,Ryan Mason
0,1,0.07228071987628937,90,MC,Hull,Stoke,0,2,2016-10-22,545,2016,127191,0.12391165643930435,0,2,0,0.07228071987628937,0.41426366567611694,0.21807128190994263,649,Ryan Mason
1,3,0.07483383268117905,81,MC,Bournemouth,Hull,6,1,2016-10-15,533,2016,127616,0,0,0,1,0.07483383268117905,0.07483383268117905,0.0201030895113945,649,Ryan Mason
0,4,0.140910342335701,90,MC,Hull,Chelsea,0,2,2016-10-01,524,2016,127106,0,0,0,0,0.140910342335701,0.16480368375778198,0.023893339559435844,649,Ryan Mason
0,0,0,76,MC,Liverpool,Hull,5,1,2016-09-24,516,2016,126627,0,0,0,0,0,0,0,649,Ryan Mason
0,0,0,29,Sub,Hull,Arsenal,1,4,2016-09-17,502,2016,126340,0,0,0,0,0,0.009081806987524033,0.009081806987524033,649,Ryan Mason
0,0,0,15,Sub,Burnley,Hull,1,1,2016-09-10,496,2016,126048,0.014251453801989555,0,1,0,0,0.014251453801989555,0,649,Ryan Mason
0,0,0,48,DMC,Newcastle United,Tottenham,5,1,2016-05-15,454,2015,57764,0,0,0,0,0,0.017771223559975624,0.017771223559975624,649,Ryan Mason
0,0,0,82,DMC,Tottenham,Southampton,1,2,2016-05-08,444,2015,62868,0,0,0,0,0,0.0896390974521637,0.0896390974521637,649,Ryan Mason
0,1,0.10178978741168976,22,Sub,Chelsea,Tottenham,2,2,2016-05-02,436,2015,62968,0,0,0,0,0.10178978741168976,0.10178978741168976,0.10178978741168976,649,Ryan Mason
0,0,0,14,Sub,Tottenham,West Bromwich Albion,1,1,2016-04-25,426,2015,62624,0,0,0,0,0,0,0,649,Ryan Mason
0,0,0,2,Sub,Stoke,Tottenham,0,4,2016-04-18,414,2015,62914,0.034266818314790726,0,1,0,0,0.034266818314790726,0,649,Ryan Mason
0,0,0,1,Sub,Tottenham,Manchester United,3,0,2016-04-10,402,2015,67367,0,0,0,0,0,0,0,649,Ryan Mason
0,0,0,1,Sub,Liverpool,Tottenham,1,1,2016-04-02,391,2015,65945,0,0,0,0,0,0,0,649,Ryan Mason
0,1,0.05402713268995285,7,Sub,Tottenham,Bournemouth,3,0,2016-03-20,383,2015,66869,0,0,0,0,0.05402713268995285,0.07298396527767181,0.018956836313009262,649,Ryan Mason
0,0,0,1,Sub,Aston Villa,Tottenham,0,2,2016-03-13,372,2015,66964,0,0,0,0,0,0,0,649,Ryan Mason
0,1,0.02100815437734127,22,Sub,Tottenham,Arsenal,2,2,2016-03-05,359,2015,66508,0,0,0,0,0.02100815437734127,0.11783718317747116,0.09682902693748474,649,Ryan Mason
0,1,0.014144383370876312,90,DMC,West Ham,Tottenham,1,0,2016-03-02,354,2015,67346,0,0,0,0,0.014144383370876312,0.09405780583620071,0.0799134224653244,649,Ryan Mason
0,1,0.048590727150440216,13,Sub,Tottenham,Swansea,2,1,2016-02-28,347,2015,66235,0.013322764076292515,0,1,0,0.048590727150440216,0.15450531244277954,0.10591459274291992,649,Ryan Mason
0,0,0,58,MC,Tottenham,Chelsea,0,0,2015-11-29,217,2015,58713,0,0,0,0,0,0.047628309577703476,0.047628309577703476,649,Ryan Mason
0,3,0.9648905396461487,18,Sub,Tottenham,West Ham,4,1,2015-11-22,209,2015,60975,0,0,0,0,0.9648905396461487,0.9648905396461487,0,649,Ryan Mason
0,0,0,7,Sub,Arsenal,Tottenham,1,1,2015-11-08,199,2015,59859,0,0,0,0,0,0,0,649,Ryan Mason
0,0,0,18,Sub,Tottenham,Aston Villa,3,1,2015-11-03,190,2015,59017,0,0,0,0,0,0.05726952105760574,0.05726952105760574,649,Ryan Mason
0,0,0,20,Sub,Bournemouth,Tottenham,1,5,2015-10-25,178,2015,65309,0,0,0,0,0,0.10526743531227112,0.10526743531227112,649,Ryan Mason
1,3,0.4554470181465149,87,DMC,Sunderland,Tottenham,0,1,2015-09-13,128,2015,64007,0.05780579149723053,0,2,1,0.4554470181465149,0.5350094437599182,0.502526044845581,649,Ryan Mason
0,4,0.882472038269043,89,AMC,Tottenham,Everton,0,0,2015-08-29,118,2015,63801,0.5544131398200989,0,4,0,0.882472038269043,1.4519933462142944,0.05987031012773514,649,Ryan Mason
0,2,0.09624610096216202,90,DMC,Leicester,Tottenham,1,1,2015-08-22,105,2015,62713,0.024998527020215988,0,1,0,0.09624610096216202,0.5971890687942505,0.4759444296360016,649,Ryan Mason
0,3,0.45508652925491333,71,DMC,Tottenham,Stoke,2,2,2015-08-15,95,2015,57556,0.016330230981111526,0,1,0,0.45508652925491333,0.47141674160957336,0.13466988503932953,649,Ryan Mason
0,0,0,36,Sub,Manchester United,Tottenham,1,0,2015-08-08,81,2015,528958,0,0,0,0,0,0.06617402285337448,0.06617402285337448,649,Ryan Mason
0,0,0,90,DMC,Everton,Tottenham,0,1,2015-05-24,4434,2014,25747,0.17473666369915009,0,3,0,0,1.080775260925293,0.9060386419296265,649,Ryan Mason
0,0,0,80,DMC,Tottenham,Hull,2,0,2015-05-16,4422,2014,24224,0.6294743418693542,1,2,0,0,0.8230505585670471,0.19357620179653168,649,Ryan Mason
0,3,0.11907912790775299,90,DMC,Stoke,Tottenham,3,0,2015-05-09,4414,2014,24953,0.045462965965270996,0,1,0,0.11907912790775299,0.16353674232959747,0.04445761814713478,649,Ryan Mason
0,1,0.3807893991470337,71,DMC,Tottenham,Manchester City,0,1,2015-05-03,4407,2014,25213,0.028194719925522804,0,1,0,0.3807893991470337,0.9003729224205017,0.49138882756233215,649,Ryan Mason
0,1,0.07116059958934784,90,DMC,Southampton,Tottenham,2,2,2015-04-25,4468,2014,25991,0,0,0,0,0.07116059958934784,0.13264892995357513,0.061488326638936996,649,Ryan Mason
0,0,0,1,Sub,Newcastle United,Tottenham,1,3,2015-04-19,4467,2014,24326,0,0,0,0,0,0.4003274142742157,0.4003274142742157,649,Ryan Mason
0,0,0,90,DMC,Tottenham,Aston Villa,0,1,2015-04-11,4455,2014,24389,0,0,0,0,0,0.058478306978940964,0.058478306978940964,649,Ryan Mason
0,1,0.02180425077676773,85,DMC,Burnley,Tottenham,0,0,2015-04-05,4447,2014,23989,0.07521836459636688,0,3,0,0.02180425077676773,0.14849041402339935,0.13698449730873108,649,Ryan Mason
0,0,0,90,DMC,Tottenham,Leicester,4,3,2015-03-21,4505,2014,23316,0,0,0,0,0,0.30993133783340454,0.30993133783340454,649,Ryan Mason
0,1,0.041505973786115646,65,DMC,Manchester United,Tottenham,3,0,2015-03-15,4501,2014,23274,0,0,0,0,0.041505973786115646,0.041505973786115646,0.041505973786115646,649,Ryan Mason
0,1,0.10696636140346527,90,DMC,Queens Park Rangers,Tottenham,1,2,2015-03-07,4492,2014,26706,0.5796705484390259,1,1,0,0.10696636140346527,1.173067331314087,0.4864303767681122,649,Ryan Mason
1,2,0.4194524884223938,90,DMC,Tottenham,Swansea,3,2,2015-03-04,4489,2014,24691,0.07986456155776978,0,2,1,0.4194524884223938,1.0597881078720093,0.6403356194496155,649,Ryan Mason
0,4,0.09903230518102646,82,DMC,Tottenham,West Ham,2,2,2015-02-22,4542,2014,27430,0.021007120609283447,0,1,0,0.09903230518102646,0.14734412729740143,0.08875054866075516,649,Ryan Mason
0,2,0.04108383134007454,71,DMC,Liverpool,Tottenham,3,2,2015-02-10,4528,2014,26074,0.07206445187330246,0,1,0,0.04108383134007454,0.5066985487937927,0.4079800844192505,649,Ryan Mason
0,4,0.07348795980215073,90,DMC,Tottenham,Arsenal,2,1,2015-02-07,4515,2014,26664,0,0,0,0,0.07348795980215073,0.1270327866077423,0.09141595661640167,649,Ryan Mason
0,0,0,76,DMC,West Bromwich Albion,Tottenham,0,3,2015-01-31,4586,2014,26952,0,0,0,0,0,0.11151325702667236,0.11151325702667236,649,Ryan Mason
0,0,0,13,DMC,Tottenham,Chelsea,5,3,2015-01-01,4560,2014,22931,0,0,0,0,0,0,0,649,Ryan Mason
0,2,0.6205794215202332,90,DMC,Tottenham,Manchester United,0,0,2014-12-28,4639,2014,22004,0,0,0,0,0.6205794215202332,0.6337375044822693,0.013158062472939491,649,Ryan Mason
0,0,0,43,Sub,Leicester,Tottenham,1,2,2014-12-26,4637,2014,20579,0,0,0,0,0,0,0,649,Ryan Mason
0,3,0.1859014630317688,43,DMC,Tottenham,Burnley,2,1,2014-12-20,4621,2014,22383,0.029480602592229843,1,2,0,0.1859014630317688,0.5113745927810669,0.46565529704093933,649,Ryan Mason
0,1,0.017839351668953896,72,MC,Swansea,Tottenham,1,2,2014-12-14,4617,2014,21312,0,0,0,0,0.017839351668953896,0.03995132073760033,0.02211196906864643,649,Ryan Mason
0,0,0,67,DMC,Tottenham,Crystal Palace,0,0,2014-12-06,4602,2014,23125,0.030167359858751297,0,1,0,0,0.324843168258667,0.324843168258667,649,Ryan Mason
0,1,0.02608313038945198,60,DMC,Chelsea,Tottenham,3,0,2014-12-03,4595,2014,22425,0,0,0,0,0.02608313038945198,0.14589177072048187,0.1198086366057396,649,Ryan Mason
0,2,0.04317662864923477,90,DMC,Tottenham,Everton,2,1,2014-11-30,4688,2014,21325,0.07563461363315582,0,2,0,0.04317662864923477,0.15368402004241943,0.03487277403473854,649,Ryan Mason
0,2,0.03421076759696007,90,DMC,Hull,Tottenham,1,2,2014-11-23,4677,2014,19394,0.19231003522872925,0,5,0,0.03421076759696007,1.1577801704406738,1.020739197731018,649,Ryan Mason
0,2,0.04038595035672188,90,DMC,Tottenham,Stoke,1,2,2014-11-09,4666,2014,20041,0.013926859945058823,0,1,0,0.04038595035672188,0.11196799576282501,0.09804113954305649,649,Ryan Mason
0,2,0.044988736510276794,90,MC,Aston Villa,Tottenham,1,2,2014-11-02,4657,2014,19615,0.02498714253306389,0,1,0,0.044988736510276794,0.22330281138420105,0.18539932370185852,649,Ryan Mason
0,2,0.033182293176651,90,DMC,Tottenham,Newcastle United,1,2,2014-10-26,4715,2014,19075,0.5096161365509033,1,1,0,0.033182293176651,0.9034299254417419,0.3606314957141876,649,Ryan Mason
0,3,0.46971192955970764,73,DMC,Manchester City,Tottenham,4,1,2014-10-18,4699,2014,19171,0.024281105026602745,0,1,0,0.46971192955970764,0.8089433908462524,0.3149503469467163,649,Ryan Mason
0,0,0,90,DMC,Tottenham,Southampton,1,0,2014-10-05,4696,2014,20397,0,0,0,0,0,0,0,649,Ryan Mason
0,1,0.026883771643042564,90,DMC,Arsenal,Tottenham,1,1,2014-09-27,4746,2014,18428,0,0,0,0,0.026883771643042564,0.026883771643042564,0,649,Ryan Mason
