goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.06916109472513199,28,Sub,Arsenal,Stoke,3,0,2018-04-01,7429,2017,226997,0,0,0,0,0.06916109472513199,0.06916109472513199,0,811,Saido Berahino
0,0,0,13,Sub,Stoke,Everton,1,2,2018-03-17,7425,2017,223996,0,0,0,0,0,0,0,811,Saido Berahino
0,1,0.030364295467734337,42,Sub,Stoke,Brighton,1,1,2018-02-10,7385,2017,215226,0,0,0,0,0.030364295467734337,0.030364295467734337,0,811,Saido Berahino
0,0,0,5,Sub,Bournemouth,Stoke,2,1,2018-02-03,7370,2017,214832,0,0,0,0,0,0,0,811,Saido Berahino
0,0,0,3,Sub,Stoke,Watford,0,0,2018-01-31,7368,2017,215554,0,0,0,0,0,0,0,811,Saido Berahino
0,1,0.1500825136899948,18,Sub,Stoke,Newcastle United,0,1,2018-01-01,7337,2017,206641,0,0,0,0,0.1500825136899948,0.1500825136899948,0,811,Saido Berahino
0,1,0.28218045830726624,90,FW,Chelsea,Stoke,5,0,2017-12-30,7320,2017,206239,0,0,0,0,0.28218045830726624,0.28218045830726624,0,811,Saido Berahino
0,1,0.016168853268027306,25,Sub,Stoke,West Ham,0,3,2017-12-16,7297,2017,202707,0,0,0,0,0.016168853268027306,0.05964111164212227,0.043472256511449814,811,Saido Berahino
0,0,0,1,Sub,Stoke,Leicester,2,2,2017-11-04,7224,2017,179240,0,0,0,0,0,0,0,811,Saido Berahino
0,1,0.32010510563850403,10,Sub,Watford,Stoke,0,1,2017-10-28,7216,2017,177992,0.21524184942245483,0,1,0,0.32010510563850403,0.5353469848632812,0,811,Saido Berahino
0,1,0.031514186412096024,7,Sub,Stoke,Bournemouth,1,2,2017-10-21,7205,2017,177375,0,0,0,0,0.031514186412096024,0.031514186412096024,0,811,Saido Berahino
0,1,0.7611688375473022,73,FW,Stoke,Southampton,2,1,2017-09-30,7181,2017,178225,0,0,0,0,0,0.05495128035545349,0.05495128035545349,811,Saido Berahino
0,0,0,13,Sub,Stoke,Manchester United,2,2,2017-09-09,7155,2017,177239,0,0,0,0,0,0,0,811,Saido Berahino
0,1,0.06233123317360878,66,Sub,Stoke,Arsenal,1,0,2017-08-19,7135,2017,176245,0.12482845038175583,1,1,0,0.06233123317360878,0.1871596872806549,0,811,Saido Berahino
0,1,0.021833673119544983,73,FW,Everton,Stoke,1,0,2017-08-12,7125,2017,175925,0.028223108500242233,0,1,0,0.021833673119544983,0.050056781619787216,0,811,Saido Berahino
0,1,0.03707881271839142,28,Sub,Stoke,Arsenal,1,4,2017-05-13,3505,2016,133669,0.014400322921574116,0,1,0,0.03707881271839142,0.05147913470864296,0.014400322921574116,811,Saido Berahino
0,2,0.17690670490264893,90,FW,Stoke,West Ham,0,0,2017-04-29,3485,2016,134494,0.020115282386541367,0,1,0,0.17690670490264893,0.2509210705757141,0.07401435822248459,811,Saido Berahino
0,2,0.7148790955543518,79,FW,Swansea,Stoke,2,0,2017-04-22,3478,2016,134318,0,0,0,0,0.7148790955543518,0.2944161891937256,0,811,Saido Berahino
