goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,85,AML,Villarreal,Eibar,4,0,2020-07-19,12401,2019,409912,0.9192096590995789,1,4,0,0,1.9974095821380615,1.1193571090698242,965,Santiago Cazorla
0,0,0,24,Sub,Real Madrid,Villarreal,2,1,2020-07-16,12390,2019,409259,0,0,0,0,0,0.2092115879058838,0.2092115879058838,965,Santiago Cazorla
1,2,0.07237119972705841,90,AMC,Villarreal,Real Sociedad,1,2,2020-07-13,12382,2019,408360,0,0,0,1,0.07237119972705841,0.15194247663021088,0.07957127690315247,965,Santiago Cazorla
2,3,1.5155673027038574,90,AMC,Getafe,Villarreal,1,3,2020-07-08,12370,2019,406770,0.0740266814827919,0,1,0,0.02901206538081169,0.02901206538081169,0,965,Santiago Cazorla
0,1,0.07770909368991852,59,ML,Villarreal,Barcelona,1,4,2020-07-05,12361,2019,406068,0.04408260062336922,0,1,0,0.07770909368991852,0.7644625902175903,0.6426709294319153,965,Santiago Cazorla
0,3,0.978565514087677,22,Sub,Real Betis,Villarreal,0,2,2020-07-01,12345,2019,404777,0.0219781082123518,0,1,0,0.978565514087677,1.234907865524292,0.2952843904495239,965,Santiago Cazorla
0,0,0,90,ML,Villarreal,Valencia,2,0,2020-06-28,12342,2019,403623,0.7257493138313293,1,4,0,0,0.981399416923523,0.6163133382797241,965,Santiago Cazorla
0,0,0,61,ML,Villarreal,Sevilla,2,2,2020-06-22,12331,2019,401913,0.44585442543029785,1,2,0,0,0.40406545996665955,0.40406545996665955,965,Santiago Cazorla
0,0,0,6,Sub,Granada,Villarreal,0,1,2020-06-19,12318,2019,400776,0.052693165838718414,0,1,0,0,0,0,965,Santiago Cazorla
0,0,0,48,MC,Villarreal,Mallorca,1,0,2020-06-16,12309,2019,400146,0.01802409440279007,0,1,0,0,0.039753515273332596,0.039753515273332596,965,Santiago Cazorla
0,1,0.0780276507139206,60,MC,Celta Vigo,Villarreal,0,1,2020-06-13,12295,2019,399756,0.015924451872706413,0,1,0,0.0780276507139206,0.2228257954120636,0.144798144698143,965,Santiago Cazorla
0,0,0,90,MC,Villarreal,Leganes,1,2,2020-03-08,12288,2019,397468,0.7147819399833679,1,3,0,0,1.5580811500549316,1.4382885694503784,965,Santiago Cazorla
0,0,0,70,MC,Athletic Club,Villarreal,1,0,2020-03-01,12273,2019,396206,0.06078829616308212,0,1,0,0,0.38753408193588257,0.38753408193588257,965,Santiago Cazorla
0,0,0,90,MC,Atletico Madrid,Villarreal,3,1,2020-02-23,12264,2019,395351,0.09953796863555908,0,2,0,0,0.13878396153450012,0.11171527206897736,965,Santiago Cazorla
0,1,0.12973685562610626,90,AMC,Villarreal,Levante,2,1,2020-02-15,12262,2019,393759,0.0720815360546112,0,2,0,0.12973685562610626,0.35355034470558167,0.1517319530248642,965,Santiago Cazorla
0,1,0.0216101985424757,90,ML,Real Valladolid,Villarreal,1,1,2020-02-08,12248,2019,392743,0,0,0,0,0.0216101985424757,0.6425811648368835,0.6209709644317627,965,Santiago Cazorla
1,2,0.7906609177589417,90,MC,Villarreal,Osasuna,3,1,2020-02-02,12241,2019,391896,0.12709084153175354,1,2,0,0.04738325998187065,0.46165287494659424,0.4142695963382721,965,Santiago Cazorla
0,0,0,66,MC,Alaves,Villarreal,1,2,2020-01-25,12223,2019,390271,0.19468210637569427,0,3,0,0,0.40804922580718994,0.3475395143032074,965,Santiago Cazorla
1,4,0.8793045282363892,90,ML,Villarreal,Espanyol,1,2,2020-01-19,12222,2019,389676,0.12723079323768616,0,2,0,0.13602693378925323,0.346439003944397,0.14400018751621246,965,Santiago Cazorla
1,1,0.052221816033124924,28,Sub,Real Sociedad,Villarreal,1,2,2020-01-05,12209,2019,388136,0.014547694474458694,0,1,1,0.052221816033124924,0.06676951050758362,0.052221816033124924,965,Santiago Cazorla
0,0,0,22,Sub,Villarreal,Getafe,1,0,2019-12-21,12201,2019,371658,0,0,0,0,0,0.5043039321899414,0.5043039321899414,965,Santiago Cazorla
0,1,0.02009131759405136,90,MC,Villarreal,Celta Vigo,1,3,2019-11-24,12161,2019,365661,0.1221015602350235,0,1,0,0.02009131759405136,0.6699734926223755,0.6498821973800659,965,Santiago Cazorla
1,4,0.8597967624664307,90,MC,Mallorca,Villarreal,3,1,2019-11-10,12150,2019,363619,0.16634143888950348,0,6,0,0.11651911586523056,0.841546356678009,0.7645476460456848,965,Santiago Cazorla
0,4,0.25041937828063965,90,MC,Villarreal,Athletic Club,0,0,2019-11-03,12141,2019,362061,0.28083252906799316,0,1,0,0.25041937828063965,0.30054977536201477,0.05013040080666542,965,Santiago Cazorla
0,0,0,16,Sub,Eibar,Villarreal,2,1,2019-10-31,12127,2019,361027,0.24879157543182373,0,1,0,0,0.2677138149738312,0.018922235816717148,965,Santiago Cazorla
0,4,0.28357353806495667,90,MC,Villarreal,Alaves,4,1,2019-10-25,12121,2019,359120,0.8979223966598511,1,4,0,0.28357353806495667,1.0813766717910767,0.04241206869482994,965,Santiago Cazorla
0,1,0.0338803306221962,74,MC,Espanyol,Villarreal,0,1,2019-10-20,12107,2019,358633,0,0,0,0,0.0338803306221962,0.6043131947517395,0.6043131947517395,965,Santiago Cazorla
0,1,0.08165571093559265,90,ML,Osasuna,Villarreal,2,1,2019-10-05,12098,2019,356658,0.6357165575027466,0,5,0,0.08165571093559265,1.0407216548919678,0.6069044470787048,965,Santiago Cazorla
1,3,0.8241211771965027,85,AMC,Villarreal,Real Betis,5,1,2019-09-27,12092,2019,354255,0.8586815595626831,1,4,0,0.08084353059530258,0.8297783732414246,0.09719100594520569,965,Santiago Cazorla
1,2,0.09841269254684448,77,AMC,Barcelona,Villarreal,2,1,2019-09-24,12073,2019,353518,0.2040085345506668,0,5,1,0.09841269254684448,0.4421163499355316,0.25202733278274536,965,Santiago Cazorla
1,2,0.7822190523147583,90,AMC,Villarreal,Real Valladolid,2,0,2019-09-21,12070,2019,351998,0.1187545657157898,0,4,0,0.038941435515880585,0.21123535931110382,0.13695624470710754,965,Santiago Cazorla
0,0,0,64,AMC,Leganes,Villarreal,0,3,2019-09-14,12058,2019,349142,0.30037781596183777,1,1,0,0,1.0962551832199097,0.7958773374557495,965,Santiago Cazorla
0,0,0,75,MC,Villarreal,Real Madrid,2,2,2019-09-01,12052,2019,348349,0.1333777755498886,0,1,0,0,0.17022433876991272,0.17022433876991272,965,Santiago Cazorla
0,3,0.14835205674171448,90,DMC,Levante,Villarreal,2,1,2019-08-23,12041,2019,343776,0.20455016195774078,0,5,0,0.14835205674171448,0.724490225315094,0.4524255692958832,965,Santiago Cazorla
1,5,0.8741055727005005,90,DMC,Villarreal,Granada,4,4,2019-08-17,12028,2019,342374,0.08497413247823715,1,1,0,0.13082793354988098,0.8619722127914429,0.737541675567627,965,Santiago Cazorla
0,0,0,17,Sub,Getafe,Villarreal,2,2,2019-05-18,10333,2018,333589,0,0,0,0,0,0,0,965,Santiago Cazorla
0,0,0,88,MC,Villarreal,Eibar,1,0,2019-05-12,10319,2018,332626,0.06290394812822342,0,2,0,0,0.6459496021270752,0.6459496021270752,965,Santiago Cazorla
0,0,0,90,DMC,Real Madrid,Villarreal,3,2,2019-05-05,10312,2018,331052,0.13126128911972046,0,4,0,0,0.10231993347406387,0.10231993347406387,965,Santiago Cazorla
0,1,0.10352590680122375,90,DMC,Villarreal,SD Huesca,1,1,2019-04-28,10306,2018,329274,0.023591913282871246,0,1,0,0.10352590680122375,0.2586246430873871,0.15509872138500214,965,Santiago Cazorla
0,0,0,90,MC,Real Sociedad,Villarreal,0,1,2019-04-25,10293,2018,327955,0.43007031083106995,1,2,0,0,0.0275595560669899,0.0275595560669899,965,Santiago Cazorla
0,0,0,90,MC,Villarreal,Leganes,2,1,2019-04-21,10286,2018,326869,0.07084649801254272,1,1,0,0,0.3006631135940552,0.3006631135940552,965,Santiago Cazorla
0,0,0,90,DMC,Girona,Villarreal,0,1,2019-04-14,10274,2018,325139,0.06648197770118713,0,2,0,0,0.6478603482246399,0.5813783407211304,965,Santiago Cazorla
0,3,0.8548902869224548,90,MC,Real Betis,Villarreal,2,1,2019-04-07,10263,2018,323563,0.47447478771209717,1,2,0,0.11161267757415771,0.056686948984861374,0.03570044785737991,965,Santiago Cazorla
0,1,0.14010335505008698,90,MC,Villarreal,Barcelona,4,4,2019-04-02,10250,2018,321664,1.0896284580230713,1,8,0,0.14010335505008698,1.126230001449585,0.973974347114563,965,Santiago Cazorla
0,1,0.010812587104737759,90,MC,Celta Vigo,Villarreal,3,2,2019-03-30,10240,2018,318125,0.059755902737379074,0,1,0,0.010812587104737759,0.4765496551990509,0.46573707461357117,965,Santiago Cazorla
0,2,0.18464244902133942,90,MC,Villarreal,Rayo Vallecano,3,1,2019-03-17,10236,2018,317233,0,0,0,0,0.18464244902133942,0.6115407943725586,0.475863516330719,965,Santiago Cazorla
0,0,0,90,MC,Levante,Villarreal,0,2,2019-03-10,10220,2018,315475,0.07181236892938614,1,2,0,0,0.770155668258667,0.7132101655006409,965,Santiago Cazorla
1,2,0.7668904066085815,90,MC,Villarreal,Alaves,1,2,2019-03-02,10211,2018,311472,0.14102637767791748,0,2,0,0.023612795397639275,0.1646391749382019,0,965,Santiago Cazorla
0,0,0,90,MC,Atletico Madrid,Villarreal,2,0,2019-02-24,10204,2018,311290,0.22902487218379974,0,2,0,0,0.6283909678459167,0.6283909678459167,965,Santiago Cazorla
0,2,0.05246257409453392,90,MC,Villarreal,Sevilla,3,0,2019-02-17,10196,2018,311024,0.36879605054855347,1,3,0,0.05246257409453392,1.266594648361206,1.200269103050232,965,Santiago Cazorla
0,0,0,90,MC,Real Valladolid,Villarreal,0,0,2019-02-08,10181,2018,310509,0,0,0,0,0,0.47076985239982605,0.47076985239982605,965,Santiago Cazorla
1,1,0.7432776093482971,90,MC,Villarreal,Espanyol,2,2,2019-02-03,10169,2018,310354,0.5877023339271545,0,3,0,0,0.7090301513671875,0.6661054491996765,965,Santiago Cazorla
0,1,0.04885951802134514,63,AMR,Valencia,Villarreal,3,0,2019-01-26,10162,2018,309922,0.4346385896205902,0,2,0,0.04885951802134514,0.10447069257497787,0.06076506897807121,965,Santiago Cazorla
0,0,0,90,AML,Villarreal,Athletic Club,1,1,2019-01-20,10152,2018,309771,0,0,0,0,0,0,0,965,Santiago Cazorla
0,2,0.13110029697418213,90,AML,Villarreal,Getafe,1,2,2019-01-12,10137,2018,309465,0.7249739170074463,0,3,0,0.13110029697418213,0.13110029697418213,0.057308658957481384,965,Santiago Cazorla
0,0,0,70,AML,Eibar,Villarreal,0,0,2019-01-06,10135,2018,309228,0.5894255638122559,0,1,0,0,0.6591198444366455,0.06969429552555084,965,Santiago Cazorla
2,2,0.5953616499900818,90,AML,Villarreal,Real Madrid,2,2,2019-01-03,10126,2018,309047,0.21150994300842285,0,5,2,0.5953616499900818,0.7219469547271729,0.10924962908029556,965,Santiago Cazorla
0,2,0.039015501737594604,90,MC,Villarreal,Celta Vigo,2,3,2018-12-08,10099,2018,287248,0.19787117838859558,1,5,0,0.039015501737594604,0.8152937889099121,0.6192176342010498,965,Santiago Cazorla
0,2,0.09090013056993484,88,MC,Barcelona,Villarreal,2,0,2018-12-02,10095,2018,287098,0.08369119465351105,0,2,0,0.09090013056993484,0.12211340665817261,0.09747282415628433,965,Santiago Cazorla
0,1,0.04376813396811485,90,MC,Villarreal,Real Betis,2,1,2018-11-25,10079,2018,286833,0.5038412809371948,2,5,0,0.04376813396811485,0.5589619278907776,0.51519376039505,965,Santiago Cazorla
0,0,0,8,Sub,Rayo Vallecano,Villarreal,2,2,2018-11-11,10070,2018,286546,0,0,0,0,0,0,0,965,Santiago Cazorla
0,0,0,25,Sub,Villarreal,Levante,1,1,2018-11-04,10066,2018,286199,0.10422996431589127,0,2,0,0,0.2189636528491974,0.2189636528491974,965,Santiago Cazorla
0,0,0,66,AMR,Alaves,Villarreal,2,1,2018-10-28,10055,2018,286011,0,0,0,0,0,0,0,965,Santiago Cazorla
0,2,0.1326565444469452,90,AMR,Villarreal,Atletico Madrid,1,1,2018-10-20,10042,2018,285553,0.1423524171113968,0,2,0,0.1326565444469452,0.46247732639312744,0.36540672183036804,965,Santiago Cazorla
0,1,0.12115955352783203,69,ML,Villarreal,Real Valladolid,0,1,2018-09-30,10026,2018,254286,0.061538632959127426,0,2,0,0.12115955352783203,0.18269819021224976,0.036892615258693695,965,Santiago Cazorla
0,0,0,23,Sub,Athletic Club,Villarreal,0,3,2018-09-26,10015,2018,252131,0.4157399833202362,1,1,0,0,0,0,965,Santiago Cazorla
0,0,0,14,Sub,Villarreal,Valencia,0,0,2018-09-23,10006,2018,251259,0.0461176298558712,0,2,0,0,0.02656112052500248,0.02656112052500248,965,Santiago Cazorla
0,1,0.07201304286718369,76,MC,Villarreal,Girona,0,1,2018-08-31,9979,2018,246491,0.43981295824050903,0,2,0,0.07201304286718369,0.7590640783309937,0.6870510578155518,965,Santiago Cazorla
0,2,0.04575459286570549,81,AMC,Sevilla,Villarreal,0,0,2018-08-26,9973,2018,246144,0.05017919838428497,0,2,0,0.04575459286570549,0.2872791886329651,0.19134539365768433,965,Santiago Cazorla
0,2,0.1134323924779892,73,ML,Villarreal,Real Sociedad,1,2,2018-08-18,9960,2018,243154,0.03056337870657444,0,1,0,0.1134323924779892,0.17981038987636566,0.09310086816549301,965,Santiago Cazorla
0,0,0,90,DMC,Arsenal,Swansea,3,2,2016-10-15,532,2016,127545,0,0,0,0,0,0.5712771415710449,0.5712771415710449,965,Santiago Cazorla
0,0,0,90,DMC,Burnley,Arsenal,0,1,2016-10-02,530,2016,127010,0.09394551068544388,0,2,0,0,0.2833007872104645,0.2352326512336731,965,Santiago Cazorla
0,1,0.017698001116514206,90,DMC,Arsenal,Chelsea,3,0,2016-09-24,518,2016,126528,0.0321495421230793,0,1,0,0.017698001116514206,0.7256689667701721,0.7256689667701721,965,Santiago Cazorla
0,1,0.055145811289548874,70,DMC,Hull,Arsenal,1,4,2016-09-17,502,2016,126347,0.03637376055121422,0,1,0,0.055145811289548874,0.6562620401382446,0.6562620401382446,965,Santiago Cazorla
1,1,0.7611688375473022,90,DMC,Arsenal,Southampton,2,1,2016-09-10,494,2016,125973,0.39457523822784424,0,3,0,0,0.5621371269226074,0.24004751443862915,965,Santiago Cazorla
1,2,0.7767688035964966,90,DMC,Watford,Arsenal,1,3,2016-08-27,482,2016,125931,0.060022398829460144,0,1,0,0.015599982813000679,0.22504585981369019,0.20944587886333466,965,Santiago Cazorla
0,2,0.040429286658763885,74,AMC,Leicester,Arsenal,0,0,2016-08-20,478,2016,125435,0,0,0,0,0.040429286658763885,0.17306317389011383,0.13263387978076935,965,Santiago Cazorla
0,1,0.018180636689066887,27,Sub,Arsenal,Liverpool,3,4,2016-08-14,469,2016,124877,0.18570035696029663,2,2,0,0.018180636689066887,0.08478894829750061,0,965,Santiago Cazorla
0,1,0.09954480826854706,88,DMC,Arsenal,Aston Villa,4,0,2016-05-15,451,2015,57639,0.12274709343910217,0,1,0,0.09954480826854706,0.45708489418029785,0.3575400710105896,965,Santiago Cazorla
