goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,15,Sub,Swansea,Burnley,1,0,2018-02-10,7386,2017,215268,0,0,0,0,0,0,0,1659,Scott Arfield
0,0,0,61,ML,Newcastle United,Burnley,1,1,2018-01-31,7364,2017,215482,0,0,0,0,0,0,0,1659,Scott Arfield
0,0,0,82,ML,Burnley,Manchester United,0,1,2018-01-20,7351,2017,209176,0,0,0,0,0,0.060341719537973404,0.060341719537973404,1659,Scott Arfield
0,3,0.088890939950943,87,ML,Burnley,Liverpool,1,2,2018-01-01,7332,2017,206416,0.1345534324645996,0,3,0,0.088890939950943,0.16461385786533356,0.07572291791439056,1659,Scott Arfield
0,2,0.14355449378490448,90,ML,Huddersfield,Burnley,0,0,2017-12-30,7322,2017,206100,0,0,0,0,0.14355449378490448,0.14355449378490448,0,1659,Scott Arfield
0,1,0.10979299992322922,90,ML,Manchester United,Burnley,2,2,2017-12-26,7314,2017,205685,0,0,0,0,0.10979299992322922,0.10979299992322922,0,1659,Scott Arfield
0,0,0,89,ML,Burnley,Tottenham,0,3,2017-12-23,7304,2017,202953,0,0,0,0,0,0.017508456483483315,0.017508456483483315,1659,Scott Arfield
0,2,0.5241406559944153,90,ML,Brighton,Burnley,0,0,2017-12-16,7291,2017,205491,0.036766741424798965,0,1,0,0.5241406559944153,0.5609073638916016,0,1659,Scott Arfield
0,1,0.019403476268053055,90,ML,Burnley,Stoke,1,0,2017-12-12,7279,2017,202621,0.11048354208469391,1,1,0,0.019403476268053055,0.11048354208469391,0,1659,Scott Arfield
1,2,0.20408529043197632,90,AML,Burnley,Watford,1,0,2017-12-09,7272,2017,198773,0.0740380510687828,0,1,1,0.20408529043197632,0.2781233489513397,0,1659,Scott Arfield
0,1,0.038152679800987244,60,Sub,Leicester,Burnley,1,0,2017-12-02,7261,2017,178544,0,0,0,0,0.038152679800987244,0.05231840908527374,0.01416572742164135,1659,Scott Arfield
0,1,0.06132382154464722,90,ML,Manchester City,Burnley,3,0,2017-10-21,7202,2017,177276,0,0,0,0,0.06132382154464722,0.06132382154464722,0,1659,Scott Arfield
0,2,0.04672479256987572,48,ML,Burnley,West Ham,1,1,2017-10-14,7190,2017,178334,0,0,0,0,0.04672479256987572,0.04672479256987572,0,1659,Scott Arfield
0,0,0,90,ML,Everton,Burnley,0,1,2017-10-01,7187,2017,178016,0,0,0,0,0,0.2425299733877182,0.2425299733877182,1659,Scott Arfield
0,1,0.012274067848920822,79,ML,Burnley,Huddersfield,0,0,2017-09-23,7174,2017,176930,0,0,0,0,0.012274067848920822,0.32226282358169556,0.30998876690864563,1659,Scott Arfield
1,1,0.0672597885131836,90,AMC,Liverpool,Burnley,1,1,2017-09-16,7162,2017,176421,0,0,0,1,0.0672597885131836,0.0672597885131836,0,1659,Scott Arfield
0,1,0.04045948386192322,90,AMC,Tottenham,Burnley,1,1,2017-08-27,7147,2017,176560,0.04354030266404152,0,1,0,0.04045948386192322,0.19535766541957855,0.11135788261890411,1659,Scott Arfield
0,0,0,12,Sub,Chelsea,Burnley,2,3,2017-08-12,7123,2017,175872,0,0,0,0,0,0,0,1659,Scott Arfield
0,0,0,90,MR,Burnley,West Ham,1,2,2017-05-21,3511,2016,125171,0,0,0,0,0,0.39876142144203186,0.39876142144203186,1659,Scott Arfield
0,4,0.6379804015159607,76,ML,Bournemouth,Burnley,2,1,2017-05-13,3500,2016,135223,0.11432071775197983,0,1,0,0.6379804015159607,0.7523010969161987,0,1659,Scott Arfield
0,2,0.12863151729106903,84,ML,Burnley,West Bromwich Albion,2,2,2017-05-06,3492,2016,134794,0.142106294631958,0,4,0,0.12863151729106903,0.21717557311058044,0.05781208723783493,1659,Scott Arfield
0,2,0.05001639947295189,90,ML,Crystal Palace,Burnley,0,2,2017-04-29,3480,2016,134369,0,0,0,0,0.05001639947295189,0.05001639947295189,0,1659,Scott Arfield
0,2,0.08975377678871155,80,ML,Burnley,Tottenham,0,2,2017-04-01,3431,2016,132431,0.04041159898042679,0,1,0,0.08975377678871155,0.16635918617248535,0.06570462882518768,1659,Scott Arfield
0,4,0.22544388473033905,90,ML,Sunderland,Burnley,0,0,2017-03-18,3423,2016,133733,0.05740252137184143,0,2,0,0.22544388473033905,0.7324878573417664,0.5630002617835999,1659,Scott Arfield
0,1,0.018979167565703392,90,ML,Liverpool,Burnley,2,1,2017-03-12,3419,2016,125462,0,0,0,0,0.018979167565703392,0,0,1659,Scott Arfield
0,0,0,22,Sub,Swansea,Burnley,3,2,2017-03-04,3405,2016,133245,0,0,0,0,0,0,0,1659,Scott Arfield
0,0,0,1,Sub,Hull,Burnley,1,1,2017-02-25,3394,2016,131706,0,0,0,0,0,0,0,1659,Scott Arfield
0,1,0.04546074941754341,24,Sub,Burnley,Chelsea,1,1,2017-02-12,3387,2016,130612,0,0,0,0,0.04546074941754341,0.04546074941754341,0,1659,Scott Arfield
0,2,0.038966868072748184,79,ML,Watford,Burnley,2,1,2017-02-04,3374,2016,130185,0.014629966579377651,0,1,0,0.038966868072748184,0.009567136876285076,0,1659,Scott Arfield
0,2,0.06759899109601974,57,Sub,Burnley,Leicester,1,0,2017-01-31,3362,2016,132190,0.3232545554637909,0,4,0,0.06759899109601974,0.06759899109601974,0,1659,Scott Arfield
0,2,0.1180533692240715,90,MC,Manchester City,Burnley,2,1,2017-01-02,3332,2016,129440,0.030821770429611206,0,2,0,0.1180533692240715,0.041993193328380585,0,1659,Scott Arfield
0,4,0.2756657004356384,90,ML,Burnley,Sunderland,4,1,2016-12-31,3157,2016,130115,0.07979032397270203,0,3,0,0.2756657004356384,0.29111164808273315,0.011737257242202759,1659,Scott Arfield
0,1,0.08210018277168274,79,ML,Burnley,Middlesbrough,1,0,2016-12-26,3150,2016,129123,0.024819107726216316,0,2,0,0.08210018277168274,0.1069192886352539,0,1659,Scott Arfield
0,2,0.0617309994995594,90,ML,Tottenham,Burnley,2,1,2016-12-18,3143,2016,128804,0,0,0,0,0.0617309994995594,0.028428586199879646,0,1659,Scott Arfield
0,4,0.4572190046310425,90,ML,West Ham,Burnley,1,0,2016-12-14,3129,2016,130924,0.013968322426080704,0,1,0,0.4572190046310425,0.4217991232872009,0.3416292071342468,1659,Scott Arfield
0,1,0.13400360941886902,90,AMR,Burnley,Bournemouth,3,2,2016-12-10,3119,2016,129593,0.09834285825490952,0,2,0,0.13400360941886902,0.13400360941886902,0,1659,Scott Arfield
0,3,0.1932741403579712,90,ML,Stoke,Burnley,2,0,2016-12-03,3107,2016,128748,0.23208630084991455,0,3,0,0.1932741403579712,0.16444382071495056,0,1659,Scott Arfield
0,0,0,51,Sub,Burnley,Manchester City,1,2,2016-11-26,2707,2016,129100,0,0,0,0,0,0.06994525343179703,0.06994525343179703,1659,Scott Arfield
0,0,0,90,ML,West Bromwich Albion,Burnley,4,0,2016-11-22,2706,2016,128943,0,0,0,0,0,0,0,1659,Scott Arfield
0,0,0,67,ML,Burnley,Crystal Palace,3,2,2016-11-05,2688,2016,127966,0.1991676241159439,0,2,0,0,0.32418790459632874,0.2250293791294098,1659,Scott Arfield
0,2,0.11883383989334106,90,ML,Manchester United,Burnley,0,0,2016-10-29,2682,2016,127646,0.059947263449430466,0,1,0,0.11883383989334106,0.13305579125881195,0.01605093665421009,1659,Scott Arfield
1,4,0.1656920164823532,90,AMC,Burnley,Everton,2,1,2016-10-22,546,2016,127080,0.02276313491165638,0,1,1,0.1656920164823532,0.10454447567462921,0,1659,Scott Arfield
0,0,0,27,Sub,Burnley,Arsenal,0,1,2016-10-02,530,2016,127004,0.013896672055125237,0,1,0,0,0,0,1659,Scott Arfield
0,0,0,5,Sub,Burnley,Watford,2,0,2016-09-26,520,2016,126590,0,0,0,0,0,0,0,1659,Scott Arfield
0,0,0,59,MR,Leicester,Burnley,3,0,2016-09-17,503,2016,126373,0.3133757710456848,0,1,0,0,0.3133757710456848,0,1659,Scott Arfield
0,0,0,13,Sub,Burnley,Hull,1,1,2016-09-10,496,2016,126036,0.03301060199737549,0,1,0,0,0.05137362331151962,0.018363019451498985,1659,Scott Arfield
0,1,0.030374571681022644,58,ML,Chelsea,Burnley,3,0,2016-08-27,485,2016,125711,0,0,0,0,0.030374571681022644,0.030374571681022644,0,1659,Scott Arfield
0,0,0,90,ML,Burnley,Liverpool,2,0,2016-08-20,473,2016,133967,0,0,0,0,0,0,0,1659,Scott Arfield
0,0,0,76,ML,Burnley,Swansea,0,1,2016-08-13,464,2016,124930,0.06451594829559326,0,1,0,0,0.06451594829559326,0,1659,Scott Arfield
0,0,0,90,ML,Aston Villa,Burnley,0,1,2015-05-24,4430,2014,25118,0,0,0,0,0,0.07614727318286896,0.07614727318286896,1659,Scott Arfield
0,0,0,90,MC,Burnley,Stoke,0,0,2015-05-16,4424,2014,25158,0.07193568348884583,0,1,0,0,0.20325087010860443,0.20325087010860443,1659,Scott Arfield
0,1,0.0966857373714447,90,MC,Hull,Burnley,0,1,2015-05-09,4410,2014,24074,0,0,0,0,0.0966857373714447,0.3576584458351135,0.2609727084636688,1659,Scott Arfield
0,0,0,90,MC,West Ham,Burnley,1,0,2015-05-02,4404,2014,25445,0.10594490170478821,0,2,0,0,0.15459044277668,0.15459044277668,1659,Scott Arfield
0,0,0,90,MC,Burnley,Leicester,0,1,2015-04-25,4473,2014,24967,0,0,0,0,0,0.10723947733640671,0.10723947733640671,1659,Scott Arfield
0,1,0.01418397855013609,90,MC,Everton,Burnley,1,0,2015-04-18,4461,2014,23441,0,0,0,0,0.01418397855013609,0.01418397855013609,0,1659,Scott Arfield
0,0,0,90,MC,Burnley,Arsenal,0,1,2015-04-11,4457,2014,25818,0.0794425681233406,0,1,0,0,0.0794425681233406,0,1659,Scott Arfield
0,0,0,90,MC,Burnley,Tottenham,0,0,2015-04-05,4447,2014,23978,0,0,0,0,0,0.02401915192604065,0.02401915192604065,1659,Scott Arfield
0,2,0.09610673785209656,90,MC,Southampton,Burnley,2,0,2015-03-21,4506,2014,25472,0.18896318972110748,0,3,0,0.09610673785209656,0.26446256041526794,0.15525007247924805,1659,Scott Arfield
0,2,0.028928043320775032,90,MC,Burnley,Manchester City,1,0,2015-03-14,4498,2014,25131,0.022075137123465538,0,1,0,0.028928043320775032,0.12160108983516693,0.07059790939092636,1659,Scott Arfield
0,1,0.01777339167892933,90,MC,Liverpool,Burnley,2,0,2015-03-04,4491,2014,23826,0,0,0,0,0.01777339167892933,0.06703439354896545,0.06703439354896545,1659,Scott Arfield
0,1,0.019044499844312668,90,MC,Burnley,Swansea,0,1,2015-02-28,4549,2014,26143,0.1291663944721222,0,2,0,0.019044499844312668,0.22727006673812866,0.1775907278060913,1659,Scott Arfield
0,0,0,90,MC,Chelsea,Burnley,1,1,2015-02-21,4536,2014,26763,0,0,0,0,0,0.02271231636404991,0.02271231636404991,1659,Scott Arfield
0,0,0,90,MC,Manchester United,Burnley,3,1,2015-02-11,4531,2014,27118,0,0,0,0,0,0.2490575760602951,0.2490575760602951,1659,Scott Arfield
0,1,0.10142134130001068,90,ML,Burnley,West Bromwich Albion,2,2,2015-02-08,4522,2014,27158,0,0,0,0,0.10142134130001068,0.7282472252845764,0.6268258690834045,1659,Scott Arfield
0,0,0,90,ML,Sunderland,Burnley,2,0,2015-01-31,4585,2014,26842,0.01557469554245472,0,1,0,0,0.08194772899150848,0.06637303531169891,1659,Scott Arfield
0,0,0,90,ML,Burnley,Crystal Palace,2,3,2015-01-17,4572,2014,21382,0.42236149311065674,1,2,0,0,0.4414484202861786,0.01908692717552185,1659,Scott Arfield
1,4,0.4448395371437073,90,ML,Burnley,Queens Park Rangers,2,1,2015-01-10,4564,2014,20210,0.10687100887298584,0,1,1,0.4448395371437073,0.7598370313644409,0.3559603989124298,1659,Scott Arfield
0,2,0.06959127634763718,90,ML,Newcastle United,Burnley,3,3,2015-01-01,4553,2014,22675,0,0,0,0,0.06959127634763718,0.17003899812698364,0.10044772922992706,1659,Scott Arfield
0,1,0.07217922061681747,90,ML,Manchester City,Burnley,2,2,2014-12-28,4643,2014,21477,0,0,0,0,0.07217922061681747,0.0936230793595314,0.021443862468004227,1659,Scott Arfield
0,2,0.05511092394590378,90,ML,Burnley,Liverpool,0,1,2014-12-26,4630,2014,22689,0,0,0,0,0.05511092394590378,0.06898381561040878,0.06898381561040878,1659,Scott Arfield
0,1,0.10338351130485535,83,ML,Tottenham,Burnley,2,1,2014-12-20,4621,2014,22399,0,0,0,0,0.10338351130485535,0.14392143487930298,0.04053792357444763,1659,Scott Arfield
0,0,0,90,ML,Burnley,Southampton,1,0,2014-12-13,4609,2014,20508,0,0,0,0,0,0.031854938715696335,0.031854938715696335,1659,Scott Arfield
