goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,GK,Burnley,Liverpool,1,2,2018-01-01,7332,2017,206421,0,0,0,0,0,0.023171573877334595,0.023171573877334595,487,Simon Mignolet
0,0,0,90,GK,Liverpool,Swansea,5,0,2017-12-26,7313,2017,205745,0,0,0,0,0,0.11280950158834457,0.11280950158834457,487,Simon Mignolet
0,0,0,90,GK,Arsenal,Liverpool,3,3,2017-12-22,7301,2017,202847,0,0,0,0,0,0.2726980447769165,0.2726980447769165,487,Simon Mignolet
0,0,0,90,GK,Bournemouth,Liverpool,0,4,2017-12-17,7290,2017,203183,0,0,0,0,0,0.10408037900924683,0.10408037900924683,487,Simon Mignolet
0,0,0,90,GK,Liverpool,Everton,1,1,2017-12-10,7275,2017,198846,0,0,0,0,0,0.052537333220243454,0.052537333220243454,487,Simon Mignolet
0,0,0,90,GK,Brighton,Liverpool,1,5,2017-12-02,7268,2017,179629,0,0,0,0,0,0.03532969951629639,0.03532969951629639,487,Simon Mignolet
0,0,0,90,GK,Stoke,Liverpool,0,3,2017-11-29,7258,2017,179380,0,0,0,0,0,0,0,487,Simon Mignolet
0,0,0,90,GK,Liverpool,Chelsea,1,1,2017-11-25,7244,2017,179339,0,0,0,0,0,0.05040248855948448,0.05040248855948448,487,Simon Mignolet
0,0,0,90,GK,Liverpool,Southampton,3,0,2017-11-18,7231,2017,178794,0,0,0,0,0,0.11615081876516342,0.11615081876516342,487,Simon Mignolet
0,0,0,90,GK,West Ham,Liverpool,1,4,2017-11-04,7227,2017,179490,0,0,0,0,0,0.3768523633480072,0.3768523633480072,487,Simon Mignolet
0,0,0,90,GK,Liverpool,Huddersfield,3,0,2017-10-28,7217,2017,177857,0,0,0,0,0,0.03333769738674164,0.03333769738674164,487,Simon Mignolet
0,0,0,90,GK,Tottenham,Liverpool,4,1,2017-10-22,7207,2017,177432,0,0,0,0,0,0.01702726073563099,0.01702726073563099,487,Simon Mignolet
0,0,0,90,GK,Liverpool,Manchester United,0,0,2017-10-14,7193,2017,178409,0,0,0,0,0,0.04123669117689133,0.04123669117689133,487,Simon Mignolet
0,0,0,90,GK,Newcastle United,Liverpool,1,1,2017-10-01,7188,2017,178173,0,0,0,0,0,0.20064839720726013,0.20064839720726013,487,Simon Mignolet
0,0,0,90,GK,Leicester,Liverpool,2,3,2017-09-23,7176,2017,177102,0,0,0,0,0,0.22905564308166504,0.22905564308166504,487,Simon Mignolet
