goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,9,Sub,Genoa,Torino,1,0,2022-03-18,17049,2021,520896,0,0,0,0,0,0,0,1642,Simone Zaza
0,0,0,2,Sub,Torino,Venezia,1,2,2022-02-12,17005,2021,512923,0,0,0,0,0,0,0,1642,Simone Zaza
0,2,0.09262112528085709,4,Sub,Sampdoria,Torino,1,2,2022-01-15,16973,2021,507931,0,0,0,0,0.09262112528085709,0.2237478792667389,0.1311267614364624,1642,Simone Zaza
0,1,0.615965723991394,2,Sub,Torino,Bologna,2,1,2021-12-12,16923,2021,502075,0,0,0,0,0.615965723991394,0.615965723991394,0,1642,Simone Zaza
0,2,0.16753965616226196,33,Sub,Cagliari,Torino,1,1,2021-12-06,16907,2021,501134,0,0,0,0,0.16753965616226196,0.16753965616226196,0,1642,Simone Zaza
0,1,0.0678940862417221,14,Sub,Torino,Empoli,2,2,2021-12-02,16905,2021,499385,0,0,0,0,0.0678940862417221,0,0,1642,Simone Zaza
0,1,0.08248017728328705,7,Sub,Roma,Torino,1,0,2021-11-28,16891,2021,498332,0,0,0,0,0.08248017728328705,0.08248017728328705,0,1642,Simone Zaza
0,0,0,7,Sub,Torino,Udinese,2,1,2021-11-22,16885,2021,496874,0,0,0,0,0,0,0,1642,Simone Zaza
0,1,0.08572045713663101,14,Sub,Spezia,Torino,1,0,2021-11-06,16873,2021,493836,0,0,0,0,0.08572045713663101,0.08572045713663101,0,1642,Simone Zaza
0,0,0,10,Sub,AC Milan,Torino,1,0,2021-10-26,16850,2021,491258,0,0,0,0,0,0,0,1642,Simone Zaza
0,3,0.1577732414007187,90,FW,Torino,Benevento,1,1,2021-05-23,15796,2020,473572,0.42880111932754517,0,2,0,0.1577732414007187,0.6049559116363525,0.4135911166667938,1642,Simone Zaza
0,0,0,3,Sub,Lazio,Torino,0,0,2021-05-18,15671,2020,472402,0,0,0,0,0,0,0,1642,Simone Zaza
0,0,0,25,Sub,Spezia,Torino,4,1,2021-05-15,15795,2020,470753,0,0,0,0,0,0,0,1642,Simone Zaza
0,7,0.31609046459198,90,FW,Torino,AC Milan,0,7,2021-05-12,15780,2020,470295,0.303432822227478,0,1,0,0.31609046459198,0.5303150415420532,0,1642,Simone Zaza
