goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
1,3,0.44289711117744446,90,AMC,Burnley,West Ham,1,2,2017-05-21,3511,2016,125188,0.014589588157832623,0,1,1,0.44289711117744446,0.45748671889305115,0.014589588157832623,1674,Sofiane Feghouli
0,1,0.0087180370464921,33,Sub,West Ham,Liverpool,0,4,2017-05-14,3509,2016,134110,0.023892894387245178,0,1,0,0.0087180370464921,0.023892894387245178,0,1674,Sofiane Feghouli
0,0,0,17,Sub,West Ham,Swansea,1,0,2017-04-08,3455,2016,134026,0.10261499881744385,0,1,0,0,0.10261499881744385,0,1674,Sofiane Feghouli
0,4,0.4039255678653717,90,AMR,Hull,West Ham,2,1,2017-04-01,3433,2016,132612,0.2184424102306366,0,1,0,0.4039255678653717,1.0874043703079224,0.683478832244873,1674,Sofiane Feghouli
0,3,0.12084827572107315,60,MR,Bournemouth,West Ham,3,2,2017-03-11,3411,2016,133866,0.20682556927204132,1,3,0,0.12084827572107315,0.2880776822566986,0.07445743680000305,1674,Sofiane Feghouli
0,1,0.07415108382701874,68,FWR,West Ham,Chelsea,1,2,2017-03-06,3409,2016,133637,0,0,0,0,0.07415108382701874,0,0,1674,Sofiane Feghouli
0,0,0,90,AMR,Watford,West Ham,1,1,2017-02-25,3396,2016,132062,0.18766775727272034,0,3,0,0,0.22952450811862946,0.04185674339532852,1674,Sofiane Feghouli
1,3,0.5319997072219849,90,AMR,West Ham,West Bromwich Albion,2,2,2017-02-11,3385,2016,131353,0.23503078520298004,1,3,1,0.5319997072219849,0.7670305371284485,0,1674,Sofiane Feghouli
0,0,0,90,MR,Southampton,West Ham,1,3,2017-02-04,3376,2016,129962,0,0,0,0,0,0.3499614894390106,0.3499614894390106,1674,Sofiane Feghouli
0,0,0,66,AMR,West Ham,Manchester City,0,4,2017-02-01,3367,2016,132292,0.02107769250869751,0,1,0,0,0.02107769250869751,0,1674,Sofiane Feghouli
0,1,0.05643076449632645,85,MR,Middlesbrough,West Ham,1,3,2017-01-21,3351,2016,131810,0,0,0,0,0.05643076449632645,1.0390058755874634,0.9825751185417175,1674,Sofiane Feghouli
1,2,0.9944289922714233,90,AMC,West Ham,Crystal Palace,3,0,2017-01-14,3346,2016,131186,0,0,0,1,0.9944289922714233,1.0754927396774292,0.08106371015310287,1674,Sofiane Feghouli
0,0,0,14,FWR,West Ham,Manchester United,0,2,2017-01-02,3335,2016,130087,0.052718404680490494,0,1,0,0,0.12391657382249832,0.12391657382249832,1674,Sofiane Feghouli
0,0,0,23,Sub,Leicester,West Ham,1,0,2016-12-31,3156,2016,130460,0,0,0,0,0,0,0,1674,Sofiane Feghouli
0,1,0.16654714941978455,5,Sub,Swansea,West Ham,1,4,2016-12-26,3146,2016,129804,0.277324914932251,1,1,0,0.16654714941978455,0.4438720643520355,0,1674,Sofiane Feghouli
0,0,0,1,Sub,Manchester United,West Ham,1,1,2016-11-27,2716,2016,128148,0,0,0,0,0,0,0,1674,Sofiane Feghouli
0,0,0,1,Sub,West Ham,Stoke,1,1,2016-11-05,2690,2016,128218,0,0,0,0,0,0,0,1674,Sofiane Feghouli
0,0,0,11,Sub,Everton,West Ham,2,0,2016-10-30,2684,2016,127593,0,0,0,0,0,0,0,1674,Sofiane Feghouli
0,0,0,25,Sub,West Ham,Sunderland,1,0,2016-10-22,542,2016,127468,0,0,0,0,0,0.06830804795026779,0.06830804795026779,1674,Sofiane Feghouli
